date,value,matrix_profile,matrix_profile_index
2017-05-01,21.0,0.0,12.0
2017-06-01,21.0,6.345453125715752e-16,13.0
2017-07-01,21.0,8.599750569898517e-16,14.0
2017-08-01,30.0,0.0,15.0
2017-09-01,30.0,1.2814742548776324e-15,28.0
2017-10-01,30.0,9.346666907374255e-16,29.0
2017-11-01,30.0,0.0,30.0
2017-12-01,30.0,0.0,31.0
2018-01-01,30.0,0.0,32.0
2018-02-01,30.0,0.0,33.0
2018-03-01,30.0,0.0,34.0
2018-04-01,30.0,0.0,48.0
2018-05-01,30.0,0.0,0.0
2018-06-01,30.0,0.0,50.0
2018-07-01,30.0,0.0,51.0
2018-08-01,40.0,0.0,3.0
2018-09-01,40.0,2.562948509755265e-15,53.0
2018-10-01,40.0,1.946851337558695e-15,54.0
2018-11-01,40.0,0.0,55.0
2018-12-01,40.0,1.5622222714862009e-15,56.0
2019-01-01,40.0,1.465886843046779e-15,39.0
2019-02-01,40.0,0.0,40.0
2019-03-01,40.0,0.0,72.0
2019-04-01,40.0,0.0,73.0
2019-05-01,40.0,0.0,74.0
2019-06-01,40.0,0.0,75.0
2019-07-01,40.0,0.0,76.0
2019-08-01,35.0,0.0,3.0
2019-09-01,35.0,1.2814742548776324e-15,4.0
2019-10-01,35.0,9.346666907374255e-16,5.0
2019-11-01,35.0,0.0,6.0
2019-12-01,35.0,0.0,7.0
2020-01-01,35.0,0.0,8.0
2020-02-01,35.0,0.0,9.0
2020-03-01,35.0,0.0,10.0
2020-04-01,35.0,0.423653184024859,67.0
2020-05-01,35.0,0.5169134831981781,68.0
2020-06-01,35.0,0.5804793870236912,69.0
2020-07-01,35.0,0.5715592243432424,19.0
2020-08-01,45.0,0.0,57.0
2020-09-01,45.0,0.0,21.0
2020-10-01,45.0,0.5564993176482491,22.0
2020-11-01,45.0,0.556499317648249,60.0
2020-12-01,45.0,0.556499317648249,61.0
2021-01-01,45.0,0.556499317648249,62.0
2021-02-01,45.0,0.556499317648249,8.0
2021-03-01,35.0,0.0,9.0
2021-04-01,35.0,0.0,10.0
2021-05-01,35.0,0.0,11.0
2021-06-01,35.0,0.0,0.0
2021-07-01,35.0,0.0,13.0
2021-08-01,35.0,0.0,14.0
2021-09-01,45.0,0.0,3.0
2021-10-01,45.0,0.0,77.0
2021-11-01,45.0,0.0,78.0
2021-12-01,45.0,0.0,18.0
2022-01-01,45.0,0.0,80.0
2022-02-01,45.0,0.0,39.0
2022-03-01,45.0,0.0,21.0
2022-04-01,45.0,0.0,83.0
2022-05-01,45.0,0.556499317648249,42.0
2022-06-01,45.0,0.556499317648249,42.0
2022-07-01,45.0,0.556499317648249,43.0
2022-08-01,45.0,0.556499317648249,44.0
2022-09-01,35.0,0.0,8.0
2022-10-01,35.0,0.0,9.0
2022-11-01,35.0,0.28305790531679736,10.0
2022-12-01,35.0,0.4021317445363948,11.0
2023-01-01,35.0,0.5091399026230625,0.0
2023-02-01,35.0,0.5804793870236912,37.0
2023-03-01,35.0,0.609557431172857,38.0
2023-04-01,45.0,0.0,21.0
2023-05-01,45.0,0.0,22.0
2023-06-01,45.0,0.0,23.0
2023-07-01,45.0,0.0,24.0
2023-08-01,45.0,0.0,25.0
2023-09-01,45.0,0.0,26.0
2023-10-01,40.0,0.0,53.0
2023-11-01,40.0,0.0,54.0
2023-12-01,40.0,0.0,18.0
2024-01-01,40.0,0.0,56.0
2024-02-01,40.0,0.0,39.0
2024-03-01,40.0,0.0,21.0
2024-04-01,40.0,0.0,59.0
2024-05-01,40.0,1.5622222714862009e-15,23.0
2024-06-01,40.0,,
2024-07-01,40.0,,
2024-08-01,40.0,,
2024-09-01,30.0,,
2024-10-01,30.0,,
2024-11-01,30.0,,
2024-12-01,30.0,,
2025-01-01,30.0,,
2025-02-01,30.0,,
2025-03-01,30.0,,
2025-04-01,30.0,,
