lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8151153004433955,0.5973106141025581,0.9865526784751879,0.8738716832321004,0.497420136759676,0.8044045644305995,0.11163164454958072,0.5675885021708054,0.9335384148905749,0.9679178285970262
2,0.775474396596545,0.512408187313889,0.9657321705558658,0.7477433664642006,0.2116868980169296,0.42007535109745625,0.1212693943358508,0.419526576210564,0.85998734003357,0.9322182225698624
3,0.6791692908627281,0.3830658528240987,0.938411882073724,0.6218443364090571,-0.037253451128973124,-0.01388444801668566,0.10310584285700136,0.20512854422341617,0.8037588189935313,0.8996483524598945
4,0.6191210626529403,0.4017069859816364,0.9052194801030158,0.4959453063539131,-0.2523362702909434,-0.3409788172990208,0.03552032103109765,0.14773073943278744,0.7329978298970231,0.8554402177512102
5,0.6297071750540385,0.3734178353362809,0.868458225337424,0.3716180762469032,-0.407606940884468,-0.5554095916869142,0.09474068356135355,0.11581232734659785,0.6608168394632625,0.8082897685292572
6,0.5988054049462619,0.4044295003590689,0.8273275530000596,0.23258487077002993,-0.45986972942750864,-0.6340962026965994,0.02856912819745056,0.05693825255462216,0.5817477116250752,0.7608390420042375
7,0.5771993754219356,0.34348911700067264,0.7822971156452577,0.14502257908767796,-0.3935998355461764,-0.5651982085724857,0.01599779296160877,0.005482021080536628,0.5049194188387602,0.7097527432998092
8,0.5986317931150769,0.4227572162544038,0.7336892401188634,0.050107299720394315,-0.24684401523767516,-0.3484741925051362,-0.02677245617501846,0.012593332162788183,0.4203467520609128,0.6603713747859464
9,0.5369431400964448,0.40222574776913816,0.6817426791069991,-0.018519072063666174,-0.05999014351860067,-0.022278603199222313,-0.08530565700604244,0.055063732803054016,0.31462959982595046,0.5999885713899372
10,0.5360338513749611,0.46004191185963705,0.6269180253667548,-0.08714544384772654,0.24554245207945294,0.3496561686533801,0.12043588908512863,0.24263077584869935,0.2377866664854163,0.544047453738616
11,0.4516385547792469,0.39684521124852995,0.5697909648920859,-0.15577181563178702,0.47304045656784044,0.6294628662368458,0.12187907306592227,0.2078545960305828,0.1618891461411937,0.48836832299601024
12,0.445162719634745,0.30790057594359277,0.5129038294501445,-0.1876332489911895,0.5659929490661192,0.7169042567999163,0.053527007471360175,0.13945224029164197,0.07450179991069018,0.42712297808515254
