lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.4401285749388229,-0.41060860309418035,0.3518491819470929,0.010521255841913766,0.04188481932531732,-0.1181874257202767,-0.08286569652021715,-0.47110411647869493,-0.09450702042113406
-11,-0.40927050558610995,-0.40747478826265404,0.35950874710049546,0.07508546117249311,0.006334701372699481,-0.14991461080563942,-0.21197626381484835,-0.4099181458210897,-0.02384167198030627
-10,-0.4295950974097843,-0.4352540082779301,0.3674167691022159,-0.0047555759624207765,-0.10428300635035428,-0.12649118302432247,-0.24578903364530008,-0.34669382481098354,0.03680860347059238
-9,-0.42700981253507064,-0.47225988649997636,0.3761021015806726,-0.11380819279035798,-0.19776446962314062,-0.2273870384206035,-0.29532336321501457,-0.24625826522192107,0.1235889909356848
-8,-0.42984468011429083,-0.4698776432400209,0.3840866316584587,-0.1298541772503404,-0.1984906378164611,-0.1949365304577285,-0.27454283262980583,-0.1864002798019059,0.1749857763233541
-7,-0.4370196300726003,-0.43024578481749803,0.42109735067473736,-0.15640293280955125,-0.18424713286184488,-0.1863893558290423,-0.24870474446734825,-0.16873262235714043,0.2197216725841567
-6,-0.4549671824972967,-0.4258736950772025,0.4515542371183805,-0.14267669444614473,-0.14287648409472126,-0.15895073807586427,-0.19574419145378902,-0.12053171588138821,0.2820936863873992
-5,-0.501785020747745,-0.432577758237332,0.47838201212263454,-0.09460211831154497,-0.1346102610389214,-0.07718032430595882,-0.16029580608090857,-0.05675296688330914,0.33728138097291593
-4,-0.49097484496974997,-0.4086689079465634,0.4987045718124846,-0.10946017998202447,-0.17565744956903373,-0.06186077259992653,-0.14760271178447712,-0.010691205079385648,0.394391123881035
-3,-0.47463844243578845,-0.34533975483120627,0.5125958348098102,-0.16021007546550345,-0.1693072050855222,-0.06381776665483102,-0.06901442244719931,0.022394859306109488,0.4412699808793079
-2,-0.48140086052863684,-0.367569946080845,0.5200868151066826,-0.14266050980189618,-0.08535249249848115,0.001254128730004972,0.0690564094942582,0.027469344320653608,0.46950334788022796
-1,-0.5125686757931154,-0.36959676221289783,0.5198499335897181,-0.07605139043006862,0.03478327381457998,0.035442900797989306,0.10833546231269885,0.02149182073249269,0.48246634517142994
0,-0.5234866769045116,-0.39330171356706856,0.5127791376109421,0.055909578058715236,0.12984990392902115,0.10411998356407957,0.04287996995165272,-0.0134215223656067,0.48432062086778815
1,-0.4998961180935478,-0.3317741453251044,0.48559236657850086,0.1117105404846502,0.15705367957910457,0.1182208421225446,0.012333253650357893,-0.023487249890902586,0.47277014306052595
2,-0.4387331835849113,-0.27097120567961375,0.4520871711086853,0.10753962649514184,0.12219788556854694,-0.0017129332437610485,-0.10136358546228512,-0.06218386912639011,0.4502216708189004
3,-0.38287865070052984,-0.21600320500696557,0.418438438845297,0.12013862523506585,0.08233573048681377,-0.010086283321823621,-0.15144372145665635,-0.10218374812615844,0.41646233181708486
4,-0.3407110393793231,-0.1662401031779409,0.3857310179131904,0.0261568805563449,0.007951606228880614,-0.13616827196813722,-0.20053162238585795,-0.11252204175902193,0.3933230728553006
5,-0.3210875927916753,-0.20841961029616862,0.35720012975261806,0.013096404146506868,-0.07872937971073388,-0.10866695847198991,-0.23623696776788067,-0.11868804083742385,0.38554508470749704
6,-0.27233636887878887,-0.17569707337489054,0.3317576487648179,-0.054764193366493984,-0.17060712324456356,-0.13529920815116653,-0.2994727923638348,-0.1267333607581325,0.37267835060583665
7,-0.20862065623313464,-0.1126786268128648,0.31092271391203496,-0.182080820488787,-0.24608007883058375,-0.2748193698311896,-0.37860899362281064,-0.11652396178384904,0.35492577597991937
8,-0.18347451351497782,-0.063928915098133,0.2949307032699851,-0.20625348891337938,-0.26436166571371383,-0.275165510677593,-0.3477524299995271,-0.11739054302549289,0.3336134006944273
9,-0.16778679298586147,-0.09923120577486516,0.2793058334948422,-0.2336634885220435,-0.25862115782086337,-0.2900111204803391,-0.3745993655137473,-0.1347924761189818,0.3081431437409895
10,-0.13262918308099808,-0.07401937370507823,0.26726130253141106,-0.2251805330781939,-0.20280285905288747,-0.29579821031851167,-0.39184021807985436,-0.1444280160643901,0.27927999633902806
11,-0.09889619018581296,-0.07213854045113603,0.25483361800628934,-0.19208236383259944,-0.13225100105567023,-0.3251588769954052,-0.39776810254660944,-0.12617665468902986,0.25719921166257503
12,-0.05382631723391595,-0.020352139314380416,0.24565077873796234,-0.1020601027430023,-0.057618002565645726,-0.2738073789653978,-0.3801105416173325,-0.07416541076515162,0.2449688479215889
