date,value,matrix_profile,matrix_profile_index
2017-08-01,19.0,2.296847253011292e-15,28.0
2017-09-01,19.0,0.10063124439077531,32.0
2017-10-01,19.0,0.06436008493015788,33.0
2017-11-01,19.0,0.0415675605924458,34.0
2017-12-01,20.0,3.951312703709894e-16,24.0
2018-01-01,20.0,2.9893669801409083e-16,25.0
2018-02-01,20.0,0.0,26.0
2018-03-01,20.0,2.9893669801409083e-16,27.0
2018-04-01,20.0,2.220446049250313e-16,28.0
2018-05-01,20.0,0.0,29.0
2018-06-01,20.0,3.5472161342847354e-16,30.0
2018-07-01,20.0,4.518280359883027e-16,31.0
2018-08-01,35.0,0.0,49.0
2018-09-01,35.0,1.2814742548776324e-15,50.0
2018-10-01,35.0,1.4597427480450238e-15,51.0
2018-11-01,35.0,0.0,52.0
2018-12-01,35.0,1.2025992653021156e-15,53.0
2019-01-01,35.0,4.382686540470586e-16,61.0
2019-02-01,35.0,0.0,55.0
2019-03-01,35.0,1.046891844311514e-15,56.0
2019-04-01,35.0,0.19707523593328435,81.0
2019-05-01,35.0,0.6669918526504023,81.0
2019-06-01,35.0,0.8310792131825016,64.0
2019-07-01,35.0,0.835530304771623,66.0
2019-08-01,15.0,3.951312703709894e-16,4.0
2019-09-01,15.0,2.9893669801409083e-16,5.0
2019-10-01,15.0,0.0,6.0
2019-11-01,15.0,2.9893669801409083e-16,7.0
2019-12-01,15.0,2.220446049250313e-16,8.0
2020-01-01,15.0,0.0,9.0
2020-02-01,15.0,3.5472161342847354e-16,10.0
2020-03-01,15.0,4.518280359883027e-16,11.0
2020-04-01,25.0,0.10063124439077531,1.0
2020-05-01,25.0,0.06436008493015788,2.0
2020-06-01,25.0,0.0415675605924458,3.0
2020-07-01,25.0,5.588000014763635e-16,4.0
2020-08-01,25.0,5.117875266520903e-16,5.0
2020-09-01,25.0,0.0,6.0
2020-10-01,25.0,0.44084243721382244,68.0
2020-11-01,25.0,0.39048577258742423,69.0
2020-12-01,25.0,0.36288766220393937,3.0
2021-01-01,25.0,0.3203644860139344,4.0
2021-02-01,25.0,0.24715008431375604,25.0
2021-03-01,30.0,0.0,6.0
2021-04-01,30.0,5.117875266520903e-16,7.0
2021-05-01,30.0,5.588000014763635e-16,8.0
2021-06-01,30.0,0.0,9.0
2021-07-01,30.0,6.345453125715752e-16,10.0
2021-08-01,30.0,9.035139765166538e-16,11.0
2021-09-01,40.0,0.0,12.0
2021-10-01,40.0,1.2814742548776324e-15,13.0
2021-11-01,40.0,1.4597427480450238e-15,14.0
2021-12-01,40.0,0.0,15.0
2022-01-01,40.0,1.2025992653021156e-15,16.0
2022-02-01,40.0,1.046891844311514e-15,17.0
2022-03-01,40.0,0.0,18.0
2022-04-01,40.0,1.046891844311514e-15,19.0
2022-05-01,40.0,0.6044782915862059,13.0
2022-06-01,40.0,0.45014583206057107,14.0
2022-07-01,40.0,0.3561297191145553,15.0
2022-08-01,40.0,0.26254478391310626,16.0
2022-09-01,35.0,4.382686540470586e-16,17.0
2022-10-01,35.0,0.0,18.0
2022-11-01,35.0,0.4211356625464838,80.0
2022-12-01,35.0,0.5795682973768601,81.0
2023-01-01,35.0,0.8040950909787169,21.0
2023-02-01,35.0,0.7653668647301796,35.0
2023-03-01,35.0,0.556499317648249,5.0
2023-04-01,25.0,0.42113566254648377,6.0
2023-05-01,25.0,0.39048577258742423,39.0
2023-06-01,25.0,0.36953758792069796,40.0
2023-07-01,25.0,0.3669514464333113,41.0
2023-08-01,25.0,0.38164735045449827,42.0
2023-09-01,25.0,0.4211356625464838,6.0
2023-10-01,35.0,0.8157102780006751,13.0
2023-11-01,35.0,0.6324555320336758,14.0
2023-12-01,35.0,0.5091399026230625,15.0
2024-01-01,35.0,0.40213174453639466,53.0
2024-02-01,35.0,0.28305790531679736,17.0
2024-03-01,45.0,0.0,18.0
2024-04-01,45.0,0.1395176812791952,19.0
2024-05-01,45.0,0.19707523593328435,20.0
2024-06-01,45.0,,
2024-07-01,45.0,,
2024-08-01,45.0,,
2024-09-01,25.0,,
2024-10-01,25.0,,
2024-11-01,25.0,,
2024-12-01,25.0,,
2025-01-01,25.0,,
2025-02-01,25.0,,
2025-03-01,30.0,,
2025-04-01,30.0,,
