date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,19.0,19.0,,,,
2017-09-01,19.0,19.0,,,,
2017-10-01,19.0,19.0,,,,
2017-11-01,19.0,19.0,,,,
2017-12-01,20.0,20.0,,,,
2018-01-01,20.0,20.0,,,,
2018-02-01,20.0,20.0,,,,
2018-03-01,20.0,20.0,,,,
2018-04-01,20.0,20.0,,,,
2018-05-01,20.0,20.0,,,,
2018-06-01,20.0,20.0,,,,
2018-07-01,20.0,20.0,,,,
2018-08-01,35.0,35.0,,,,
2018-09-01,35.0,35.0,,,,
2018-10-01,35.0,35.0,,,,
2018-11-01,35.0,35.0,,,,
2018-12-01,35.0,35.0,,,,
2019-01-01,35.0,35.0,,,,
2019-02-01,35.0,35.0,,,,
2019-03-01,35.0,35.0,,,,
2019-04-01,35.0,35.0,,,,
2019-05-01,35.0,35.0,,,,
2019-06-01,35.0,35.0,,,,
2019-07-01,35.0,35.0,,,,
2019-08-01,15.0,15.0,,,,
2019-09-01,15.0,15.0,,,,
2019-10-01,15.0,15.0,,,,
2019-11-01,15.0,15.0,,,,
2019-12-01,15.0,15.0,,,,
2020-01-01,15.0,15.0,,,,
2020-02-01,15.0,15.0,,,,
2020-03-01,15.0,15.0,,,,
2020-04-01,25.0,25.0,,,,
2020-05-01,25.0,25.0,,,,
2020-06-01,25.0,25.0,,,,
2020-07-01,25.0,25.0,,,,
2020-08-01,25.0,25.0,,,,
2020-09-01,25.0,25.0,,,,
2020-10-01,25.0,25.0,,,,
2020-11-01,25.0,25.0,,,,
2020-12-01,25.0,25.0,,,,
2021-01-01,25.0,25.0,,,,
2021-02-01,25.0,25.0,,,,
2021-03-01,30.0,30.0,,,,
2021-04-01,30.0,30.0,,,,
2021-05-01,30.0,30.0,,,,
2021-06-01,30.0,30.0,,,,
2021-07-01,30.0,30.0,,,,
2021-08-01,30.0,30.0,,,,
2021-09-01,40.0,40.0,,,,
2021-10-01,40.0,40.0,,,,
2021-11-01,40.0,40.0,,,,
2021-12-01,40.0,40.0,,,,
2022-01-01,40.0,40.0,,,,
2022-02-01,40.0,40.0,,,,
2022-03-01,40.0,40.0,,,,
2022-04-01,40.0,40.0,,,,
2022-05-01,40.0,40.0,,,,
2022-06-01,40.0,40.0,,,,
2022-07-01,40.0,40.0,,,,
2022-08-01,40.0,40.0,,,,
2022-09-01,35.0,35.0,,,,
2022-10-01,35.0,35.0,,,,
2022-11-01,35.0,35.0,,,,
2022-12-01,35.0,35.0,,,,
2023-01-01,35.0,35.0,,,,
2023-02-01,35.0,35.0,,,,
2023-03-01,35.0,35.0,,,,
2023-04-01,25.0,25.0,,,,
2023-05-01,25.0,25.0,,,,
2023-06-01,25.0,25.0,,,,
2023-07-01,25.0,25.0,,,,
2023-08-01,25.0,25.0,,,,
2023-09-01,25.0,25.0,,,,
2023-10-01,35.0,35.0,,,,
2023-11-01,35.0,35.0,,,,
2023-12-01,35.0,35.0,,,,
2024-01-01,35.0,35.0,,,,
2024-02-01,35.0,35.0,,,,
2024-03-01,45.0,45.0,,,,
2024-04-01,45.0,45.0,,,,
2024-05-01,45.0,,45.0,44.99995933542607,45.56011415610908,43.311888863018616
2024-06-01,45.0,,45.0,44.99992179531716,45.10394781849976,39.96405829103868
2024-07-01,45.0,,45.0,44.99993212719516,45.43252915281231,37.44824568573851
2024-08-01,45.0,,45.0,44.16661518016259,45.11363434587583,37.415847102970744
2024-09-01,25.0,,25.0,44.880941870976486,43.564376278236004,36.69571813718845
2024-10-01,25.0,,25.0,46.30951945619724,46.347176803851426,36.73479593401758
2024-11-01,25.0,,25.0,46.309548383588016,46.4354498088501,36.935204992224016
2024-12-01,25.0,,25.0,46.452409004133514,46.372014239871554,36.988722353266525
2025-01-01,25.0,,25.0,46.45240801054098,46.41781539238201,36.76490290451936
2025-02-01,25.0,,25.0,46.45240452513966,46.384824104614516,36.25164638654475
2025-03-01,30.0,,30.0,48.595245462978625,49.425348873614034,35.52160191736953
2025-04-01,30.0,,30.0,48.59521684368807,43.76157036850546,34.70621979448277
