date,value,matrix_profile,matrix_profile_index
2017-05-01,26.0,1.1102230246251565e-16,12.0
2017-06-01,26.0,7.967349055175334e-16,37.0
2017-07-01,26.0,1.0934428697813141e-15,38.0
2017-08-01,40.0,0.0,15.0
2017-09-01,40.0,0.0,41.0
2017-10-01,40.0,0.0,42.0
2017-11-01,40.0,0.0,43.0
2017-12-01,40.0,0.0,44.0
2018-01-01,40.0,0.0,45.0
2018-02-01,40.0,0.0,46.0
2018-03-01,40.0,0.24715008431375604,47.0
2018-04-01,40.0,1.5622222714862009e-15,35.0
2018-05-01,40.0,0.0,36.0
2018-06-01,40.0,1.150211057356173e-15,1.0
2018-07-01,40.0,1.4936523181711914e-15,2.0
2018-08-01,50.0,0.0,3.0
2018-09-01,50.0,0.4559275437205057,60.0
2018-10-01,50.0,0.3264069165742127,61.0
2018-11-01,50.0,0.2518657706932095,62.0
2018-12-01,50.0,0.18104229226458587,63.0
2019-01-01,50.0,5.117875266520903e-16,64.0
2019-02-01,50.0,0.0,58.0
2019-03-01,50.0,1.465886843046779e-15,59.0
2019-04-01,50.0,0.2654663020508172,67.0
2019-05-01,50.0,0.5520342571456144,60.0
2019-06-01,50.0,0.47140452079103173,61.0
2019-07-01,50.0,0.38947883780596704,62.0
2019-08-01,40.0,0.18104229226458587,63.0
2019-09-01,40.0,0.28219528910190433,64.0
2019-10-01,40.0,0.37821504230990255,58.0
2019-11-01,40.0,0.39617460812071803,66.0
2019-12-01,40.0,0.4207958403423209,67.0
2020-01-01,40.0,0.4555843941654681,68.0
2020-02-01,40.0,0.5075684743158192,69.0
2020-03-01,40.0,0.5935443461585082,70.0
2020-04-01,30.0,1.5622222714862009e-15,11.0
2020-05-01,30.0,0.0,12.0
2020-06-01,30.0,7.967349055175334e-16,1.0
2020-07-01,30.0,1.0934428697813141e-15,2.0
2020-08-01,35.0,0.0,3.0
2020-09-01,35.0,0.0,3.0
2020-10-01,35.0,0.0,4.0
2020-11-01,35.0,0.0,5.0
2020-12-01,35.0,0.0,6.0
2021-01-01,35.0,0.0,7.0
2021-02-01,35.0,0.0,8.0
2021-03-01,35.0,0.0,9.0
2021-04-01,35.0,0.24715008431375604,10.0
2021-05-01,35.0,0.32036448601393447,11.0
2021-06-01,35.0,0.3695375879206979,74.0
2021-07-01,35.0,0.39048577258742423,75.0
2021-08-01,35.0,0.44084243721382244,76.0
2021-09-01,45.0,0.0,9.0
2021-10-01,45.0,0.5564993176482491,10.0
2021-11-01,45.0,0.662013882871001,78.0
2021-12-01,45.0,0.6058108930553725,79.0
2022-01-01,45.0,0.5133358703140485,80.0
2022-02-01,45.0,0.3742162210526042,81.0
2022-03-01,50.0,0.0,21.0
2022-04-01,50.0,1.465886843046779e-15,22.0
2022-05-01,50.0,0.4559275437205057,16.0
2022-06-01,50.0,0.3264069165742127,17.0
2022-07-01,50.0,0.2518657706932095,18.0
2022-08-01,50.0,0.18104229226458587,19.0
2022-09-01,45.0,5.117875266520903e-16,20.0
2022-10-01,45.0,0.0,21.0
2022-11-01,45.0,4.489773574608531e-16,83.0
2022-12-01,45.0,5.902004144990395e-16,84.0
2023-01-01,45.0,0.4555843941654681,32.0
2023-02-01,45.0,0.5075684743158192,33.0
2023-03-01,45.0,0.5935443461585082,34.0
2023-04-01,30.0,0.42113566254648377,9.0
2023-05-01,30.0,0.3816473504544983,47.0
2023-06-01,30.0,0.3669514464333113,48.0
2023-07-01,30.0,0.3695375879206979,49.0
2023-08-01,30.0,0.39048577258742423,50.0
2023-09-01,30.0,0.4211356625464838,9.0
2023-10-01,35.0,0.5867923748912971,16.0
2023-11-01,35.0,0.4290468867141407,17.0
2023-12-01,35.0,0.3382039574515255,18.0
2024-01-01,35.0,0.2654663020508172,19.0
2024-02-01,35.0,0.18723319756483287,64.0
2024-03-01,40.0,0.0,21.0
2024-04-01,40.0,4.489773574608531e-16,66.0
2024-05-01,40.0,5.902004144990395e-16,67.0
2024-06-01,40.0,,
2024-07-01,40.0,,
2024-08-01,40.0,,
2024-09-01,25.0,,
2024-10-01,25.0,,
2024-11-01,25.0,,
2024-12-01,25.0,,
2025-01-01,25.0,,
2025-02-01,25.0,,
2025-03-01,30.0,,
2025-04-01,30.0,,
