date,actual,actual_train,actual_test,forecast_holt-winters,forecast_var
2017-05-01,26.0,26.0,,,
2017-06-01,26.0,26.0,,,
2017-07-01,26.0,26.0,,,
2017-08-01,40.0,40.0,,,
2017-09-01,40.0,40.0,,,
2017-10-01,40.0,40.0,,,
2017-11-01,40.0,40.0,,,
2017-12-01,40.0,40.0,,,
2018-01-01,40.0,40.0,,,
2018-02-01,40.0,40.0,,,
2018-03-01,40.0,40.0,,,
2018-04-01,40.0,40.0,,,
2018-05-01,40.0,40.0,,,
2018-06-01,40.0,40.0,,,
2018-07-01,40.0,40.0,,,
2018-08-01,50.0,50.0,,,
2018-09-01,50.0,50.0,,,
2018-10-01,50.0,50.0,,,
2018-11-01,50.0,50.0,,,
2018-12-01,50.0,50.0,,,
2019-01-01,50.0,50.0,,,
2019-02-01,50.0,50.0,,,
2019-03-01,50.0,50.0,,,
2019-04-01,50.0,50.0,,,
2019-05-01,50.0,50.0,,,
2019-06-01,50.0,50.0,,,
2019-07-01,50.0,50.0,,,
2019-08-01,40.0,40.0,,,
2019-09-01,40.0,40.0,,,
2019-10-01,40.0,40.0,,,
2019-11-01,40.0,40.0,,,
2019-12-01,40.0,40.0,,,
2020-01-01,40.0,40.0,,,
2020-02-01,40.0,40.0,,,
2020-03-01,40.0,40.0,,,
2020-04-01,30.0,30.0,,,
2020-05-01,30.0,30.0,,,
2020-06-01,30.0,30.0,,,
2020-07-01,30.0,30.0,,,
2020-08-01,35.0,35.0,,,
2020-09-01,35.0,35.0,,,
2020-10-01,35.0,35.0,,,
2020-11-01,35.0,35.0,,,
2020-12-01,35.0,35.0,,,
2021-01-01,35.0,35.0,,,
2021-02-01,35.0,35.0,,,
2021-03-01,35.0,35.0,,,
2021-04-01,35.0,35.0,,,
2021-05-01,35.0,35.0,,,
2021-06-01,35.0,35.0,,,
2021-07-01,35.0,35.0,,,
2021-08-01,35.0,35.0,,,
2021-09-01,45.0,45.0,,,
2021-10-01,45.0,45.0,,,
2021-11-01,45.0,45.0,,,
2021-12-01,45.0,45.0,,,
2022-01-01,45.0,45.0,,,
2022-02-01,45.0,45.0,,,
2022-03-01,50.0,50.0,,,
2022-04-01,50.0,50.0,,,
2022-05-01,50.0,50.0,,,
2022-06-01,50.0,50.0,,,
2022-07-01,50.0,50.0,,,
2022-08-01,50.0,50.0,,,
2022-09-01,45.0,45.0,,,
2022-10-01,45.0,45.0,,,
2022-11-01,45.0,45.0,,,
2022-12-01,45.0,45.0,,,
2023-01-01,45.0,45.0,,,
2023-02-01,45.0,45.0,,,
2023-03-01,45.0,45.0,,,
2023-04-01,30.0,30.0,,,
2023-05-01,30.0,30.0,,,
2023-06-01,30.0,30.0,,,
2023-07-01,30.0,30.0,,,
2023-08-01,30.0,30.0,,,
2023-09-01,30.0,30.0,,,
2023-10-01,35.0,35.0,,,
2023-11-01,35.0,35.0,,,
2023-12-01,35.0,35.0,,,
2024-01-01,35.0,35.0,,,
2024-02-01,35.0,35.0,,,
2024-03-01,40.0,40.0,,,
2024-04-01,40.0,40.0,,,
2024-05-01,40.0,,40.0,39.999995369717,41.113228927598676
2024-06-01,40.0,,40.0,40.00001624260092,41.36559898958185
2024-07-01,40.0,,40.0,40.000053416865676,42.1225927366373
2024-08-01,40.0,,40.0,42.71436039545029,43.69447074959115
2024-09-01,25.0,,25.0,43.4286664931417,44.87622264879424
2024-10-01,25.0,,25.0,44.14293092410084,45.58573826638411
2024-11-01,25.0,,25.0,44.142906771417906,45.587861823743836
2024-12-01,25.0,,25.0,44.14290832186168,45.020432641078244
2025-01-01,25.0,,25.0,44.14293130228267,44.11827334532367
2025-02-01,25.0,,25.0,44.142918790999666,43.147703820689074
2025-03-01,30.0,,30.0,45.57147704295597,42.336916837534524
2025-04-01,30.0,,30.0,42.00002486747048,41.799328658685354
