lag,acf,pacf
0,1.0,1.0
1,-0.0008239872274869505,-0.0008330420321846385
2,-0.00037999888866184804,-0.0003891375374827915
3,-0.0003888589663767501,-0.00040261479579918017
4,0.06903903815871397,0.07217642724195526
5,-0.09298892205888079,-0.09872962603723727
6,0.022730146534746972,0.025288695802369168
7,-0.09300664221431063,-0.10265531293528961
8,-0.14021237059364272,-0.16091086212340996
9,-0.0013477162657463161,0.012914495232523061
10,-0.0013565763434612308,-0.018089824235121024
11,-0.11709336509251889,-0.12011338837590212
12,-0.08388327799248578,-0.09993320677806773
13,-0.09315037236390808,-0.1511312312127324
14,0.0003288073285312112,-0.014079717714764088
15,0.0003199472508162916,-0.027620876799281678
16,0.00031108717310139063,-0.04963635532467915
17,0.16232132723526635,0.2148275568709193
18,0.023438952751940148,-0.019073783655703065
19,-0.04691236136166048,-0.1234983668303381
20,0.12435611299421184,0.1362254959140865
21,-0.0006389100485532394,-0.09074917179952302
22,-0.0006477701262681327,0.02870141688565383
23,-0.0006566302039830634,-0.011816103330339264
24,0.040090867206905384,-0.006092119000363367
