lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8323601521203471,0.6551030768878106,0.9802837542801396,0.9187332633956949,0.5679054903490267,0.8088632439263491,0.08578209075114344,0.6220420663670254,0.9617844838461018,0.9839041349965452
2,0.6707366167133239,0.42242102242311436,0.9517455050338742,0.8374665267913896,0.24119396470077697,0.4260139796823021,0.08933881869758968,0.3839938730487685,0.9156563542878327,0.962081099756337
3,0.5268752225293428,0.2726427643246646,0.9169708103094971,0.7545710135060004,-0.0997518498020534,-0.01205475246421839,0.07215571742335837,0.17301272813369492,0.87598692271237,0.9381565989016982
4,0.4295634138165935,0.10519878353426974,0.8785386910762669,0.6716755002206112,-0.2284909905007815,-0.32233947124643125,0.11804516721892862,0.13291203353383974,0.843227072841877,0.916044950358221
5,0.35582368927256164,0.04685015944504795,0.835917008494428,0.5787705443356083,-0.38643134169362925,-0.5190852015527265,0.032744140360839835,0.09623014092656863,0.7979279173506321,0.8882827944866712
6,0.3370251008038233,-0.037404911585864356,0.7927407908063624,0.49921151191675683,-0.4529522706632429,-0.5810610977675513,0.08298425510890013,0.12658359149791693,0.7360882877683265,0.8583515292577371
7,0.3136083865504278,0.033110906848145126,0.7508359179751836,0.4163159986313677,-0.3735166934527162,-0.5189983883841174,0.06942847720866804,0.06917109135253914,0.6713009803553611,0.8251372877041131
8,0.3314129910204048,0.17899361454976376,0.710066004908302,0.3467664088121301,-0.22547218304754113,-0.3388571143957192,0.05118422576593317,0.03765920021759016,0.6125559679348336,0.7928249627232064
9,0.32766324849526784,0.22850341904940158,0.6702946665131275,0.3004932575542881,-0.09572369507793317,-0.06977338422418883,-0.15720624637390443,-0.04704638298421262,0.5461929450520852,0.7616941484525585
10,0.30871485430996115,0.19985378747970475,0.6313875621479726,0.25422010629644576,0.1604070313450557,0.2576868062806316,0.13289804282559078,0.0316019470780111,0.4621083316203363,0.7300041459068262
11,0.302856342228881,0.243749178204247,0.5942470483263579,0.20794695503860378,0.4206476986772709,0.5476421207171834,-0.03049373344577233,0.08084831224060966,0.36698018784447994,0.6947560824817249
12,0.3346814802458376,0.24939507470175,0.5597556804898968,0.17835620811345113,0.5938874637893372,0.6931342330114169,-0.054678901316776544,0.15738511451782283,0.27639055404609597,0.6576185038367821
