lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.4536418980460446,-0.21215575407948714,-0.2968143587949935,-0.05494409058448141,-0.04639011138932533,-0.12134450611569368,-0.18183329677992668,-0.3018761810620024,0.5843789525022506
-11,-0.43186518852234823,-0.22455701175176582,-0.32731642378853637,0.01573224717686304,-0.05528081025493385,-0.07511522786102186,-0.216985922514325,-0.22456090109348517,0.6257652657216354
-10,-0.38658207318994275,-0.19305100033732633,-0.3512153378144742,-0.07135565391793924,-0.18276767174123631,-0.1518096449094118,-0.356302946600419,-0.1308507734732752,0.6569330192081181
-9,-0.3301878128026504,-0.17093463681851415,-0.38141162475547524,-0.19627159967361688,-0.2695383594399079,-0.2440841799212621,-0.434639948594195,-0.06093714897463045,0.6858762297845579
-8,-0.28437775661827835,-0.19939514504984077,-0.417279282133014,-0.2252421710768277,-0.2822976427670456,-0.299758242858826,-0.4880096642938169,-0.00664587473367137,0.7087920932402622
-7,-0.26746862486564693,-0.18755428899653148,-0.44553057925175477,-0.2052611811205617,-0.27921575320536934,-0.2843311653817132,-0.49197802767812987,0.0788092380978134,0.7195422584328733
-6,-0.25219110084729324,-0.1847605499077087,-0.476220956771771,-0.1938342549027069,-0.2786792804238802,-0.30507628758986516,-0.4995070752952397,0.15947737306314302,0.728808486520751
-5,-0.27138228230334266,-0.20230574721637948,-0.5092635034965854,-0.22212938890410153,-0.2995058330661103,-0.33289441069822856,-0.5033193918131467,0.26431098445267465,0.7366993527016853
-4,-0.3050521851461903,-0.20496575516620386,-0.5446035348682333,-0.24519100714972963,-0.339944860462464,-0.2977427144693206,-0.47233329762459686,0.35104877748848895,0.7397261104398986
-3,-0.30982001544528054,-0.18108710368249886,-0.5772191856701926,-0.29201608270975904,-0.34417783427484216,-0.28595556698793007,-0.3992590767963194,0.43848318733748204,0.7499547933836119
-2,-0.31467900730350845,-0.18950388047382222,-0.6044186650742137,-0.2837245404245567,-0.2889660454071164,-0.24733290529551738,-0.2986876677881294,0.5123847028529586,0.7479881471916353
-1,-0.3499356474586229,-0.1921191971250918,-0.6256294821532304,-0.2285551846740108,-0.17463314413883463,-0.19085309140686083,-0.20435627178470817,0.5704905928032615,0.7432226427438872
0,-0.37488769872348604,-0.18536926072197996,-0.636745362657514,-0.136928071433537,-0.07210724435600373,-0.13230598759034234,-0.1736504198215936,0.6054643997304088,0.7310591890193752
1,-0.37632008044873877,-0.1779294029270985,-0.6309010516825069,-0.04197836456385784,-0.005172748176949561,-0.07717220651243781,-0.0986968851193138,0.636493580118552,0.7077499758951288
2,-0.3664675205000212,-0.16387941481830662,-0.6170991665385558,-0.00812072953417,0.023034363976000605,-0.030841333375241912,-0.06615647893634964,0.6518045925305677,0.6752326883026813
3,-0.33129913705995223,-0.14298101430850602,-0.5925959664968101,0.025413801785061557,0.02846700275648068,0.013766157959428104,-0.08706389330216036,0.6742268860548448,0.6449325275811534
4,-0.3038235562504184,-0.09284902408240198,-0.5587160922524733,0.026171011468521105,0.01224663216388059,-0.017976085338071022,-0.11749805314542913,0.6916363047787292,0.6080523895105804
5,-0.2923866639614689,-0.08428605416055392,-0.5228517553515334,0.00407403950633168,-0.03129006620393437,-0.0273157495176206,-0.1166795343370286,0.6951954589770971,0.5630000169589507
6,-0.2640870381442579,-0.08588251203876847,-0.4848573036494401,-0.015122799229659551,-0.07217426457400904,-0.003678296553458979,-0.12603925605327448,0.6795689596081612,0.5153407766142019
7,-0.19398232577883626,-0.03130497491379164,-0.4433252449821474,-0.08181386544564943,-0.11126650245463528,-0.05422483880801343,-0.15173556388553094,0.6510977124205476,0.45860396527858055
8,-0.1264198691757567,0.05132908102594922,-0.3980445101686657,-0.09676320988328325,-0.12824786645396002,-0.05163793689011702,-0.15365190066808165,0.619650427521508,0.3949029968307116
9,-0.05345562208641002,0.1205558705127771,-0.3527773970903846,-0.11048480643760987,-0.14438389293444093,-0.02324927672155346,-0.16756748030117333,0.611042179195809,0.34073401901641276
10,-0.005827010578415139,0.15665605220449932,-0.31016414679850746,-0.12383319388697928,-0.1381848320804285,-0.05651034785166611,-0.1801748170976843,0.5971859996263601,0.2879593402264597
11,0.04060277279973674,0.16929598856212652,-0.2708476899189679,-0.13685990083024346,-0.0964929526564979,-0.09753637535558977,-0.14198559950354583,0.5717775997368784,0.23008955525204797
12,0.0797662386890504,0.20551022711139733,-0.23497772583303936,-0.0952767760870973,-0.028441523690886848,-0.06557303010868307,-0.10003949489654634,0.5562245320848216,0.17749812392673597
