date,value,matrix_profile,matrix_profile_index
2017-08-01,16.0,0.0,12.0
2017-09-01,16.0,0.8430203185922576,44.0
2017-10-01,16.0,0.6346910242249586,22.0
2017-11-01,16.0,0.4217804017524889,23.0
2017-12-01,16.0,1.5700924586837752e-16,24.0
2018-01-01,16.0,0.16204735363258538,25.0
2018-02-01,16.0,0.0,43.0
2018-03-01,16.0,9.545120528441684e-16,56.0
2018-04-01,16.0,0.24196965349336283,28.0
2018-05-01,16.0,0.27171004881618344,29.0
2018-06-01,16.0,0.32036448601393447,30.0
2018-07-01,16.0,0.4264014327112209,31.0
2018-08-01,25.0,0.0,0.0
2018-09-01,25.0,0.5562412172301169,57.0
2018-10-01,25.0,0.39145748970574396,58.0
2018-11-01,25.0,0.2898203528077896,59.0
2018-12-01,25.0,0.19635022161531676,60.0
2019-01-01,25.0,2.9893669801409083e-16,61.0
2019-02-01,25.0,0.0,37.0
2019-03-01,25.0,0.28305790531679736,80.0
2019-04-01,25.0,0.40213174453639466,81.0
2019-05-01,25.0,0.7896237058096909,39.0
2019-06-01,25.0,0.6346910242249586,2.0
2019-07-01,25.0,0.4217804017524889,3.0
2019-08-01,15.0,1.5700924586837752e-16,4.0
2019-09-01,15.0,0.16204735363258538,5.0
2019-10-01,15.0,0.1970752359332843,6.0
2019-11-01,15.0,0.21954465172928636,7.0
2019-12-01,15.0,0.24196965349336283,8.0
2020-01-01,15.0,0.27171004881618344,9.0
2020-02-01,15.0,0.32036448601393447,10.0
2020-03-01,15.0,0.4264014327112209,11.0
2020-04-01,30.0,0.5564993176482491,74.0
2020-05-01,30.0,0.5564993176482491,75.0
2020-06-01,30.0,0.5218030004277963,59.0
2020-07-01,30.0,0.3806366025056485,60.0
2020-08-01,35.0,7.364386412590295e-16,17.0
2020-09-01,35.0,0.0,18.0
2020-10-01,35.0,0.279018055590882,80.0
2020-11-01,35.0,0.37821504230990255,81.0
2020-12-01,35.0,0.556499317648249,70.0
2021-01-01,35.0,0.556499317648249,71.0
2021-02-01,35.0,0.556499317648249,5.0
2021-03-01,30.0,0.0,6.0
2021-04-01,30.0,0.3851750257414116,27.0
2021-05-01,30.0,0.43877593622818756,28.0
2021-06-01,30.0,0.48030878207798194,29.0
2021-07-01,30.0,0.533867163791623,30.0
2021-08-01,30.0,0.4392996633159392,5.0
2021-09-01,35.0,0.0,6.0
2021-10-01,35.0,0.3851750257414116,27.0
2021-11-01,35.0,0.43877593622818756,28.0
2021-12-01,35.0,0.48030878207798194,29.0
2022-01-01,35.0,0.533867163791623,30.0
2022-02-01,35.0,0.4392996633159392,5.0
2022-03-01,40.0,0.0,6.0
2022-04-01,40.0,9.545120528441684e-16,7.0
2022-05-01,40.0,0.5562412172301169,13.0
2022-06-01,40.0,0.39145748970574396,14.0
2022-07-01,40.0,0.2898203528077896,15.0
2022-08-01,40.0,0.19635022161531676,16.0
2022-09-01,45.0,2.9893669801409083e-16,17.0
2022-10-01,45.0,0.0,18.0
2022-11-01,45.0,0.31737925105401393,19.0
2022-12-01,45.0,0.4021317445363948,20.0
2023-01-01,45.0,0.6447975893544587,20.0
2023-02-01,45.0,0.6723729631635689,16.0
2023-03-01,45.0,0.5815478431714609,17.0
2023-04-01,30.0,0.556499317648249,18.0
2023-05-01,30.0,0.556499317648249,38.0
2023-06-01,30.0,0.556499317648249,39.0
2023-07-01,30.0,0.556499317648249,40.0
2023-08-01,30.0,0.556499317648249,41.0
2023-09-01,30.0,0.556499317648249,6.0
2023-10-01,20.0,0.556499317648249,7.0
2023-11-01,20.0,0.5564993176482491,32.0
2023-12-01,20.0,0.5564993176482491,33.0
2024-01-01,20.0,0.556499317648249,35.0
2024-02-01,20.0,0.556499317648249,17.0
2024-03-01,30.0,0.0,18.0
2024-04-01,30.0,0.279018055590882,38.0
2024-05-01,30.0,0.37821504230990255,39.0
2024-06-01,30.0,,
2024-07-01,30.0,,
2024-08-01,30.0,,
2024-09-01,20.0,,
2024-10-01,20.0,,
2024-11-01,20.0,,
2024-12-01,20.0,,
2025-01-01,20.0,,
2025-02-01,20.0,,
2025-03-01,25.0,,
2025-04-01,25.0,,
