date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,16.0,16.0,,,,
2017-09-01,16.0,16.0,,,,
2017-10-01,16.0,16.0,,,,
2017-11-01,16.0,16.0,,,,
2017-12-01,16.0,16.0,,,,
2018-01-01,16.0,16.0,,,,
2018-02-01,16.0,16.0,,,,
2018-03-01,16.0,16.0,,,,
2018-04-01,16.0,16.0,,,,
2018-05-01,16.0,16.0,,,,
2018-06-01,16.0,16.0,,,,
2018-07-01,16.0,16.0,,,,
2018-08-01,25.0,25.0,,,,
2018-09-01,25.0,25.0,,,,
2018-10-01,25.0,25.0,,,,
2018-11-01,25.0,25.0,,,,
2018-12-01,25.0,25.0,,,,
2019-01-01,25.0,25.0,,,,
2019-02-01,25.0,25.0,,,,
2019-03-01,25.0,25.0,,,,
2019-04-01,25.0,25.0,,,,
2019-05-01,25.0,25.0,,,,
2019-06-01,25.0,25.0,,,,
2019-07-01,25.0,25.0,,,,
2019-08-01,15.0,15.0,,,,
2019-09-01,15.0,15.0,,,,
2019-10-01,15.0,15.0,,,,
2019-11-01,15.0,15.0,,,,
2019-12-01,15.0,15.0,,,,
2020-01-01,15.0,15.0,,,,
2020-02-01,15.0,15.0,,,,
2020-03-01,15.0,15.0,,,,
2020-04-01,30.0,30.0,,,,
2020-05-01,30.0,30.0,,,,
2020-06-01,30.0,30.0,,,,
2020-07-01,30.0,30.0,,,,
2020-08-01,35.0,35.0,,,,
2020-09-01,35.0,35.0,,,,
2020-10-01,35.0,35.0,,,,
2020-11-01,35.0,35.0,,,,
2020-12-01,35.0,35.0,,,,
2021-01-01,35.0,35.0,,,,
2021-02-01,35.0,35.0,,,,
2021-03-01,30.0,30.0,,,,
2021-04-01,30.0,30.0,,,,
2021-05-01,30.0,30.0,,,,
2021-06-01,30.0,30.0,,,,
2021-07-01,30.0,30.0,,,,
2021-08-01,30.0,30.0,,,,
2021-09-01,35.0,35.0,,,,
2021-10-01,35.0,35.0,,,,
2021-11-01,35.0,35.0,,,,
2021-12-01,35.0,35.0,,,,
2022-01-01,35.0,35.0,,,,
2022-02-01,35.0,35.0,,,,
2022-03-01,40.0,40.0,,,,
2022-04-01,40.0,40.0,,,,
2022-05-01,40.0,40.0,,,,
2022-06-01,40.0,40.0,,,,
2022-07-01,40.0,40.0,,,,
2022-08-01,40.0,40.0,,,,
2022-09-01,45.0,45.0,,,,
2022-10-01,45.0,45.0,,,,
2022-11-01,45.0,45.0,,,,
2022-12-01,45.0,45.0,,,,
2023-01-01,45.0,45.0,,,,
2023-02-01,45.0,45.0,,,,
2023-03-01,45.0,45.0,,,,
2023-04-01,30.0,30.0,,,,
2023-05-01,30.0,30.0,,,,
2023-06-01,30.0,30.0,,,,
2023-07-01,30.0,30.0,,,,
2023-08-01,30.0,30.0,,,,
2023-09-01,30.0,30.0,,,,
2023-10-01,20.0,20.0,,,,
2023-11-01,20.0,20.0,,,,
2023-12-01,20.0,20.0,,,,
2024-01-01,20.0,20.0,,,,
2024-02-01,20.0,20.0,,,,
2024-03-01,30.0,30.0,,,,
2024-04-01,30.0,30.0,,,,
2024-05-01,30.0,,30.0,29.99984866786539,31.510117926517694,32.79950572177768
2024-06-01,30.0,,30.0,29.99990312406671,31.162761629248404,32.50735855102539
2024-07-01,30.0,,30.0,30.00002372245352,31.484755226823257,34.050781056284904
2024-08-01,30.0,,30.0,30.666798108159846,31.24231491904512,31.748652590438724
2024-09-01,20.0,,20.0,32.095263608729496,34.24518981836582,29.197248302400112
2024-10-01,20.0,,20.0,30.66655067371567,29.519710706424156,25.677920108661056
2024-11-01,20.0,,20.0,30.6661816472115,29.7574928153743,24.26271652476862
2024-12-01,20.0,,20.0,30.665882022135857,29.537072681605764,24.263851438416168
2025-01-01,20.0,,20.0,30.66586583872664,29.741398547813542,24.61706998059526
2025-02-01,20.0,,20.0,30.666129055061738,29.551991804979803,25.48830738523975
2025-03-01,25.0,,25.0,32.094731679564504,33.78320898994447,25.978749757632613
2025-04-01,25.0,,25.0,32.09447223070868,24.318383359035487,26.742704132571816
