lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.24907874907234362,-0.2179658526091895,-0.10450313326531441,-0.1060011882110013,-0.08455821868477058,-0.059739548945724974,-0.09188498578637866,-0.012245073634348822,0.3674451865413526
-11,-0.27879173954988806,-0.21872528980719383,-0.09996038223155232,-0.049432574084861056,-0.053094981584947416,-0.0586799263754238,-0.09721678804718022,0.05339740088767655,0.4088586852687649
-10,-0.2773908719761048,-0.20266233761118774,-0.09896802059912406,-0.0683518130046588,-0.09013917941480871,-0.08963899886400761,-0.1810571699369277,0.14302392809212844,0.46520601739385803
-9,-0.24475345423504885,-0.16457232094373397,-0.09903615312885954,-0.14413130495115775,-0.11012810077009667,-0.18458660976085323,-0.2542884738229513,0.19360469616027118,0.5225560699535968
-8,-0.20656229798259135,-0.17924931704854444,-0.1122901421119259,-0.10281785023302226,-0.08773791760776214,-0.2297353768611899,-0.3348365578698824,0.19167018932151786,0.5549093611000823
-7,-0.21077203888987106,-0.1963222784340131,-0.08545357404471364,-0.025674734737296995,-0.07336368940980574,-0.23627651280447734,-0.3887032798773671,0.21906991314171265,0.583623639722669
-6,-0.23218150712261312,-0.23989001179359393,-0.06785268315430344,-0.055282062322166314,-0.10339378751036941,-0.2658563624356441,-0.40858374812152215,0.2612535527135631,0.5920253672773816
-5,-0.2619144891242674,-0.25423874967704413,-0.05801977131756737,-0.0634067402358969,-0.13340580261572582,-0.22857219317326347,-0.3691613924788998,0.3380907915974354,0.5837753452399039
-4,-0.271639676368677,-0.24058990975462255,-0.05397173443036167,-0.1503060433405419,-0.1947408764794969,-0.25565872529128536,-0.3320355523921801,0.4193459103155591,0.5722600882020302
-3,-0.2890273061190187,-0.28608383037904955,-0.07174400531151909,-0.16783192249854398,-0.20112143415930067,-0.13908955864617803,-0.22336785594777597,0.49413911867453447,0.5620531879305075
-2,-0.23465044484505834,-0.2699936738159502,-0.07539095454851401,-0.17386331640660446,-0.20760910033099864,-0.10052631872472242,-0.21327258288910464,0.4865531475189984,0.5031710831238556
-1,-0.23806375200454816,-0.23483168683747968,-0.06695586257008955,-0.14304448183449675,-0.17380560027730166,-0.05377691590654003,-0.17312065991003206,0.4580669192910571,0.43916253238094854
0,-0.24208678378496146,-0.2257906008728263,-0.047677972848843196,-0.1561353689501672,-0.13496148036161246,-0.11020133017205057,-0.19153405126231085,0.41969273738155033,0.3919021622248909
1,-0.22701691718166356,-0.1840177584885063,-0.03649515391180684,-0.1200341690793346,-0.08928839395890344,-0.10955984773574126,-0.1819422248654107,0.3884767710538126,0.34878396855097205
2,-0.22652303697057843,-0.15078334993359557,-0.025510408583015953,-0.07937037829720024,-0.039531390003267906,-0.06417658332050429,-0.1794087469468005,0.33731886680487416,0.30566610804120187
3,-0.18762182981070938,-0.07557068730818865,-0.010764314575672028,-0.041707294176437086,0.00635773587355134,-0.0934425530776874,-0.20884866650677011,0.3239864468652122,0.27677132079513467
4,-0.17459085201835178,-0.04126761877073384,0.010211849232752805,0.004509888525540699,0.06686708388833146,-0.14301231875835219,-0.20022372174290937,0.36482650565278724,0.2803521311047605
5,-0.17856029550993277,-0.023343042815886266,0.040103106860993734,0.035156087033698415,0.09164634221260506,-0.13030772993633985,-0.14426369321614474,0.39498865702605845,0.27559595308315066
6,-0.1992292735058239,-0.04601024744400969,0.08034828370042342,0.11026999071541879,0.08588157966968062,-0.03282091452337581,-0.07564775783934333,0.3872856332948413,0.24578847444450452
7,-0.2037431195380822,-0.04431490852731751,0.1464788806273812,0.06536222892811401,0.036853412747001955,-0.003994240066498743,-0.034927628877057464,0.3191070261866203,0.17452942844639585
8,-0.21129824903927222,-0.039586350475897814,0.23999289710263166,0.018254002379581517,0.0066451818605404705,0.02503217222024072,0.009576250289732982,0.23912544464762528,0.09609337094775455
9,-0.14986452334347694,0.022970993321812145,0.3496219782151129,-0.013961813240469675,-0.03669805941589493,0.04504032954503176,0.027571129965338396,0.1648637381710749,0.01700786504094062
10,-0.08813610377949724,0.06552631369053985,0.43601826482917444,-0.010729141878206873,-0.07855818539471474,0.17601599623910724,0.06595316979549279,0.1288223236634338,-0.04398979335959344
11,0.008693481344649359,0.21399049027893122,0.4976969651656282,-0.0919006893159553,-0.11264292936037629,0.07667520836484791,0.01787437082719745,0.1005992771011684,-0.09729661546639572
12,0.10123458574485243,0.2610901749575519,0.5326475745382291,-0.11990318193508762,-0.1285489733688617,0.030199871472548066,-0.02854370941731592,0.08284615743107074,-0.13450421205489121
