date,value,matrix_profile,matrix_profile_index
2017-08-01,25.0,0.0,12.0
2017-09-01,25.0,1.2814742548776324e-15,13.0
2017-10-01,25.0,9.346666907374255e-16,14.0
2017-11-01,25.0,0.0,15.0
2017-12-01,25.0,0.0,16.0
2018-01-01,25.0,0.0,17.0
2018-02-01,25.0,0.0,18.0
2018-03-01,25.0,0.0,19.0
2018-04-01,25.0,0.0,20.0
2018-05-01,25.0,0.31985161335809803,21.0
2018-06-01,25.0,0.4933354524992506,22.0
2018-07-01,25.0,0.7074113305226069,48.0
2018-08-01,30.0,0.0,0.0
2018-09-01,30.0,1.2814742548776324e-15,1.0
2018-10-01,30.0,9.346666907374255e-16,2.0
2018-11-01,30.0,0.0,3.0
2018-12-01,30.0,0.0,4.0
2019-01-01,30.0,0.0,5.0
2019-02-01,30.0,0.0,6.0
2019-03-01,30.0,0.0,7.0
2019-04-01,30.0,0.0,8.0
2019-05-01,30.0,0.31985161335809803,9.0
2019-06-01,30.0,0.4933354524992506,10.0
2019-07-01,30.0,0.7130003669284939,11.0
2019-08-01,40.0,0.32036448601393447,66.0
2019-09-01,40.0,0.6076606810923161,67.0
2019-10-01,40.0,0.6507481501603604,68.0
2019-11-01,40.0,0.7123296029932784,69.0
2019-12-01,40.0,0.7598310973973657,70.0
2020-01-01,40.0,0.7653668647301797,41.0
2020-02-01,40.0,0.7653668647301797,6.0
2020-03-01,40.0,0.5715592243432424,7.0
2020-04-01,35.0,0.3703315787593447,63.0
2020-05-01,35.0,0.30190347972931136,64.0
2020-06-01,35.0,0.26483267398304405,65.0
2020-07-01,35.0,0.24146303258648674,66.0
2020-08-01,40.0,0.2255720332168449,67.0
2020-09-01,40.0,0.0,55.0
2020-10-01,40.0,0.4246335913265724,69.0
2020-11-01,40.0,0.5455170835316699,70.0
2020-12-01,40.0,0.556499317648249,58.0
2021-01-01,40.0,0.556499317648249,59.0
2021-02-01,40.0,0.556499317648249,5.0
2021-03-01,25.0,0.0,6.0
2021-04-01,25.0,0.317379251054014,7.0
2021-05-01,25.0,0.4021317445363948,8.0
2021-06-01,25.0,0.4705373698232956,9.0
2021-07-01,25.0,0.5558976469981303,10.0
2021-08-01,25.0,0.581547843171461,5.0
2021-09-01,40.0,0.0,6.0
2021-10-01,40.0,0.0,74.0
2021-11-01,40.0,0.0,75.0
2021-12-01,40.0,0.0,76.0
2022-01-01,40.0,0.0,77.0
2022-02-01,40.0,0.0,78.0
2022-03-01,50.0,0.0,37.0
2022-04-01,50.0,7.665096401009792e-16,80.0
2022-05-01,50.0,0.49727256812625403,70.0
2022-06-01,50.0,0.556499317648249,39.0
2022-07-01,50.0,0.556499317648249,40.0
2022-08-01,50.0,0.556499317648249,41.0
2022-09-01,40.0,0.0,5.0
2022-10-01,40.0,0.0,6.0
2022-11-01,40.0,0.3703315787593447,32.0
2022-12-01,40.0,0.30190347972931136,33.0
2023-01-01,40.0,0.26483267398304405,34.0
2023-02-01,40.0,0.24146303258648674,35.0
2023-03-01,40.0,0.2255720332168449,36.0
2023-04-01,50.0,0.22169248968666155,37.0
2023-05-01,50.0,0.30493379452812114,56.0
2023-06-01,50.0,0.49727256812625403,57.0
2023-07-01,50.0,0.6245165885472125,58.0
2023-08-01,50.0,0.6888104653727704,41.0
2023-09-01,50.0,0.7045432398992807,42.0
2023-10-01,25.0,0.0,50.0
2023-11-01,25.0,0.0,51.0
2023-12-01,25.0,0.0,52.0
2024-01-01,25.0,0.0,53.0
2024-02-01,25.0,0.0,54.0
2024-03-01,35.0,0.0,37.0
2024-04-01,35.0,7.665096401009792e-16,56.0
2024-05-01,35.0,0.5715592243432424,56.0
2024-06-01,35.0,,
2024-07-01,35.0,,
2024-08-01,35.0,,
2024-09-01,25.0,,
2024-10-01,25.0,,
2024-11-01,25.0,,
2024-12-01,25.0,,
2025-01-01,25.0,,
2025-02-01,25.0,,
2025-03-01,25.0,,
2025-04-01,25.0,,
