date,actual,actual_train,actual_test,forecast_holt-winters,forecast_var
2017-08-01,25.0,25.0,,,
2017-09-01,25.0,25.0,,,
2017-10-01,25.0,25.0,,,
2017-11-01,25.0,25.0,,,
2017-12-01,25.0,25.0,,,
2018-01-01,25.0,25.0,,,
2018-02-01,25.0,25.0,,,
2018-03-01,25.0,25.0,,,
2018-04-01,25.0,25.0,,,
2018-05-01,25.0,25.0,,,
2018-06-01,25.0,25.0,,,
2018-07-01,25.0,25.0,,,
2018-08-01,30.0,30.0,,,
2018-09-01,30.0,30.0,,,
2018-10-01,30.0,30.0,,,
2018-11-01,30.0,30.0,,,
2018-12-01,30.0,30.0,,,
2019-01-01,30.0,30.0,,,
2019-02-01,30.0,30.0,,,
2019-03-01,30.0,30.0,,,
2019-04-01,30.0,30.0,,,
2019-05-01,30.0,30.0,,,
2019-06-01,30.0,30.0,,,
2019-07-01,30.0,30.0,,,
2019-08-01,40.0,40.0,,,
2019-09-01,40.0,40.0,,,
2019-10-01,40.0,40.0,,,
2019-11-01,40.0,40.0,,,
2019-12-01,40.0,40.0,,,
2020-01-01,40.0,40.0,,,
2020-02-01,40.0,40.0,,,
2020-03-01,40.0,40.0,,,
2020-04-01,35.0,35.0,,,
2020-05-01,35.0,35.0,,,
2020-06-01,35.0,35.0,,,
2020-07-01,35.0,35.0,,,
2020-08-01,40.0,40.0,,,
2020-09-01,40.0,40.0,,,
2020-10-01,40.0,40.0,,,
2020-11-01,40.0,40.0,,,
2020-12-01,40.0,40.0,,,
2021-01-01,40.0,40.0,,,
2021-02-01,40.0,40.0,,,
2021-03-01,25.0,25.0,,,
2021-04-01,25.0,25.0,,,
2021-05-01,25.0,25.0,,,
2021-06-01,25.0,25.0,,,
2021-07-01,25.0,25.0,,,
2021-08-01,25.0,25.0,,,
2021-09-01,40.0,40.0,,,
2021-10-01,40.0,40.0,,,
2021-11-01,40.0,40.0,,,
2021-12-01,40.0,40.0,,,
2022-01-01,40.0,40.0,,,
2022-02-01,40.0,40.0,,,
2022-03-01,50.0,50.0,,,
2022-04-01,50.0,50.0,,,
2022-05-01,50.0,50.0,,,
2022-06-01,50.0,50.0,,,
2022-07-01,50.0,50.0,,,
2022-08-01,50.0,50.0,,,
2022-09-01,40.0,40.0,,,
2022-10-01,40.0,40.0,,,
2022-11-01,40.0,40.0,,,
2022-12-01,40.0,40.0,,,
2023-01-01,40.0,40.0,,,
2023-02-01,40.0,40.0,,,
2023-03-01,40.0,40.0,,,
2023-04-01,50.0,50.0,,,
2023-05-01,50.0,50.0,,,
2023-06-01,50.0,50.0,,,
2023-07-01,50.0,50.0,,,
2023-08-01,50.0,50.0,,,
2023-09-01,50.0,50.0,,,
2023-10-01,25.0,25.0,,,
2023-11-01,25.0,25.0,,,
2023-12-01,25.0,25.0,,,
2024-01-01,25.0,25.0,,,
2024-02-01,25.0,25.0,,,
2024-03-01,35.0,35.0,,,
2024-04-01,35.0,35.0,,,
2024-05-01,35.0,,35.0,35.00176109608573,39.37860524887219
2024-06-01,35.0,,35.0,35.00262023161452,37.026796732563525
2024-07-01,35.0,,35.0,35.001018235745946,39.57428367109969
2024-08-01,35.0,,35.0,38.33354887649415,39.936390965245664
2024-09-01,25.0,,25.0,39.04776997623144,39.876903067110106
2024-10-01,25.0,,25.0,35.47693998813071,40.451099125581095
2024-11-01,25.0,,25.0,35.47761212965873,38.77216677274555
2024-12-01,25.0,,25.0,35.47781087607224,39.64062630881381
2025-01-01,25.0,,25.0,35.4770842561569,38.551210713922046
2025-02-01,25.0,,25.0,35.47591164003366,39.50406298524467
2025-03-01,25.0,,25.0,36.18973497563388,38.90149422758259
2025-04-01,25.0,,25.0,36.90469941862357,39.841773656895384
