lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9145863972269598,0.8467819882372749,0.9687400160816066,0.8960741369578225,0.46997951450623987,0.7812929851516952,0.05835068992818816,0.6583336475739795,0.9252571964451848,0.9410317699040326
2,0.8525755784166047,0.7735393534503436,0.9280542889929394,0.7921482739156445,0.11662966591190242,0.3620759821297702,-0.01850749326868606,0.3347987482948849,0.8114670461133506,0.8556446080531229
3,0.7993361635209209,0.7106224782181811,0.8800318924338453,0.6823939321213278,-0.11688728133392415,-0.0631394487082858,0.06038194040261412,0.06369064125630787,0.6784687184654691,0.7706582522843339
4,0.7601259208538693,0.7240039794896044,0.8265083409606724,0.5847854841562767,-0.2022287210687259,-0.3064800357486417,0.07211298084890659,0.05519902939275908,0.539067507938484,0.6882749010711756
5,0.7069383145244648,0.7109642131483578,0.7715227575601195,0.49075461905698897,-0.2708789865249995,-0.4278757929716529,0.09150328740633389,0.12523752898769125,0.3831224003973929,0.6078441757710987
6,0.6405184264910552,0.6596140083783848,0.715888897427324,0.41103408542075354,-0.30586390667073304,-0.46536476433886687,0.09796298996793949,0.1392179464131159,0.2256871232141545,0.5390211820054462
7,0.5826712538500909,0.5926019719187539,0.6604205157574232,0.3456238832475708,-0.25078738114503596,-0.43140278580094776,0.1004094648097803,0.09329781498251118,0.08143346888477945,0.48312157691366936
8,0.5233218998414898,0.5370748012159104,0.606091865168437,0.2766360982086248,-0.22632099261717828,-0.3218772945919046,-0.026703898586852848,0.0028609807876188963,-0.04946663735501213,0.4430061325317216
9,0.4748660980565245,0.5194070864019608,0.5522658596158797,0.22063195765334428,-0.12715289443878422,-0.1121469269248003,-0.11076288169319061,-0.03836153648778674,-0.14573465618982756,0.42436137827377796
10,0.43561793365539214,0.5038770449648995,0.499093898579623,0.16462781709806365,0.08692203379930631,0.18363793624964916,0.15547724790997458,-0.005019332089185177,-0.2447720784915571,0.3955392784993865
11,0.3888881048800331,0.48423080900035265,0.44683365385407864,0.10862367654278302,0.3308685472420655,0.46427015806762845,-0.028639613294793913,0.040321095752919096,-0.3023577487324415,0.38195749475090596
12,0.3642237848320809,0.42307283099434495,0.3929520842429416,0.04188678739021299,0.490233615941316,0.5978671520362494,-0.007094254426671795,0.0698258127229502,-0.3258719815876312,0.37269517877962793
