lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,0.16312395210540778,0.17968277961833876,0.19265148736367094,0.17738224185155838,0.2384279550124385,0.24119880828681842,0.41862209669125977,0.0396633457304547,0.014980303098165953
-11,0.17242107223156414,0.07817535721965628,0.23409900059388786,0.1533709170625805,0.1434585259498628,0.29230902026849054,0.3639708451608754,0.13308515363476636,0.0762610902249286
-10,0.136102764417082,0.03867904892732285,0.26419877023291394,0.08262701348611941,0.10464346759644984,0.21412001995058555,0.2545628603674834,0.18250514393006298,0.10426653106782341
-9,0.10424280089493396,-0.03626695593031584,0.2846204330010048,0.08018219761546574,0.11303318277295417,0.16763042836924014,0.1710286245533705,0.19186624706349553,0.11128729908613584
-8,0.079419305693665,-0.043659819161280235,0.2994741654719983,0.08484995941934141,0.08594090233854482,0.09744654099394609,0.0548098485014485,0.20810389049222994,0.11335518758895173
-7,0.015482026579975678,-0.05604001379929268,0.3203345246900534,0.09213714666403891,0.030640931920223283,0.08944057161945736,-0.0426491534797126,0.21262457672795237,0.09831480900521618
-6,-0.05065072740134284,-0.10936281530679279,0.3407159859105106,-0.0037701274457339453,-0.07136906999634193,-0.030014614052980376,-0.09656075879628287,0.2156337929183007,0.0892117796753936
-5,-0.09169803589261402,-0.12609256048710146,0.3568034888391623,-0.0841337305892985,-0.13341278185142844,-0.03848510210480551,-0.09088159295301729,0.22782165748435512,0.08072723271249724
-4,-0.08672377998557053,-0.11288676553817238,0.3746946774179182,-0.10137193102271412,-0.13682415325661815,0.0037294271650659817,-0.06447582199085675,0.25946001589983986,0.07390947805571702
-3,-0.10196187406950771,-0.10145499459556002,0.3940745723119722,-0.10733176876173928,-0.10377018452976909,-0.04410806998159683,-0.03563440856746458,0.27421190803010603,0.07247760739592661
-2,-0.10974253657858576,-0.0862101641286144,0.4158903020323683,-0.07332070159787377,-0.06112917862318491,0.0033703196900455134,-0.017810393059690437,0.2783225273534532,0.08371098320262205
-1,-0.1134703386898971,-0.09801529939453987,0.4320826307925796,-0.04827095196897043,-0.0024624667371926923,-0.005259439906400524,-0.002768990574610831,0.26778512155879025,0.09022912039651299
0,-0.11065208522498948,-0.10045558750156615,0.4482916691475756,-0.015814446093944414,0.048237145629787266,-0.017885204999941,0.1003277626806207,0.25077101998559714,0.07605398052564465
1,-0.04483486690362242,-0.019509351009253283,0.4239987145784308,0.05154828474982916,0.10575507172117705,0.05982997750063632,0.2039661533122218,0.2752686794009756,0.007217557232764352
2,0.03409153907054971,0.0707477557520914,0.3931481512114124,0.07568108275594491,0.13434945889957312,0.10391845738259306,0.2237041918290808,0.30476883037651425,-0.04228414903389107
3,0.13484086300339995,0.1761543159198192,0.3588604846799526,0.11643391177897236,0.14743824644681564,0.1600100811204436,0.19526596702753898,0.3241045668772196,-0.07797567409463514
4,0.21198208997327908,0.22696702163764862,0.32889621311944073,0.11599968090249803,0.1499224721917557,0.12754802227189885,0.2002768125808603,0.3041391292005247,-0.11110000204513773
5,0.27658348227817886,0.26093195262779245,0.29659274448230255,0.10342543142436837,0.11705912911019653,0.117522230006603,0.19724581035638877,0.26547940513006696,-0.1489308531559091
6,0.34209784658104236,0.30164700641563286,0.2576845085139273,0.1216465877499422,0.08480227977630016,0.1607648177305171,0.20414106835603069,0.20115701961338728,-0.1771023719370968
7,0.41860842556214667,0.37859356878153483,0.21147849691163523,0.039709643395932144,0.03663512302664421,0.09304330340957721,0.18686098945787444,0.1358155953313701,-0.22442239337380462
8,0.4913140447546049,0.4333755204010955,0.15792357251935318,0.0289330436934965,0.019325579111870012,0.14296511438921353,0.22100089586742636,0.05111854170150312,-0.2961789103509121
9,0.5439695748592287,0.4510238092800328,0.09393746611356764,0.01261508424246247,-0.0014980237680746388,0.1663636438575157,0.20002056282076638,-0.00022357365414230878,-0.3592397557487227
10,0.5761483641702043,0.45046718741175934,0.020621258627790677,0.00020962355382623063,-0.005707786851289591,0.14593978390118192,0.19120278977856164,-0.04231871925766397,-0.4409069064483902
11,0.6032898132870324,0.47836742355475287,-0.055232711777153935,-0.018629964535779465,0.04044535947033156,0.08767943774047844,0.24722074371579186,-0.055372852321609226,-0.5242640881501389
12,0.6179281134625536,0.4983914805792663,-0.13316593152944495,0.0030655666783889804,0.09316446370127751,0.11158739465408517,0.25932749483219314,-0.07528902331725668,-0.6131745569649224
