date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-05-01,24.0,24.0,,,,
2017-06-01,24.0,24.0,,,,
2017-07-01,24.0,24.0,,,,
2017-08-01,30.0,30.0,,,,
2017-09-01,30.0,30.0,,,,
2017-10-01,30.0,30.0,,,,
2017-11-01,30.0,30.0,,,,
2017-12-01,30.0,30.0,,,,
2018-01-01,30.0,30.0,,,,
2018-02-01,30.0,30.0,,,,
2018-03-01,30.0,30.0,,,,
2018-04-01,30.0,30.0,,,,
2018-05-01,30.0,30.0,,,,
2018-06-01,30.0,30.0,,,,
2018-07-01,30.0,30.0,,,,
2018-08-01,50.0,50.0,,,,
2018-09-01,50.0,50.0,,,,
2018-10-01,50.0,50.0,,,,
2018-11-01,50.0,50.0,,,,
2018-12-01,50.0,50.0,,,,
2019-01-01,50.0,50.0,,,,
2019-02-01,50.0,50.0,,,,
2019-03-01,50.0,50.0,,,,
2019-04-01,50.0,50.0,,,,
2019-05-01,50.0,50.0,,,,
2019-06-01,50.0,50.0,,,,
2019-07-01,50.0,50.0,,,,
2019-08-01,40.0,40.0,,,,
2019-09-01,40.0,40.0,,,,
2019-10-01,40.0,40.0,,,,
2019-11-01,40.0,40.0,,,,
2019-12-01,40.0,40.0,,,,
2020-01-01,40.0,40.0,,,,
2020-02-01,40.0,40.0,,,,
2020-03-01,40.0,40.0,,,,
2020-04-01,45.0,45.0,,,,
2020-05-01,45.0,45.0,,,,
2020-06-01,45.0,45.0,,,,
2020-07-01,45.0,45.0,,,,
2020-08-01,40.0,40.0,,,,
2020-09-01,40.0,40.0,,,,
2020-10-01,40.0,40.0,,,,
2020-11-01,40.0,40.0,,,,
2020-12-01,40.0,40.0,,,,
2021-01-01,40.0,40.0,,,,
2021-02-01,40.0,40.0,,,,
2021-03-01,35.0,35.0,,,,
2021-04-01,35.0,35.0,,,,
2021-05-01,35.0,35.0,,,,
2021-06-01,35.0,35.0,,,,
2021-07-01,35.0,35.0,,,,
2021-08-01,35.0,35.0,,,,
2021-09-01,45.0,45.0,,,,
2021-10-01,45.0,45.0,,,,
2021-11-01,45.0,45.0,,,,
2021-12-01,45.0,45.0,,,,
2022-01-01,45.0,45.0,,,,
2022-02-01,45.0,45.0,,,,
2022-03-01,45.0,45.0,,,,
2022-04-01,45.0,45.0,,,,
2022-05-01,45.0,45.0,,,,
2022-06-01,45.0,45.0,,,,
2022-07-01,45.0,45.0,,,,
2022-08-01,45.0,45.0,,,,
2022-09-01,45.0,45.0,,,,
2022-10-01,45.0,45.0,,,,
2022-11-01,45.0,45.0,,,,
2022-12-01,45.0,45.0,,,,
2023-01-01,45.0,45.0,,,,
2023-02-01,45.0,45.0,,,,
2023-03-01,45.0,45.0,,,,
2023-04-01,45.0,45.0,,,,
2023-05-01,45.0,45.0,,,,
2023-06-01,45.0,45.0,,,,
2023-07-01,45.0,45.0,,,,
2023-08-01,45.0,45.0,,,,
2023-09-01,45.0,45.0,,,,
2023-10-01,25.0,25.0,,,,
2023-11-01,25.0,25.0,,,,
2023-12-01,25.0,25.0,,,,
2024-01-01,25.0,25.0,,,,
2024-02-01,25.0,25.0,,,,
2024-03-01,30.0,30.0,,,,
2024-04-01,30.0,30.0,,,,
2024-05-01,30.0,,30.0,30.00012622985168,29.918737788193837,32.76914708643113
2024-06-01,30.0,,30.0,30.000259839525434,29.918972957682833,35.580593480014805
2024-07-01,30.0,,30.0,30.000173762095635,29.919364641427745,37.26256064871413
2024-08-01,30.0,,30.0,31.57153960507791,29.723006061871484,37.26803438894307
2024-09-01,25.0,,25.0,32.99997857758599,30.68468255444818,36.79110940859546
2024-10-01,25.0,,25.0,30.14268300846771,18.69311172537718,36.0686224757859
2024-11-01,25.0,,25.0,30.142665268270502,18.693111762533974,34.968526583902914
2024-12-01,25.0,,25.0,30.142654234960524,18.69311176503446,34.05515742886823
2025-01-01,25.0,,25.0,30.142690177828744,18.693111762526964,33.49007273933913
2025-02-01,25.0,,25.0,30.14275292907673,18.693111771786057,33.280628241847054
2025-03-01,30.0,,30.0,30.14286000974277,21.49816794896149,33.46621714532433
2025-04-01,30.0,,30.0,30.857264204012306,21.57606411137826,33.946921018368286
