lag,acf,pacf
0,1.0,1.0
1,-0.0011579261915433724,-0.0011706506551867409
2,-0.001743114696947068,-0.001783223445828276
3,-0.0017555655162109674,-0.0018189273345117342
4,-0.0017680163354749099,-0.0018558399694431663
5,-0.001780467154738797,-0.0018936576185114827
6,-0.15986851934857307,-0.171039061774856
7,-0.0018053687932665877,-0.0025007410579337263
8,-9.960655411127249e-05,-0.0008181202982889988
9,-0.00011205737337515751,-0.0008439455460348042
10,-0.00012450819263907703,-0.0008689181837621812
11,-0.052828826136759766,-0.06253012403202984
12,-0.2893819413317397,-0.3746855643431899
13,-0.1576647243388615,-0.23403809484210897
14,-0.00017431146969471202,-0.03702322932258034
15,-0.00018676228895862248,-0.012688230496028638
16,-0.00019921310822247848,-0.008035972374518105
17,0.15786393744708396,0.20502823782135646
18,-0.00022411474675031705,-0.14467560263381987
19,-0.10562029981572786,-0.3277073622880942
20,-0.00024901638527811005,-0.10192151361538092
21,-0.0002614672045420725,-0.028115375317491687
22,-0.00027391802380595997,-0.006766511837072233
23,-0.05297823596792668,-0.004214525122390414
24,0.07702076796653222,-0.09334426755484423
