lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,0.2041617636726748,0.4092594646489732,0.3421217105854865,-0.09353610797225544,-0.15540199064860435,-0.22190109433318195,-0.34305934538784766,-0.45652678932133267,-0.3220220420425244
-11,0.05281471067536413,0.21100404374347675,0.34280146936781253,-0.10995564872418474,-0.19057770969736082,-0.22734167651614912,-0.34003613653344267,-0.5095546597970085,-0.33843450121780144
-10,-0.0012120997418500407,0.14966922499457738,0.33500454680646313,-0.13679268353523244,-0.19784091360364411,-0.22028994241560484,-0.24376760200371075,-0.5214409859154842,-0.33918265355560656
-9,-0.07245928106282416,0.0639961795512019,0.3246104492773361,-0.1457517166949864,-0.21426285821710492,-0.17577454636767412,-0.25365031636821234,-0.5078686274929418,-0.32534268865482463
-8,-0.12218071093487862,0.03625060666947119,0.3116518265019639,-0.1497984909406097,-0.22865772880651353,-0.15017740733511825,-0.26663740106791994,-0.4297249303934318,-0.2782971035312895
-7,-0.06683743826787689,0.03941588712971,0.35202632766002606,-0.15919299956885138,-0.16160187767200357,-0.16280028427014337,-0.18679958331203259,-0.2662292346997152,-0.2584092480514773
-6,-0.03529486289923394,0.018119839059718444,0.3867824389440261,-0.16284882445406768,-0.07932447253555491,-0.14946461190560575,-0.0748436697650405,-0.1386299527096052,-0.24696321478188202
-5,-0.0031773064956160356,-0.05513021385302398,0.4167951776623447,-0.01925332298821078,0.00528781774453995,0.0238214337880485,0.06746394156336027,-0.05522839341309901,-0.25880449302204345
-4,0.05794523998657031,-0.050890480584431956,0.4423712787198217,0.012033416215101584,0.032089435144470754,0.08358960072377565,0.1198100554020534,-0.013890979984708703,-0.268331159109998
-3,0.022834956497304593,-0.0787108076546853,0.456687745481525,0.02447066193527503,0.05445126457675479,0.09672171440919866,0.15121653099430135,-0.005248195954266643,-0.2704006344289115
-2,0.033282237018758085,-0.1304241777683408,0.450701110722291,0.04010944065451879,0.07899413539390239,0.1054091501128832,0.1658353291779554,0.0076174240217217505,-0.26997314053913457
-1,-0.0044140061396342675,-0.1240339687439362,0.3880845838873827,0.05718018177280402,0.10282878988873018,0.11968044248956579,0.16988339855488774,-0.010129405218602035,-0.2719358996651892
0,-0.0299942012452898,-0.17078552398974534,0.3546371233883429,0.07816762908961829,0.12325287031302912,0.11887432764939973,0.1721581384345699,-0.03722527046381491,-0.2859570506325848
1,-0.011060644199707197,-0.1575091163075455,0.3265192073498593,0.09064457120837092,0.13419234819967255,0.11606612493346966,0.1556168913021146,-0.07799882803558164,-0.27995034188391305
2,0.06361777545660681,-0.06363516825714675,0.2935905897298352,0.11074207936648083,0.15331152536250514,0.10903804123384467,0.1711913882092797,-0.11282968006935055,-0.28803317987653865
3,0.1030494652303132,0.003595734214050803,0.2560418727845276,0.10293823874873763,0.1944432729994216,0.08488188953055634,0.22556271485502633,-0.13160970520887916,-0.302186094726348
4,0.16095585395445466,0.03931685460068785,0.21226282943342056,0.13320529677041468,0.23963130959327955,0.12899786079552478,0.2896584499647771,-0.13931436622032664,-0.34388556384235436
5,0.2093807476742981,0.08278322875361217,0.1686596509860308,0.20339582548587667,0.2044419285315113,0.2037206941494647,0.2675317006366634,-0.18689371932275983,-0.4035751982367852
6,0.19347747975326124,0.10082848389139157,0.12876362923134504,0.2051922988697325,0.12009565357768734,0.231348399878655,0.20832439478977396,-0.22853500076742606,-0.4498103927842438
7,0.14954329059314553,0.09877242928972173,0.09366678479961883,0.05371147785588812,0.03049648677237942,0.09431015982570806,0.10725908853463122,-0.244636470882772,-0.4828642513573241
8,0.17229880362473157,0.16482802361839266,0.06377603905693949,0.013341625153346562,0.007100912878222868,0.055676847196203784,0.0768289037866441,-0.22073585602127557,-0.48846608884979875
9,0.24669203294530082,0.24088673729009613,0.050746690805204976,0.003945159649949346,0.005734458124816819,0.04698835829670061,0.07931496696751786,-0.15493960009488633,-0.46092794052649816
10,0.2620936159073748,0.274025064259459,0.03683572755088214,0.0013046689608476802,0.017526209430110608,0.03861801042500059,0.08514404869841394,-0.08633984958625925,-0.42993296704005896
11,0.27686386068863084,0.3078776116339847,0.022053189345755824,0.010370010852102325,0.04224763750619579,0.05305254283326699,0.12313403506889982,-0.0013327918322466373,-0.39161279406843097
12,0.2830423500724123,0.31205429432484105,0.00640439672041917,0.030386400803794785,0.07862827264520812,0.06392108034272352,0.14506418059736262,0.09111058786023915,-0.3490075212585983
