date,value,matrix_profile,matrix_profile_index
2017-08-01,45.0,0.0,12.0
2017-09-01,45.0,1.5740127955196998e-15,25.0
2017-10-01,45.0,1.5039322214409696e-15,26.0
2017-11-01,45.0,0.0,59.0
2017-12-01,45.0,1.5622222714862009e-15,60.0
2018-01-01,45.0,4.440892098500626e-16,29.0
2018-02-01,45.0,0.0,62.0
2018-03-01,45.0,1.398102463420839e-15,31.0
2018-04-01,45.0,6.661338147750939e-16,32.0
2018-05-01,45.0,0.0,65.0
2018-06-01,45.0,1.5039322214409696e-15,34.0
2018-07-01,45.0,1.5624688148904796e-15,35.0
2018-08-01,40.0,0.0,0.0
2018-09-01,40.0,9.904243122728925e-16,38.0
2018-10-01,40.0,4.440892098500626e-16,39.0
2018-11-01,40.0,2.9373740229761033e-16,40.0
2018-12-01,40.0,7.419967475909162e-16,71.0
2019-01-01,40.0,8.479468414379336e-17,42.0
2019-02-01,40.0,4.440892098500626e-16,43.0
2019-03-01,40.0,1.0235750533041806e-15,44.0
2019-04-01,40.0,2.5639502485114184e-16,45.0
2019-05-01,40.0,8.3820000221454525e-16,46.0
2019-06-01,40.0,1.7699847578072258e-15,47.0
2019-07-01,40.0,7.447602459741819e-16,48.0
2019-08-01,55.00000000000001,0.0,0.0
2019-09-01,55.00000000000001,9.904243122728925e-16,57.0
2019-10-01,55.00000000000001,4.440892098500626e-16,58.0
2019-11-01,55.00000000000001,8.3820000221454525e-16,3.0
2019-12-01,55.00000000000001,2.5639502485114184e-16,60.0
2020-01-01,55.00000000000001,4.440892098500626e-16,5.0
2020-02-01,55.00000000000001,4.440892098500626e-16,6.0
2020-03-01,55.00000000000001,8.479468414379336e-17,63.0
2020-04-01,55.00000000000001,6.661338147750939e-16,8.0
2020-05-01,55.00000000000001,2.9373740229761033e-16,9.0
2020-06-01,55.00000000000001,4.440892098500626e-16,66.0
2020-07-01,55.00000000000001,1.0179146870343963e-15,67.0
2020-08-01,40.0,0.0,0.0
2020-09-01,40.0,0.0,0.0
2020-10-01,40.0,9.904243122728925e-16,13.0
2020-11-01,40.0,4.440892098500626e-16,14.0
2020-12-01,40.0,0.0,70.0
2021-01-01,40.0,8.208645989907719e-16,16.0
2021-02-01,40.0,8.479468414379336e-17,17.0
2021-03-01,40.0,0.0,73.0
2021-04-01,40.0,1.0235750533041806e-15,19.0
2021-05-01,40.0,2.5639502485114184e-16,20.0
2021-06-01,40.0,8.3820000221454525e-16,21.0
2021-07-01,40.0,1.7699847578072258e-15,22.0
2021-08-01,40.0,7.447602459741819e-16,23.0
2021-09-01,50.0,0.0,0.0
2021-10-01,50.0,0.0,0.0
2021-11-01,50.0,0.0,0.0
2021-12-01,50.0,0.0,0.0
2022-01-01,50.0,0.0,0.0
2022-02-01,50.0,0.0,0.0
2022-03-01,50.0,0.0,0.0
2022-04-01,50.0,0.0,0.0
2022-05-01,50.0,9.904243122728925e-16,25.0
2022-06-01,50.0,4.440892098500626e-16,26.0
2022-07-01,50.0,0.0,3.0
2022-08-01,50.0,2.5639502485114184e-16,28.0
2022-09-01,50.0,1.0235750533041806e-15,29.0
2022-10-01,50.0,0.0,6.0
2022-11-01,50.0,8.479468414379336e-17,31.0
2022-12-01,50.0,9.019494489765868e-16,32.0
2023-01-01,50.0,0.0,9.0
2023-02-01,50.0,4.440892098500626e-16,34.0
2023-03-01,50.0,1.0179146870343963e-15,35.0
2023-04-01,40.0,1.5740127955196998e-15,13.0
2023-05-01,40.0,1.5039322214409696e-15,14.0
2023-06-01,40.0,0.0,40.0
2023-07-01,40.0,7.419967475909162e-16,16.0
2023-08-01,40.0,1.398102463420839e-15,17.0
2023-09-01,40.0,0.0,43.0
2023-10-01,40.0,0.5867923748912971,25.0
2023-11-01,40.0,0.42904688671414065,26.0
2023-12-01,40.0,0.3382039574515255,3.0
2024-01-01,40.0,0.2654663020508172,28.0
2024-02-01,40.0,0.18723319756483287,29.0
2024-03-01,45.0,0.0,6.0
2024-04-01,45.0,0.18723319756483287,31.0
2024-05-01,45.0,0.2654663020508172,8.0
2024-06-01,45.0,,
2024-07-01,45.0,,
2024-08-01,45.0,,
2024-09-01,30.0,,
2024-10-01,30.0,,
2024-11-01,30.0,,
2024-12-01,30.0,,
2025-01-01,30.0,,
2025-02-01,30.0,,
2025-03-01,35.0,,
2025-04-01,35.0,,
