lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.46546865631261064,0.39031955258000606,0.9898353680749042,0.9048248198839849,0.4311726670068886,0.7662423409099112,0.04090280522643911,0.6767675164662745,0.964286932770512,0.9777663941438244
2,0.31037084798382125,0.36171465326603164,0.9740362071666471,0.8096496397679699,0.10061531348382088,0.3354820177881669,0.04811678059506701,0.39168756307503966,0.900350197723247,0.9507148057151948
3,0.3752089849013796,0.18223425574655652,0.9535734700395697,0.7144744596519549,-0.13662137609840727,-0.09150133041864061,0.07523323644744782,0.1275763062390548,0.8166167896028006,0.9173122402592404
4,0.4523754682410849,0.2261594406876889,0.9298665560384078,0.6221207731898655,-0.22246190140485647,-0.3032020853711958,0.004577930167982522,0.07612509122472645,0.7228564074184375,0.8805151870817843
5,0.42031668818538703,0.22770437088027498,0.9038470245567085,0.537083763950274,-0.22521186096214973,-0.39102736938354987,0.05758703296713418,0.0533599740847223,0.6194244222817761,0.8396649376279992
6,0.40091843673809635,0.20892123714901698,0.876354942752102,0.450217585405058,-0.21332382379030498,-0.414696030370524,0.0796790853582982,0.03412351173005604,0.5135544310536165,0.7976067706684781
7,0.29067775873127305,0.182945711327631,0.8480200561443363,0.3615222375542177,-0.25413908243349803,-0.4084887059353348,-0.02732401072172467,0.0015279085012711647,0.40832639430466355,0.7548419890774147
8,0.3425607903846838,0.22068771018461056,0.8188946124212825,0.2728268897033774,-0.23266268598933773,-0.3181581560311448,-0.0011926836210291612,0.01646304485460286,0.30492526201520875,0.7150918684567571
9,0.30709870981692383,0.28417006000857264,0.7894484493960467,0.1813077617369792,-0.14698908126167576,-0.10611743629447301,-0.10569157517729538,0.0038557650138313537,0.19470820246943968,0.673588043242078
10,0.3352213137701007,0.20906971251756648,0.7584477125138038,0.08978863377058104,0.13455576167129701,0.21121810259703486,0.1781578498327882,0.09816959559207361,0.08810393943897414,0.6336189234135818
11,0.2851369494184723,0.21598054786078177,0.7253334997121198,-0.0017304941958170483,0.354270375247512,0.4785048830496237,-0.0009047885196830991,0.1354063847325809,-0.005827944383281122,0.5933178829107048
12,0.2825483701136315,0.09470462731349677,0.6896809014753895,-0.10422463799596209,0.4402997501328349,0.5861731325889619,0.0018286681376902634,0.15218825266254776,-0.08601910951508418,0.5530715922097876
