lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.034448123662798605,0.022287330317702258,-0.2151287480681663,0.09894380387952147,-0.0647740125745995,0.10755184574393176,0.18011644435827856,0.0640335597318696,0.019525560751041456
-11,-0.15943288185008772,-0.07893055913296805,-0.14185670924387728,-0.14118407166483418,-0.2548044744204499,0.08269933130048014,0.1476580803304316,0.13476893686400343,0.07211083901639861
-10,-0.16740239265861204,-0.10614017537285042,-0.08472067875984729,-0.216307058738075,-0.22337886655102882,0.10410774390981717,0.18435733276762928,0.18477874341182343,0.10236783616054634
-9,-0.25567144904726286,-0.24938101022123163,-0.04074084462989628,-0.18312492119813806,-0.12411805290206085,0.11628475665349249,0.10079417356069162,0.22526638641192323,0.11804085502255977
-8,-0.10502713972824085,-0.2614208297987965,-0.0068546118699505726,-0.09406817258163203,0.038344156464900074,0.053417162687724465,0.049112320167739525,0.2740774494441936,0.12859395065425638
-7,-0.13679336868389624,-0.219033971344979,0.0034497259044054883,0.035770907533822484,0.14057438838724665,0.0358998087604595,-0.0058606298516969985,0.2998288076517902,0.12026668618024558
-6,-0.21955787459657222,-0.29657127952764234,0.01359337541726369,0.11313256177661926,0.13180982121485205,0.01742764351681588,-0.005042980839370005,0.31727188555454533,0.11064826229698782
-5,-0.2053161940590377,-0.25527169235630265,0.02326574185543296,0.05872256603208826,0.0879322755980589,0.0018811478535539444,-0.006968687078003007,0.32806931517643967,0.10404444624837697
-4,-0.25041492577866253,-0.2695736932740207,0.0327715384658778,0.06831192099867141,0.12165917064387519,0.04763516897546654,0.0726003774445306,0.3328688468458265,0.08628984175176241
-3,-0.21466735147435145,-0.18917475143917073,0.04589456270926438,0.07604609333279116,0.14093467024093387,0.02088178556759715,0.12450877442242554,0.327114368446102,0.060553752966887794
-2,-0.1735667847697886,-0.17041092597678006,0.060968341876130906,0.1348929286523192,0.12471577396347923,0.13204110395023647,0.1661746884270431,0.3034570327680296,0.0334567843198004
-1,-0.2063640317414252,-0.2205837269131872,0.07196185949130587,0.11151126947608145,0.060970658598357,0.1205348147414272,0.15719408861722078,0.2788147491916961,0.00937585798614533
0,-0.24259553723922056,-0.20013033233046124,0.08935856150637296,0.030757936425338587,-0.00650102602101657,0.09014219290334473,0.21364769133626943,0.26706257243337506,-0.0033643607664261056
1,-0.19730472731250154,-0.18862087811846343,0.07367702253021033,-0.0205871703234411,-0.011685893208417007,0.10204386962740541,0.2834637095627439,0.2618759002719051,-0.0348933936636155
2,-0.10139961708097009,-0.09116040056315805,0.05408633142651045,-0.02162204194881548,0.03520186910338099,0.1523832595566186,0.3401608877819261,0.24351587433912228,-0.06960962063189356
3,-0.03335299115204659,-0.03173004898777084,0.030791132151227953,0.021399164599550442,0.08956314984717825,0.20390548463475766,0.3183173836275899,0.2181842369028341,-0.1107578392945207
4,0.019016132025085633,-0.01578447865527145,0.005458428970286102,0.086509833512548,0.1459130958634706,0.22931281322158345,0.2754641815773514,0.18340188643308175,-0.1560098256705209
5,0.03518186395595244,-0.025654206978294427,-0.021750604768291052,0.09962772213207025,0.16604583672905543,0.1369413613430952,0.19558010225435282,0.1553108422777327,-0.19883723458183625
6,0.025586868950346283,0.0002621393288908584,-0.05196637932916914,0.14820529526943257,0.16977406530395772,0.10468292272571093,0.133753067698069,0.12568173195645438,-0.2406646866210497
7,0.18528652569065676,0.03562688784810084,-0.08386848799793274,0.13070545232706068,0.1528325349297794,0.0664217192229976,0.09068242718330172,0.09721125322493267,-0.2863149549852168
8,0.2531044711168065,0.031821187372332395,-0.1203620255796456,0.10607530873498194,0.1400577402753199,0.013398824724473417,0.07336262179119128,0.054049565961287745,-0.34092702677037623
9,0.2587503618120966,0.030648565718705584,-0.16160050596527298,0.1095721902927791,0.11961641399939159,0.03688392127842433,0.09069159337008417,-0.006408814136140147,-0.39865737697423026
10,0.28362588031157454,0.05977786009377733,-0.20727467853492068,0.10171630305084313,0.07348156688230206,0.04334776409741654,0.10452853088861913,-0.06168600936304203,-0.4499189966297758
11,0.3680993974689589,0.2800790775388348,-0.25625417288928276,0.0586945898977988,0.02552049280853621,0.03483690899935824,0.17246788434398283,-0.11546279085587915,-0.5031175032681551
12,0.3398390185730409,0.29075423347891044,-0.30959928273328374,0.004851114901193848,-0.02792485851793697,0.07074302150825532,0.23456688174021753,-0.17554376475149755,-0.5575715320200818
