date,actual,actual_train,actual_test,forecast_holt-winters,forecast_var
2017-05-01,23.0,23.0,,,
2017-06-01,23.0,23.0,,,
2017-07-01,23.0,23.0,,,
2017-08-01,25.0,25.0,,,
2017-09-01,25.0,25.0,,,
2017-10-01,25.0,25.0,,,
2017-11-01,25.0,25.0,,,
2017-12-01,25.0,25.0,,,
2018-01-01,25.0,25.0,,,
2018-02-01,25.0,25.0,,,
2018-03-01,25.0,25.0,,,
2018-04-01,25.0,25.0,,,
2018-05-01,25.0,25.0,,,
2018-06-01,25.0,25.0,,,
2018-07-01,25.0,25.0,,,
2018-08-01,60.0,60.0,,,
2018-09-01,60.0,60.0,,,
2018-10-01,60.0,60.0,,,
2018-11-01,60.0,60.0,,,
2018-12-01,60.0,60.0,,,
2019-01-01,60.0,60.0,,,
2019-02-01,60.0,60.0,,,
2019-03-01,60.0,60.0,,,
2019-04-01,60.0,60.0,,,
2019-05-01,60.0,60.0,,,
2019-06-01,60.0,60.0,,,
2019-07-01,60.0,60.0,,,
2019-08-01,55.00000000000001,55.00000000000001,,,
2019-09-01,55.00000000000001,55.00000000000001,,,
2019-10-01,55.00000000000001,55.00000000000001,,,
2019-11-01,55.00000000000001,55.00000000000001,,,
2019-12-01,55.00000000000001,55.00000000000001,,,
2020-01-01,55.00000000000001,55.00000000000001,,,
2020-02-01,55.00000000000001,55.00000000000001,,,
2020-03-01,55.00000000000001,55.00000000000001,,,
2020-04-01,35.0,35.0,,,
2020-05-01,35.0,35.0,,,
2020-06-01,35.0,35.0,,,
2020-07-01,35.0,35.0,,,
2020-08-01,40.0,40.0,,,
2020-09-01,40.0,40.0,,,
2020-10-01,40.0,40.0,,,
2020-11-01,40.0,40.0,,,
2020-12-01,40.0,40.0,,,
2021-01-01,40.0,40.0,,,
2021-02-01,40.0,40.0,,,
2021-03-01,35.0,35.0,,,
2021-04-01,35.0,35.0,,,
2021-05-01,35.0,35.0,,,
2021-06-01,35.0,35.0,,,
2021-07-01,35.0,35.0,,,
2021-08-01,35.0,35.0,,,
2021-09-01,50.0,50.0,,,
2021-10-01,50.0,50.0,,,
2021-11-01,50.0,50.0,,,
2021-12-01,50.0,50.0,,,
2022-01-01,50.0,50.0,,,
2022-02-01,50.0,50.0,,,
2022-03-01,55.00000000000001,55.00000000000001,,,
2022-04-01,55.00000000000001,55.00000000000001,,,
2022-05-01,55.00000000000001,55.00000000000001,,,
2022-06-01,55.00000000000001,55.00000000000001,,,
2022-07-01,55.00000000000001,55.00000000000001,,,
2022-08-01,55.00000000000001,55.00000000000001,,,
2022-09-01,50.0,50.0,,,
2022-10-01,50.0,50.0,,,
2022-11-01,50.0,50.0,,,
2022-12-01,50.0,50.0,,,
2023-01-01,50.0,50.0,,,
2023-02-01,50.0,50.0,,,
2023-03-01,50.0,50.0,,,
2023-04-01,45.0,45.0,,,
2023-05-01,45.0,45.0,,,
2023-06-01,45.0,45.0,,,
2023-07-01,45.0,45.0,,,
2023-08-01,45.0,45.0,,,
2023-09-01,45.0,45.0,,,
2023-10-01,40.0,40.0,,,
2023-11-01,40.0,40.0,,,
2023-12-01,40.0,40.0,,,
2024-01-01,40.0,40.0,,,
2024-02-01,40.0,40.0,,,
2024-03-01,35.0,35.0,,,
2024-04-01,35.0,35.0,,,
2024-05-01,35.0,,35.0,34.858284694927875,32.672883767758066
2024-06-01,35.0,,35.0,34.85848894292233,38.49593703662036
2024-07-01,35.0,,35.0,34.85809501562878,42.69331490173893
2024-08-01,35.0,,35.0,40.14404596944011,47.57508478196138
2024-09-01,30.0,,30.0,41.57185765622175,48.361124669913046
2024-10-01,30.0,,30.0,40.857873894919685,48.987612934704956
2024-11-01,30.0,,30.0,40.857491819557026,48.62757502641968
2024-12-01,30.0,,30.0,40.857064560224494,48.33261522726842
2025-01-01,30.0,,30.0,40.85650458127853,47.2759142105845
2025-02-01,30.0,,30.0,40.85692820593473,45.916032021114546
2025-03-01,30.0,,30.0,40.14265610234293,44.79877031448734
2025-04-01,30.0,,30.0,36.5717437346021,44.36465156821684
