lag,acf,pacf
0,1.0,1.0
1,-0.001112339660955665,-0.0011245631737134374
2,-0.0007575072959913124,-0.0007756064146541758
3,-0.0007694679375070001,-0.0007971502355867204
4,-0.09076797950211836,-0.09489642754322077
5,-0.0682833024128601,-0.07308812132331438
6,-0.023301987592827887,-0.026132491516439416
7,-0.00081731050356958,-0.0016611419946006513
8,-0.22506206243986457,-0.25966153503491984
9,-0.00010764577364088366,-0.020866988392531212
10,-0.00011960641515652304,-0.015324480450252559
11,0.0673583461356496,0.07246317040723083
12,0.033601428897973046,-0.016367636429072855
13,-0.07889372039741227,-0.14185365602055414
14,-0.0009010349941791695,-0.02124828281440341
15,-0.0009129956356948079,0.013846831448978867
16,-0.0009249562772104469,-0.05795118470256214
17,0.25777441698517417,0.3221011843773793
18,-0.02344551529101568,-0.06237008891775031
19,0.00013954081768263908,0.04454383926308194
20,0.00012758017616697385,0.005217201150308781
21,0.00011561953465129731,0.004773501646015493
22,0.00010365889313563953,0.05312469591046431
23,9.16982516199933e-05,0.019002321434414906
24,0.024410340373278303,0.042856769794316234
