lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7570074734950892,0.48894348314455893,0.9690173776744078,0.8773207024673298,0.3635358892034251,0.7569468644042954,0.14958353361898907,0.6501958539746113,0.9328296593103811,0.956830227081735
2,0.6648188812619258,0.42092027614098854,0.9322978486634658,0.7546414049346599,0.13254311171936867,0.3636265701758995,0.10410926409784843,0.34391979455708294,0.8241226328393023,0.8970927736879427
3,0.48013308660223536,0.20458626379188033,0.8902371810544607,0.6376858063075073,-0.13983204225797605,-0.07651409639743714,-0.1032670824553971,-0.06514107227734749,0.7265966492991929,0.8433043329745524
4,0.3318787661165248,0.11451266429492674,0.8432303310487411,0.5207302076803544,-0.12715436228267182,-0.30401528355245205,-0.026226033485077467,-0.189828568790717,0.6269141558875586,0.7921680989069321
5,0.231396988183379,0.14600575876980604,0.7943133155961789,0.4245474480078585,-0.31062771149110135,-0.4538151242960928,-0.1260223352487679,-0.27032101610307785,0.5054868724601421,0.7208549198467669
6,0.23869776517101765,0.013590278000814075,0.7438565360879343,0.3439443175513557,-0.25422178893727937,-0.47154422161487153,-0.09601673086493442,-0.19070685539383725,0.3766151453282525,0.6483976998865241
7,0.29834320321054425,0.10553808928386163,0.6921915622898726,0.2685343968335171,-0.26892304478624707,-0.4329507179504859,-0.031758312450854476,-0.15205700411727835,0.25821970049688736,0.5794660941409285
8,0.35143289591760096,0.12535871535699522,0.6394293752912784,0.19312447611567854,-0.13118528139386315,-0.2901295676617217,-0.08027315403131849,-0.09245993458936833,0.15106669991390895,0.5089746562864099
9,0.4819570665091033,0.32660293083886166,0.585683533166448,0.18109405059551686,-0.1209427946738596,-0.1110767727614986,-0.04326825305315722,-0.043338985560191924,0.05730633041101934,0.44159304143769296
10,0.5606154028347479,0.3259342649981973,0.5310579399900643,0.1690636250753553,0.08103279005227704,0.16934610018158047,0.17709072811777754,0.02068746680651051,-0.02693389172635313,0.38281264591514813
11,0.5555591505509337,0.4282101206479732,0.4757222403869062,0.15703319955519368,0.22267071684002754,0.425835170113652,-0.025127394761343482,0.07552572765114403,-0.10744410988951253,0.32696493158161866
12,0.5585616767581966,0.4319643280069204,0.4198770899413288,0.12942314481903924,0.49172957704095976,0.6001113376708216,0.050818384863656196,0.1680197708860816,-0.17032319942120563,0.27642163053963004
