date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,40.0,40.0,,,,
2017-09-01,40.0,40.0,,,,
2017-10-01,40.0,40.0,,,,
2017-11-01,40.0,40.0,,,,
2017-12-01,40.0,40.0,,,,
2018-01-01,40.0,40.0,,,,
2018-02-01,40.0,40.0,,,,
2018-03-01,40.0,40.0,,,,
2018-04-01,40.0,40.0,,,,
2018-05-01,40.0,40.0,,,,
2018-06-01,40.0,40.0,,,,
2018-07-01,40.0,40.0,,,,
2018-08-01,40.0,40.0,,,,
2018-09-01,40.0,40.0,,,,
2018-10-01,40.0,40.0,,,,
2018-11-01,40.0,40.0,,,,
2018-12-01,40.0,40.0,,,,
2019-01-01,40.0,40.0,,,,
2019-02-01,40.0,40.0,,,,
2019-03-01,40.0,40.0,,,,
2019-04-01,40.0,40.0,,,,
2019-05-01,40.0,40.0,,,,
2019-06-01,40.0,40.0,,,,
2019-07-01,40.0,40.0,,,,
2019-08-01,15.0,15.0,,,,
2019-09-01,15.0,15.0,,,,
2019-10-01,15.0,15.0,,,,
2019-11-01,15.0,15.0,,,,
2019-12-01,15.0,15.0,,,,
2020-01-01,15.0,15.0,,,,
2020-02-01,15.0,15.0,,,,
2020-03-01,15.0,15.0,,,,
2020-04-01,35.0,35.0,,,,
2020-05-01,35.0,35.0,,,,
2020-06-01,35.0,35.0,,,,
2020-07-01,35.0,35.0,,,,
2020-08-01,25.0,25.0,,,,
2020-09-01,25.0,25.0,,,,
2020-10-01,25.0,25.0,,,,
2020-11-01,25.0,25.0,,,,
2020-12-01,25.0,25.0,,,,
2021-01-01,25.0,25.0,,,,
2021-02-01,25.0,25.0,,,,
2021-03-01,25.0,25.0,,,,
2021-04-01,25.0,25.0,,,,
2021-05-01,25.0,25.0,,,,
2021-06-01,25.0,25.0,,,,
2021-07-01,25.0,25.0,,,,
2021-08-01,25.0,25.0,,,,
2021-09-01,50.0,50.0,,,,
2021-10-01,50.0,50.0,,,,
2021-11-01,50.0,50.0,,,,
2021-12-01,50.0,50.0,,,,
2022-01-01,50.0,50.0,,,,
2022-02-01,50.0,50.0,,,,
2022-03-01,50.0,50.0,,,,
2022-04-01,50.0,50.0,,,,
2022-05-01,50.0,50.0,,,,
2022-06-01,50.0,50.0,,,,
2022-07-01,50.0,50.0,,,,
2022-08-01,50.0,50.0,,,,
2022-09-01,45.0,45.0,,,,
2022-10-01,45.0,45.0,,,,
2022-11-01,45.0,45.0,,,,
2022-12-01,45.0,45.0,,,,
2023-01-01,45.0,45.0,,,,
2023-02-01,45.0,45.0,,,,
2023-03-01,45.0,45.0,,,,
2023-04-01,45.0,45.0,,,,
2023-05-01,45.0,45.0,,,,
2023-06-01,45.0,45.0,,,,
2023-07-01,45.0,45.0,,,,
2023-08-01,45.0,45.0,,,,
2023-09-01,45.0,45.0,,,,
2023-10-01,30.0,30.0,,,,
2023-11-01,30.0,30.0,,,,
2023-12-01,30.0,30.0,,,,
2024-01-01,30.0,30.0,,,,
2024-02-01,30.0,30.0,,,,
2024-03-01,40.0,40.0,,,,
2024-04-01,40.0,40.0,,,,
2024-05-01,40.0,,40.0,39.99992855804877,38.744911481765044,42.34568231450574
2024-06-01,40.0,,40.0,39.99987800396967,39.17346129215819,42.631174096597626
2024-07-01,40.0,,40.0,39.99986479322342,38.91496025870884,40.491427452894314
2024-08-01,40.0,,40.0,34.16656172139222,37.8262148796659,35.55920651935518
2024-09-01,30.0,,30.0,37.023746622300415,39.578842949281764,30.199930965875534
2024-10-01,30.0,,30.0,34.880892080547426,35.931763640864204,25.981562624812916
2024-11-01,30.0,,30.0,34.88094045945348,35.89749889425292,23.58606643687912
2024-12-01,30.0,,30.0,34.880944540586746,35.91817590224224,22.82475129352881
2025-01-01,30.0,,30.0,34.88096486148205,35.90569931926107,23.0481444159687
2025-02-01,30.0,,30.0,34.88098785650089,35.91322586382868,23.66460196459513
2025-03-01,25.0,,25.0,36.30955515896278,38.37792296292413,24.142201399328265
2025-04-01,25.0,,25.0,39.1666990138292,38.81317421143693,24.110900379837336
