lag,acf,pacf
0,1.0,1.0
1,-1.6686247589478307e-05,-1.6869612947591623e-05
2,-1.6865669606557297e-05,-1.724074685322783e-05
3,-1.704509162365652e-05,-1.7620226973801083e-05
4,-0.019000073921871048,-0.019863714555053903
5,-0.01900025334388814,-0.020100830842341055
6,-0.13289752921528705,-0.14229247025155806
7,-0.056966311004382916,-0.0635199534666418
8,0.04752171544672855,0.05156558364249941
9,6.441250413570786e-05,-7.887453280491511e-05
10,6.423308211859637e-05,-0.006193846812984934
11,0.0380297524765621,0.035995163814494135
12,-0.2944013871474986,-0.36923839149912396
13,0.09474684629920564,0.11095469560155664
14,-0.00020884722789395033,0.009446386759911368
15,-0.00020902664991107468,0.0056972647959969225
16,-0.00020920607192811838,-0.009325064350052112
17,-0.009700810198060393,-0.023094753110930778
18,-0.009700989620077477,-0.13907910251397868
19,-0.00012721021011752835,-0.0007028451352551366
20,-0.05327936797517949,-0.022077497444084153
21,-0.00012756905415172833,-0.007844728163130397
22,-0.00012774847616880237,-0.00699615738136866
23,0.009363496805929246,0.03436475037766347
24,0.077907910573196,-0.07524261013597104
