lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8170197363023896,0.6154193870863518,0.9905309611695907,0.8692718132570565,0.46342927775032344,0.7897012674015483,0.05431245044093371,0.6393392179714088,0.9699191181139083,0.9835591784512834
2,0.7421231095750317,0.35230998291975224,0.9769437603151401,0.738543626514113,0.1813914158260488,0.40516797996473103,0.017269908996241538,0.3445278756633392,0.9104674219361734,0.9562578562443222
3,0.6266137497307739,0.1911975449942127,0.9594600179210236,0.6078154397711694,-0.08610388579242853,-0.02525390253964393,0.044093493550583576,0.0793610587108444,0.8394908990084382,0.9241166693473668
4,0.4816491116131744,0.11040568894016502,0.9383015002033972,0.4770872530282257,-0.17470074891618256,-0.3089928309017546,0.08518650949401066,0.03488830486677566,0.7692212486927992,0.8921974688534816
5,0.4033872471277104,0.019838998945970302,0.9138744696160827,0.350902886299197,-0.3430756439216465,-0.49338471024718644,0.007904554544843375,-0.0038564608757471843,0.6986702733151537,0.8575481512223159
6,0.3480787237068236,-0.011761094644208771,0.8863273736557763,0.22926233958408312,-0.390384071311841,-0.5452966086249439,0.031268786395887586,0.040974420384797684,0.6191960132111065,0.8206256647685622
7,0.3480742345013862,0.010848493375960291,0.8558911191345169,0.13942853296637303,-0.31437456304128736,-0.4799857932254313,0.06019790755153206,0.029407434323323742,0.5274389583241351,0.779486138035323
8,0.3651718795575083,0.09575944057222678,0.8227562668341671,0.06322618639040747,-0.17610358686935002,-0.3100723256978637,0.06928028912585028,0.010891429175545376,0.42727562204951736,0.7350788872834353
9,0.4016874540923441,0.27364375059601626,0.7871133775365904,-0.013450085498837293,-0.09494457802441841,-0.07788749797119454,-0.15010270494484973,-0.052651316620055705,0.31367414825388984,0.6891780502903563
10,0.44415285127519194,0.29860501341607937,0.7492519783185144,-0.09012635738808214,0.11111214376335679,0.2136068206554522,0.11971494050027061,-0.02184502570387719,0.19072304691717049,0.6407136736346543
11,0.5020582249512424,0.3883182236526412,0.7094493734371223,-0.166802629277327,0.3253080854185335,0.4873275874884993,-0.021020441755209767,0.045611058338515226,0.07188311652502884,0.5924123675594067
12,0.5197155876037857,0.4157866631234269,0.6679164642670615,-0.25256654119440153,0.5023106921599081,0.644116065750103,-0.031138879931046096,0.14995968378514876,-0.03048483115969914,0.5444470219488364
