date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,17.0,17.0,,,,
2017-09-01,17.0,17.0,,,,
2017-10-01,17.0,17.0,,,,
2017-11-01,17.0,17.0,,,,
2017-12-01,17.0,17.0,,,,
2018-01-01,17.0,17.0,,,,
2018-02-01,17.0,17.0,,,,
2018-03-01,17.0,17.0,,,,
2018-04-01,17.0,17.0,,,,
2018-05-01,17.0,17.0,,,,
2018-06-01,17.0,17.0,,,,
2018-07-01,17.0,17.0,,,,
2018-08-01,45.0,45.0,,,,
2018-09-01,45.0,45.0,,,,
2018-10-01,45.0,45.0,,,,
2018-11-01,45.0,45.0,,,,
2018-12-01,45.0,45.0,,,,
2019-01-01,45.0,45.0,,,,
2019-02-01,45.0,45.0,,,,
2019-03-01,45.0,45.0,,,,
2019-04-01,45.0,45.0,,,,
2019-05-01,45.0,45.0,,,,
2019-06-01,45.0,45.0,,,,
2019-07-01,45.0,45.0,,,,
2019-08-01,20.0,20.0,,,,
2019-09-01,20.0,20.0,,,,
2019-10-01,20.0,20.0,,,,
2019-11-01,20.0,20.0,,,,
2019-12-01,20.0,20.0,,,,
2020-01-01,20.0,20.0,,,,
2020-02-01,20.0,20.0,,,,
2020-03-01,20.0,20.0,,,,
2020-04-01,15.0,15.0,,,,
2020-05-01,15.0,15.0,,,,
2020-06-01,15.0,15.0,,,,
2020-07-01,15.0,15.0,,,,
2020-08-01,25.0,25.0,,,,
2020-09-01,25.0,25.0,,,,
2020-10-01,25.0,25.0,,,,
2020-11-01,25.0,25.0,,,,
2020-12-01,25.0,25.0,,,,
2021-01-01,25.0,25.0,,,,
2021-02-01,25.0,25.0,,,,
2021-03-01,15.0,15.0,,,,
2021-04-01,15.0,15.0,,,,
2021-05-01,15.0,15.0,,,,
2021-06-01,15.0,15.0,,,,
2021-07-01,15.0,15.0,,,,
2021-08-01,15.0,15.0,,,,
2021-09-01,40.0,40.0,,,,
2021-10-01,40.0,40.0,,,,
2021-11-01,40.0,40.0,,,,
2021-12-01,40.0,40.0,,,,
2022-01-01,40.0,40.0,,,,
2022-02-01,40.0,40.0,,,,
2022-03-01,35.0,35.0,,,,
2022-04-01,35.0,35.0,,,,
2022-05-01,35.0,35.0,,,,
2022-06-01,35.0,35.0,,,,
2022-07-01,35.0,35.0,,,,
2022-08-01,35.0,35.0,,,,
2022-09-01,40.0,40.0,,,,
2022-10-01,40.0,40.0,,,,
2022-11-01,40.0,40.0,,,,
2022-12-01,40.0,40.0,,,,
2023-01-01,40.0,40.0,,,,
2023-02-01,40.0,40.0,,,,
2023-03-01,40.0,40.0,,,,
2023-04-01,30.0,30.0,,,,
2023-05-01,30.0,30.0,,,,
2023-06-01,30.0,30.0,,,,
2023-07-01,30.0,30.0,,,,
2023-08-01,30.0,30.0,,,,
2023-09-01,30.0,30.0,,,,
2023-10-01,20.0,20.0,,,,
2023-11-01,20.0,20.0,,,,
2023-12-01,20.0,20.0,,,,
2024-01-01,20.0,20.0,,,,
2024-02-01,20.0,20.0,,,,
2024-03-01,25.0,25.0,,,,
2024-04-01,25.0,25.0,,,,
2024-05-01,25.0,,25.0,24.950677291325494,23.622268199644584,23.34288522996117
2024-06-01,25.0,,25.0,24.950624302876413,24.30448746753973,27.521459371707977
2024-07-01,25.0,,25.0,24.95049972724185,23.868432002419983,26.796604072989027
2024-08-01,25.0,,25.0,27.130364814189164,24.111196237942426,25.825673842408918
2024-09-01,15.0,,15.0,31.415794834432866,32.75056746248565,26.521085180293838
2024-10-01,15.0,,15.0,29.98716525516484,32.83900982025189,27.458296363361285
2024-11-01,15.0,,15.0,29.98719261261221,32.77101350538388,27.636422598637665
2024-12-01,15.0,,15.0,29.98726905105407,32.814677748276544,27.141013292112206
2025-01-01,15.0,,15.0,29.987459817141897,32.786685471449275,25.82374544053485
2025-02-01,15.0,,15.0,29.987356258565903,32.80455276738491,23.986719932801748
2025-03-01,15.0,,15.0,28.558886447155935,30.295941633070694,22.210550960255674
2025-04-01,15.0,,15.0,26.415929155500834,24.90598980012078,20.896758227919833
