lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.16156154510333662,-0.30087183287114383,-0.5263587968401566,0.005492883798989509,0.06070067328878298,-0.14272737074689884,-0.16902918273556902,-0.6391237612766135,0.007897382143233683
-11,-0.09389931174270907,-0.19843461755741618,-0.5011373998658004,0.05930550665118146,0.10002997744523104,-0.1035905221768238,-0.14049188057532372,-0.5739105819115283,0.022525512540770034
-10,-0.029588669024058118,-0.14654053796616265,-0.4682037453829055,0.13592020114450112,0.1674498674944112,-0.09137025534484476,-0.1488401128540557,-0.5095422104689256,0.036809368657245496
-9,0.06863375375197192,-0.05885562305480571,-0.42370968476144516,0.20401020725243577,0.1483403041074472,-0.05761219524923435,-0.14485829716995755,-0.46748139762039626,0.03704531165680146
-8,0.14634915164683224,0.010975672875045386,-0.3682905149945314,0.12882371960182495,0.01844539097442728,-0.09226537469256896,-0.18651325780657457,-0.44071894535645734,0.04717631021296723
-7,0.16954548113876958,0.0233860131626073,-0.3192309636927017,0.045929980762416965,-0.12598238186945857,0.011246326058400962,-0.05277235963601129,-0.43353631472711895,0.07964135799201127
-6,0.1907779493161125,0.02863455881857331,-0.2887773421035896,-0.1397736016411814,-0.26468969862367625,-0.06983423157621527,-0.0761388738358588,-0.4105565707314112,0.11777062252490673
-5,0.21072494790834398,0.050997735681281665,-0.2754562094410516,-0.2272209591336362,-0.28891950068155264,-0.0703045628893841,-0.02399556313214306,-0.3843197048630514,0.13804968141477597
-4,0.22025466933844234,0.07352346222264738,-0.2652355934378914,-0.20780160338470066,-0.23454662425627454,-0.011953111280833598,-0.0451781984162652,-0.3379045769019815,0.14470048218815876
-3,0.2460040020506982,0.09146855241916924,-0.25209056820216624,-0.14291254192519065,-0.17495842313248014,0.03204522020166344,-0.06452545882026262,-0.29912883266129436,0.15219681027213852
-2,0.24423241877347537,0.1020353966102632,-0.23234820961766606,-0.18602570394024867,-0.11821223900310614,-0.13033552622527425,-0.1616037119428904,-0.2107656884642887,0.16120370780296853
-1,0.24935239183310862,0.11381627594228694,-0.19680148307790987,-0.08918403156660071,-0.029854484642901722,-0.06566205504729375,-0.14647064638436663,-0.1335541566868709,0.15076223276066816
0,0.25820065034894135,0.17958267129055316,-0.142283130081187,-0.03492547090203064,0.02087609541906906,-0.056673837532979374,-0.150998310829778,-0.08059982565809759,0.14060032748561177
1,0.28138787360475387,0.21417223851130648,-0.10902698713372418,0.042218796420909976,0.05437732469450088,-0.06786767593002836,-0.21506012339613623,-0.05138257234485987,0.18344568023693936
2,0.2850937239619617,0.2222021067332921,-0.07395855957469695,0.07164268199709246,0.03178056967630392,-0.12505519094507742,-0.280067161378664,-0.0259751476936101,0.23338608032244795
3,0.3048155825305713,0.2361232402467431,-0.037664488297304705,0.04276873680533312,-0.06275911217676973,-0.18877926180410126,-0.37140468007467814,-0.012193214407961476,0.2861264809806371
4,0.3231002751898798,0.24710769323387521,-0.023772383228708435,-0.011502087269844712,-0.1636891235309682,-0.23275045987484336,-0.40482439893494376,-0.03039626910100319,0.34897544939203096
5,0.3386732497341548,0.25803226158730325,-0.03153289670940991,-0.1520773637426574,-0.2662149619438479,-0.3089431356030605,-0.4201542135426255,0.0018500713012391575,0.4309559451333367
6,0.35471557908176227,0.2711006320292114,-0.061546795690507215,-0.19470084997836465,-0.33105184552308914,-0.27076647499895246,-0.4036672087143956,0.027420270105911044,0.5026627602251816
7,0.38189192032893404,0.3058614976953339,-0.0830600690908298,-0.2512186249903795,-0.39303618426963105,-0.2627944437293852,-0.4197507357269465,0.06582853952680051,0.5621786256044422
8,0.4141420696942657,0.3409313768209557,-0.10149093364544491,-0.30405225769331484,-0.4159793835631009,-0.2754875528842451,-0.4206039751844081,0.07975334603698195,0.5961362169486725
9,0.43868816833289787,0.3590995086911471,-0.11384684303191314,-0.3382158466354175,-0.4013656822839985,-0.2981324041623327,-0.43150519114736574,0.13498050906786005,0.6392486917044454
10,0.46713636007668957,0.39441392224323996,-0.12506440202746147,-0.30000735844525717,-0.34262084392699554,-0.2426616627844578,-0.4267090800416568,0.15699839579534822,0.6359999925960849
11,0.503130652432877,0.43736580075067083,-0.14003022044763197,-0.26510187154357984,-0.2609631732396111,-0.28227223469192064,-0.501226155262851,0.13179764865922836,0.6122157985330128
12,0.5264926604213997,0.4482766991950041,-0.15496622468029567,-0.19841494853633518,-0.17088430355410306,-0.30921855461727965,-0.5374625222402866,0.12173697471869857,0.6232718952692159
