date,value,matrix_profile,matrix_profile_index
2017-08-01,45.0,0.0,12.0
2017-09-01,45.0,4.965068306494546e-16,13.0
2017-10-01,45.0,4.053961296325412e-16,14.0
2017-11-01,45.0,1.1102230246251565e-16,15.0
2017-12-01,45.0,3.6259732146947156e-16,16.0
2018-01-01,45.0,3.3917873657517345e-16,17.0
2018-02-01,45.0,0.0,18.0
2018-03-01,45.0,6.038565526160303e-16,19.0
2018-04-01,45.0,6.843874359417885e-16,20.0
2018-05-01,45.0,1.1102230246251565e-16,33.0
2018-06-01,45.0,2.026980648162706e-16,34.0
2018-07-01,45.0,4.163336342344337e-16,35.0
2018-08-01,20.0,0.0,0.0
2018-09-01,20.0,4.965068306494546e-16,1.0
2018-10-01,20.0,4.053961296325412e-16,2.0
2018-11-01,20.0,1.1102230246251565e-16,3.0
2018-12-01,20.0,3.6259732146947156e-16,4.0
2019-01-01,20.0,3.3917873657517345e-16,5.0
2019-02-01,20.0,0.0,6.0
2019-03-01,20.0,6.038565526160303e-16,7.0
2019-04-01,20.0,0.0,32.0
2019-05-01,20.0,0.6058108930553725,9.0
2019-06-01,20.0,0.8049973122730548,69.0
2019-07-01,20.0,0.6058108930553726,40.0
2019-08-01,15.0,3.737567639961684e-16,41.0
2019-09-01,15.0,0.5715592243432424,42.0
2019-10-01,15.0,0.7653668647301796,75.0
2019-11-01,15.0,0.7653668647301795,74.0
2019-12-01,15.0,0.7653668647301796,75.0
2020-01-01,15.0,0.7653668647301796,76.0
2020-02-01,15.0,0.7653668647301796,6.0
2020-03-01,15.0,0.5715592243432425,7.0
2020-04-01,20.0,0.0,20.0
2020-05-01,20.0,1.1102230246251565e-16,9.0
2020-06-01,20.0,2.026980648162706e-16,10.0
2020-07-01,20.0,4.163336342344337e-16,11.0
2020-08-01,15.0,0.0,0.0
2020-09-01,15.0,0.0,0.0
2020-10-01,15.0,1.9675159943996248e-15,57.0
2020-11-01,15.0,1.4597427480450238e-15,58.0
2020-12-01,15.0,0.0,59.0
2021-01-01,15.0,3.737567639961684e-16,24.0
2021-02-01,15.0,1.046891844311514e-15,61.0
2021-03-01,15.0,0.0,62.0
2021-04-01,15.0,0.556499317648249,62.0
2021-05-01,15.0,0.7653668647301797,62.0
2021-06-01,15.0,0.9194016867619661,62.0
2021-07-01,15.0,0.9999999999999999,0.0
2021-08-01,15.0,0.9999999999999999,0.0
2021-09-01,35.0,0.0,0.0
2021-10-01,35.0,0.0,0.0
2021-11-01,35.0,0.0,0.0
2021-12-01,35.0,0.0,0.0
2022-01-01,35.0,0.0,0.0
2022-02-01,35.0,0.0,0.0
2022-03-01,35.0,0.0,0.0
2022-04-01,35.0,0.0,0.0
2022-05-01,35.0,1.9675159943996248e-15,38.0
2022-06-01,35.0,1.4597427480450238e-15,39.0
2022-07-01,35.0,0.0,40.0
2022-08-01,35.0,1.2025992653021156e-15,41.0
2022-09-01,35.0,1.046891844311514e-15,42.0
2022-10-01,35.0,0.0,43.0
2022-11-01,35.0,0.5867923748912971,1.0
2022-12-01,35.0,0.4290468867141407,2.0
2023-01-01,35.0,0.3382039574515255,15.0
2023-02-01,35.0,0.2654663020508172,4.0
2023-03-01,35.0,0.1872331975648329,5.0
2023-04-01,40.0,0.7183334657323827,6.0
2023-05-01,40.0,0.8049973122730548,22.0
2023-06-01,40.0,0.7557320843900168,23.0
2023-07-01,40.0,0.703444397725589,24.0
2023-08-01,40.0,0.5804793870236912,42.0
2023-09-01,40.0,0.4211356625464838,43.0
2023-10-01,25.0,0.5564993176482491,44.0
2023-11-01,25.0,0.7653668647301796,26.0
2023-12-01,25.0,0.7653668647301796,27.0
2024-01-01,25.0,0.7653668647301795,4.0
2024-02-01,25.0,0.556499317648249,5.0
2024-03-01,45.0,0.0,6.0
2024-04-01,45.0,0.13951768127919517,7.0
2024-05-01,45.0,0.19707523593328433,8.0
2024-06-01,45.0,,
2024-07-01,45.0,,
2024-08-01,45.0,,
2024-09-01,25.0,,
2024-10-01,25.0,,
2024-11-01,25.0,,
2024-12-01,25.0,,
2025-01-01,25.0,,
2025-02-01,25.0,,
2025-03-01,30.0,,
2025-04-01,30.0,,
