date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,45.0,45.0,,,,
2017-09-01,45.0,45.0,,,,
2017-10-01,45.0,45.0,,,,
2017-11-01,45.0,45.0,,,,
2017-12-01,45.0,45.0,,,,
2018-01-01,45.0,45.0,,,,
2018-02-01,45.0,45.0,,,,
2018-03-01,45.0,45.0,,,,
2018-04-01,45.0,45.0,,,,
2018-05-01,45.0,45.0,,,,
2018-06-01,45.0,45.0,,,,
2018-07-01,45.0,45.0,,,,
2018-08-01,20.0,20.0,,,,
2018-09-01,20.0,20.0,,,,
2018-10-01,20.0,20.0,,,,
2018-11-01,20.0,20.0,,,,
2018-12-01,20.0,20.0,,,,
2019-01-01,20.0,20.0,,,,
2019-02-01,20.0,20.0,,,,
2019-03-01,20.0,20.0,,,,
2019-04-01,20.0,20.0,,,,
2019-05-01,20.0,20.0,,,,
2019-06-01,20.0,20.0,,,,
2019-07-01,20.0,20.0,,,,
2019-08-01,15.0,15.0,,,,
2019-09-01,15.0,15.0,,,,
2019-10-01,15.0,15.0,,,,
2019-11-01,15.0,15.0,,,,
2019-12-01,15.0,15.0,,,,
2020-01-01,15.0,15.0,,,,
2020-02-01,15.0,15.0,,,,
2020-03-01,15.0,15.0,,,,
2020-04-01,20.0,20.0,,,,
2020-05-01,20.0,20.0,,,,
2020-06-01,20.0,20.0,,,,
2020-07-01,20.0,20.0,,,,
2020-08-01,15.0,15.0,,,,
2020-09-01,15.0,15.0,,,,
2020-10-01,15.0,15.0,,,,
2020-11-01,15.0,15.0,,,,
2020-12-01,15.0,15.0,,,,
2021-01-01,15.0,15.0,,,,
2021-02-01,15.0,15.0,,,,
2021-03-01,15.0,15.0,,,,
2021-04-01,15.0,15.0,,,,
2021-05-01,15.0,15.0,,,,
2021-06-01,15.0,15.0,,,,
2021-07-01,15.0,15.0,,,,
2021-08-01,15.0,15.0,,,,
2021-09-01,35.0,35.0,,,,
2021-10-01,35.0,35.0,,,,
2021-11-01,35.0,35.0,,,,
2021-12-01,35.0,35.0,,,,
2022-01-01,35.0,35.0,,,,
2022-02-01,35.0,35.0,,,,
2022-03-01,35.0,35.0,,,,
2022-04-01,35.0,35.0,,,,
2022-05-01,35.0,35.0,,,,
2022-06-01,35.0,35.0,,,,
2022-07-01,35.0,35.0,,,,
2022-08-01,35.0,35.0,,,,
2022-09-01,35.0,35.0,,,,
2022-10-01,35.0,35.0,,,,
2022-11-01,35.0,35.0,,,,
2022-12-01,35.0,35.0,,,,
2023-01-01,35.0,35.0,,,,
2023-02-01,35.0,35.0,,,,
2023-03-01,35.0,35.0,,,,
2023-04-01,40.0,40.0,,,,
2023-05-01,40.0,40.0,,,,
2023-06-01,40.0,40.0,,,,
2023-07-01,40.0,40.0,,,,
2023-08-01,40.0,40.0,,,,
2023-09-01,40.0,40.0,,,,
2023-10-01,25.0,25.0,,,,
2023-11-01,25.0,25.0,,,,
2023-12-01,25.0,25.0,,,,
2024-01-01,25.0,25.0,,,,
2024-02-01,25.0,25.0,,,,
2024-03-01,45.0,45.0,,,,
2024-04-01,45.0,45.0,,,,
2024-05-01,45.0,,45.0,45.000069260629225,43.906876316014795,52.60321790026501
2024-06-01,45.0,,45.0,45.00018058747259,44.08822735123184,49.97810782166198
2024-07-01,45.0,,45.0,45.0001631156655,44.076509419962896,45.423077872022986
2024-08-01,45.0,,45.0,39.16679248467323,42.86422761936345,44.517292170319706
2024-09-01,25.0,,25.0,42.023859558995895,46.33826329707565,40.07916183536872
2024-10-01,25.0,,25.0,39.88100069507604,41.74295483379904,38.41190430970164
2024-11-01,25.0,,25.0,39.88100001330635,41.74295703161266,37.41976532776607
2024-12-01,25.0,,25.0,39.88104799243537,41.74295722778121,37.65602672658861
2025-01-01,25.0,,25.0,39.881116979521856,41.74295817284451,37.44723490191973
2025-02-01,25.0,,25.0,39.88116045406509,41.742953576092305,38.514496985124424
2025-03-01,30.0,,30.0,42.73828736942532,47.86998085038489,38.79363071778789
2025-04-01,30.0,,30.0,44.16683920082789,49.70601880916182,38.26711965119466
