lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.23708205841867425,-0.12906135659018975,0.8212849828061941,-0.13370136742003585,-0.11857355435623028,-0.2468848106152943,-0.452557718554757,-0.11076105140075805,0.6281661623121241
-11,-0.2620652740723734,-0.13296049277196698,0.834236183559004,-0.07032946045489698,-0.09545912949828173,-0.25752084088307725,-0.4290912643840709,-0.08558324108495052,0.6555798720238013
-10,-0.2674842043051639,-0.15870506304091134,0.842747526639146,-0.08427934171732006,-0.1444268007006355,-0.26142484263388494,-0.4565322225482304,-0.039822335605998294,0.6746834115585495
-9,-0.2595142979605741,-0.12761578797746523,0.8464303585175991,-0.1480590576031616,-0.19175366914047778,-0.29078348837054724,-0.4859423662974904,0.022927586215616982,0.7030011358641474
-8,-0.21425587215240788,-0.09402971165700627,0.846604329737802,-0.1594442012211095,-0.2103936331717326,-0.3403424790706379,-0.5345723306474016,0.05980923481716317,0.7125256547656784
-7,-0.1832128002800638,-0.056809828475769215,0.8494055264629667,-0.15522556648012514,-0.22155219326998313,-0.2998660897104099,-0.5154639284583901,0.08771595204800606,0.7217241513338444
-6,-0.15822314864016168,-0.029169435649852953,0.8537969160359806,-0.1798044422715857,-0.23066191918050122,-0.33026108738308424,-0.5405438834533283,0.10373412569076994,0.7267972281107636
-5,-0.13058214255650716,0.018280536796660155,0.8594968391726189,-0.1798941772516776,-0.25350082878981756,-0.34367721691784775,-0.5521858678412555,0.10302059474080924,0.7147394407999929
-4,-0.15549268024207474,0.04112837689403056,0.8661282273050633,-0.22580623735210145,-0.29999754929244343,-0.34453208585470724,-0.5562296545523406,0.11344284806589151,0.7103864312855319
-3,-0.10810327200959437,0.1296910970686383,0.8731288820363856,-0.2602714840229008,-0.30430393685734386,-0.3348348782492023,-0.5048080724381482,0.14710607742782306,0.7145593729527467
-2,-0.10022518394070629,0.15142566464107826,0.8773450113690384,-0.2609413195078239,-0.2574944035106572,-0.33221409526326084,-0.46177643522033,0.16492205509889352,0.7160830670945406
-1,-0.1250539710674161,0.15695532647458996,0.8767791015759439,-0.21362438443447404,-0.1727080880731889,-0.2829931933605167,-0.39776097855379283,0.226113167934522,0.7445101579154216
0,-0.1624600019937378,0.15060418166806347,0.8682598600649422,-0.121530677946714,-0.10109046090932769,-0.22840275213489647,-0.3939119799949583,0.27172619189500724,0.7551836923820593
1,-0.1961266774915426,0.12509751047023043,0.8497262056155587,-0.07669643135482065,-0.08118449303333145,-0.221999781948992,-0.42790640097969834,0.31851028484477595,0.7541631995326947
2,-0.20022491568058473,0.12470932688201763,0.8228449454799406,-0.07315766438082337,-0.07884287261810627,-0.2637244377389637,-0.45552481312704995,0.33677776516891,0.7296709367317354
3,-0.15215660598216887,0.22995284371412614,0.7884655868760224,-0.0726159335025657,-0.09086013257218233,-0.2807843613218998,-0.4597961313186877,0.3402100072923647,0.6904192722679898
4,-0.07640015003028176,0.2794242466656502,0.7521151802017028,-0.0712231019681734,-0.09434472541704259,-0.2613716933851086,-0.4148527488415515,0.32136140724294326,0.6540339381955017
5,-0.050619261446504395,0.2659922878453656,0.7161629411101534,-0.1038004618370498,-0.11385818435780148,-0.2804978505195676,-0.40056504288747474,0.3212777889176793,0.6244384520324696
6,0.0021082953601427993,0.24369132740314892,0.6806627278267131,-0.08174031751626908,-0.13480665047927193,-0.22132218718547794,-0.38740216648966674,0.31527964443758877,0.5994969667368099
7,0.056411784961518906,0.26507310700686115,0.6450813574440606,-0.12013951941752361,-0.17538901234523566,-0.2357176475100553,-0.41609376829621575,0.3324584753039962,0.5870705397210758
8,0.06245864294017047,0.2511092398918861,0.6095393934218313,-0.1566796652026672,-0.19612958448974424,-0.2610618257348278,-0.39341348085978894,0.3508984608003255,0.5659692427417936
9,0.02167339469926818,0.17152793742883307,0.5730878116637521,-0.1821269401930432,-0.19164463879329688,-0.2704295298842847,-0.3661780121025717,0.35597334379900486,0.5352151497299371
10,-0.019545453215262902,0.16999266467144453,0.5340492534266493,-0.17086553080980396,-0.16747537989811237,-0.1876464379167105,-0.3079513002570276,0.4113099259219187,0.5164452271850384
11,-0.016750781121185537,0.15817782338985698,0.4948247579968821,-0.1452324019644842,-0.12046317528833997,-0.1880639926703822,-0.3177067564965104,0.43615497221004146,0.47712180368355145
12,-0.036138652441370475,0.15800421361159855,0.45609724658745804,-0.12359473344532115,-0.0522390245811942,-0.19826604406926357,-0.2946813211355188,0.4483207714335882,0.42883649407267443
