date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,15.0,15.0,,,,
2017-09-01,15.0,15.0,,,,
2017-10-01,15.0,15.0,,,,
2017-11-01,15.0,15.0,,,,
2017-12-01,15.0,15.0,,,,
2018-01-01,15.0,15.0,,,,
2018-02-01,15.0,15.0,,,,
2018-03-01,15.0,15.0,,,,
2018-04-01,15.0,15.0,,,,
2018-05-01,15.0,15.0,,,,
2018-06-01,15.0,15.0,,,,
2018-07-01,15.0,15.0,,,,
2018-08-01,10.0,10.0,,,,
2018-09-01,10.0,10.0,,,,
2018-10-01,10.0,10.0,,,,
2018-11-01,10.0,10.0,,,,
2018-12-01,10.0,10.0,,,,
2019-01-01,10.0,10.0,,,,
2019-02-01,10.0,10.0,,,,
2019-03-01,10.0,10.0,,,,
2019-04-01,10.0,10.0,,,,
2019-05-01,10.0,10.0,,,,
2019-06-01,10.0,10.0,,,,
2019-07-01,10.0,10.0,,,,
2019-08-01,15.0,15.0,,,,
2019-09-01,15.0,15.0,,,,
2019-10-01,15.0,15.0,,,,
2019-11-01,15.0,15.0,,,,
2019-12-01,15.0,15.0,,,,
2020-01-01,15.0,15.0,,,,
2020-02-01,15.0,15.0,,,,
2020-03-01,15.0,15.0,,,,
2020-04-01,30.0,30.0,,,,
2020-05-01,30.0,30.0,,,,
2020-06-01,30.0,30.0,,,,
2020-07-01,30.0,30.0,,,,
2020-08-01,25.0,25.0,,,,
2020-09-01,25.0,25.0,,,,
2020-10-01,25.0,25.0,,,,
2020-11-01,25.0,25.0,,,,
2020-12-01,25.0,25.0,,,,
2021-01-01,25.0,25.0,,,,
2021-02-01,25.0,25.0,,,,
2021-03-01,35.0,35.0,,,,
2021-04-01,35.0,35.0,,,,
2021-05-01,35.0,35.0,,,,
2021-06-01,35.0,35.0,,,,
2021-07-01,35.0,35.0,,,,
2021-08-01,35.0,35.0,,,,
2021-09-01,50.0,50.0,,,,
2021-10-01,50.0,50.0,,,,
2021-11-01,50.0,50.0,,,,
2021-12-01,50.0,50.0,,,,
2022-01-01,50.0,50.0,,,,
2022-02-01,50.0,50.0,,,,
2022-03-01,35.0,35.0,,,,
2022-04-01,35.0,35.0,,,,
2022-05-01,35.0,35.0,,,,
2022-06-01,35.0,35.0,,,,
2022-07-01,35.0,35.0,,,,
2022-08-01,35.0,35.0,,,,
2022-09-01,35.0,35.0,,,,
2022-10-01,35.0,35.0,,,,
2022-11-01,35.0,35.0,,,,
2022-12-01,35.0,35.0,,,,
2023-01-01,35.0,35.0,,,,
2023-02-01,35.0,35.0,,,,
2023-03-01,35.0,35.0,,,,
2023-04-01,35.0,35.0,,,,
2023-05-01,35.0,35.0,,,,
2023-06-01,35.0,35.0,,,,
2023-07-01,35.0,35.0,,,,
2023-08-01,35.0,35.0,,,,
2023-09-01,35.0,35.0,,,,
2023-10-01,25.0,25.0,,,,
2023-11-01,25.0,25.0,,,,
2023-12-01,25.0,25.0,,,,
2024-01-01,25.0,25.0,,,,
2024-02-01,25.0,25.0,,,,
2024-03-01,30.0,30.0,,,,
2024-04-01,30.0,30.0,,,,
2024-05-01,30.0,,30.0,30.00001609075921,29.30509966216839,28.267287727397843
2024-06-01,30.0,,30.0,29.999957280873453,29.380803342293895,27.827562437051327
2024-07-01,30.0,,30.0,29.999849490548787,29.438171010670274,26.70328032388349
2024-08-01,30.0,,30.0,29.166380392643347,28.995151991839265,27.62542393266976
2024-09-01,20.0,,20.0,31.309126915561553,32.48514369069437,28.096955225723754
2024-10-01,20.0,,20.0,29.880470281786188,34.64623202390701,28.20122899951631
2024-11-01,20.0,,20.0,29.88046262230344,34.6613209682704,27.675179409237117
2024-12-01,20.0,,20.0,29.880506876576362,34.6706622568508,27.282869807922694
2025-01-01,20.0,,20.0,29.88061474823039,34.67677247116504,27.000328202962955
2025-02-01,20.0,,20.0,29.88074827811071,34.681245553018805,26.745532752352588
2025-03-01,25.0,,25.0,29.880873122888854,32.467022376286366,26.594001903759235
2025-04-01,25.0,,25.0,32.02381360612056,35.92210564681802,26.603217073493923
