lag,acf,pacf
0,1.0,1.0
1,-0.00016972289543607023,-0.0001715879821991304
2,-0.00017154787280639265,-0.00017538949535715888
3,-0.00017337285017664464,-0.0001792770793112525
4,-0.0967165007153911,-0.1011128069165317
5,0.14463493152684906,0.15449016687949632
6,-0.21739677927993695,-0.2431621881649863
7,-0.09672197564750194,-0.09750081939513298
8,-0.00039237013461032713,-0.00915975093135938
9,-0.000394195111980618,0.0307225995159753
10,-0.00039602008935090056,-0.08203137213099816
11,-0.16934512512044855,-0.15411715401007914
12,-0.14546347125295653,-0.2114211429643106
13,-0.04892399334248269,-0.122885560866993
14,-0.00023542208076621283,-0.04997546726789927
15,-0.00023724705813649264,-0.04592557748762049
16,-0.00023907203550674222,-0.02939956394429876
17,0.19284170876281131,0.20153570867045623
18,0.09629858089759687,0.023988953711733586
19,0.2658736531667009,0.3400619290988866
20,0.058308026980465444,0.1265751998450489
21,0.0003814202703886598,0.13258206164700875
22,0.00037959529301834606,-0.0593998934296855
23,-0.04789288112827408,0.0587869516772709
24,-0.057548836394428635,-0.21683506374355285
