date,value,matrix_profile,matrix_profile_index
2017-08-01,34.0,0.0,12.0
2017-09-01,34.0,1.594436429147036e-16,38.0
2017-10-01,34.0,2.026980648162706e-16,39.0
2017-11-01,34.0,0.0,23.0
2017-12-01,34.0,3.1401849173675503e-16,41.0
2018-01-01,34.0,4.440892098500626e-16,42.0
2018-02-01,34.0,0.0,62.0
2018-03-01,34.0,5.117875266520903e-16,80.0
2018-04-01,34.0,5.588000014763635e-16,81.0
2018-05-01,34.0,0.3382039574515258,46.0
2018-06-01,34.0,0.42904688671414104,47.0
2018-07-01,34.0,0.5867923748912978,48.0
2018-08-01,40.0,0.0,0.0
2018-09-01,40.0,0.0,0.0
2018-10-01,40.0,0.0,0.0
2018-11-01,40.0,0.0,0.0
2018-12-01,40.0,0.0,0.0
2019-01-01,40.0,0.0,0.0
2019-02-01,40.0,0.0,0.0
2019-03-01,40.0,0.0,0.0
2019-04-01,40.0,0.0,0.0
2019-05-01,40.0,8.374337528522513e-16,1.0
2019-06-01,40.0,4.440892098500626e-16,39.0
2019-07-01,40.0,0.0,3.0
2019-08-01,40.0,5.588000014763635e-16,4.0
2019-09-01,40.0,0.5715592243432425,5.0
2019-10-01,40.0,0.7653668647301796,43.0
2019-11-01,40.0,0.7911114341782743,63.0
2019-12-01,40.0,0.7924716517705408,66.0
2020-01-01,40.0,0.7807922936439613,67.0
2020-02-01,40.0,0.7653668647301796,55.0
2020-03-01,40.0,0.5715592243432425,56.0
2020-04-01,50.0,0.4021317445363948,75.0
2020-05-01,50.0,0.4681063131365082,71.0
2020-06-01,50.0,0.5425811175806955,72.0
2020-07-01,50.0,0.6863369622037876,73.0
2020-08-01,40.0,0.0,0.0
2020-09-01,40.0,0.0,0.0
2020-10-01,40.0,1.594436429147036e-16,1.0
2020-11-01,40.0,2.026980648162706e-16,2.0
2020-12-01,40.0,2.9373740229761033e-16,3.0
2021-01-01,40.0,3.1401849173675503e-16,4.0
2021-02-01,40.0,8.479468414379336e-17,61.0
2021-03-01,40.0,4.440892098500626e-16,6.0
2021-04-01,40.0,0.18723319756483306,7.0
2021-05-01,40.0,0.26546630205081745,8.0
2021-06-01,40.0,0.3382039574515258,9.0
2021-07-01,40.0,0.42904688671414104,10.0
2021-08-01,40.0,0.5867923748912978,11.0
2021-09-01,55.00000000000001,0.3050816636719017,68.0
2021-10-01,55.00000000000001,0.5222996784123385,69.0
2021-11-01,55.00000000000001,0.4872262339438147,69.0
2021-12-01,55.00000000000001,0.4721793798152591,70.0
2022-01-01,55.00000000000001,0.4758227603890678,71.0
2022-02-01,55.00000000000001,0.5000854356615192,72.0
2022-03-01,50.0,0.3050816636719017,68.0
2022-04-01,50.0,0.28305790531679736,74.0
2022-05-01,50.0,0.42365318402485896,75.0
2022-06-01,50.0,0.5169134831981781,76.0
2022-07-01,50.0,0.5804793870236912,77.0
2022-08-01,50.0,0.5715592243432424,4.0
2022-09-01,40.0,8.479468414379336e-17,42.0
2022-10-01,40.0,0.0,6.0
2022-11-01,40.0,0.6054038194811906,44.0
2022-12-01,40.0,0.7764834514806026,45.0
2023-01-01,40.0,0.7994825608607461,27.0
2023-02-01,40.0,0.7924716517705408,28.0
2023-03-01,40.0,0.617552068080793,54.0
2023-04-01,50.0,0.3050816636719017,49.0
2023-05-01,50.0,0.3713525187612888,56.0
2023-06-01,50.0,0.41744238123296284,32.0
2023-07-01,50.0,0.4681063131365082,33.0
2023-08-01,50.0,0.5000854356615192,54.0
2023-09-01,50.0,0.556499317648249,49.0
2023-10-01,35.0,0.28305790531679736,56.0
2023-11-01,35.0,0.4021317445363948,32.0
2023-12-01,35.0,0.5091399026230625,33.0
2024-01-01,35.0,0.5804793870236912,59.0
2024-02-01,35.0,0.609557431172857,60.0
2024-03-01,25.0,0.0,6.0
2024-04-01,25.0,5.117875266520903e-16,7.0
2024-05-01,25.0,5.588000014763635e-16,8.0
2024-06-01,25.0,,
2024-07-01,25.0,,
2024-08-01,25.0,,
2024-09-01,30.0,,
2024-10-01,30.0,,
2024-11-01,30.0,,
2024-12-01,30.0,,
2025-01-01,30.0,,
2025-02-01,30.0,,
2025-03-01,30.0,,
2025-04-01,30.0,,
