date,actual,actual_train,actual_test,forecast_holt-winters,forecast_var
2017-08-01,34.0,34.0,,,
2017-09-01,34.0,34.0,,,
2017-10-01,34.0,34.0,,,
2017-11-01,34.0,34.0,,,
2017-12-01,34.0,34.0,,,
2018-01-01,34.0,34.0,,,
2018-02-01,34.0,34.0,,,
2018-03-01,34.0,34.0,,,
2018-04-01,34.0,34.0,,,
2018-05-01,34.0,34.0,,,
2018-06-01,34.0,34.0,,,
2018-07-01,34.0,34.0,,,
2018-08-01,40.0,40.0,,,
2018-09-01,40.0,40.0,,,
2018-10-01,40.0,40.0,,,
2018-11-01,40.0,40.0,,,
2018-12-01,40.0,40.0,,,
2019-01-01,40.0,40.0,,,
2019-02-01,40.0,40.0,,,
2019-03-01,40.0,40.0,,,
2019-04-01,40.0,40.0,,,
2019-05-01,40.0,40.0,,,
2019-06-01,40.0,40.0,,,
2019-07-01,40.0,40.0,,,
2019-08-01,40.0,40.0,,,
2019-09-01,40.0,40.0,,,
2019-10-01,40.0,40.0,,,
2019-11-01,40.0,40.0,,,
2019-12-01,40.0,40.0,,,
2020-01-01,40.0,40.0,,,
2020-02-01,40.0,40.0,,,
2020-03-01,40.0,40.0,,,
2020-04-01,50.0,50.0,,,
2020-05-01,50.0,50.0,,,
2020-06-01,50.0,50.0,,,
2020-07-01,50.0,50.0,,,
2020-08-01,40.0,40.0,,,
2020-09-01,40.0,40.0,,,
2020-10-01,40.0,40.0,,,
2020-11-01,40.0,40.0,,,
2020-12-01,40.0,40.0,,,
2021-01-01,40.0,40.0,,,
2021-02-01,40.0,40.0,,,
2021-03-01,40.0,40.0,,,
2021-04-01,40.0,40.0,,,
2021-05-01,40.0,40.0,,,
2021-06-01,40.0,40.0,,,
2021-07-01,40.0,40.0,,,
2021-08-01,40.0,40.0,,,
2021-09-01,55.00000000000001,55.00000000000001,,,
2021-10-01,55.00000000000001,55.00000000000001,,,
2021-11-01,55.00000000000001,55.00000000000001,,,
2021-12-01,55.00000000000001,55.00000000000001,,,
2022-01-01,55.00000000000001,55.00000000000001,,,
2022-02-01,55.00000000000001,55.00000000000001,,,
2022-03-01,50.0,50.0,,,
2022-04-01,50.0,50.0,,,
2022-05-01,50.0,50.0,,,
2022-06-01,50.0,50.0,,,
2022-07-01,50.0,50.0,,,
2022-08-01,50.0,50.0,,,
2022-09-01,40.0,40.0,,,
2022-10-01,40.0,40.0,,,
2022-11-01,40.0,40.0,,,
2022-12-01,40.0,40.0,,,
2023-01-01,40.0,40.0,,,
2023-02-01,40.0,40.0,,,
2023-03-01,40.0,40.0,,,
2023-04-01,50.0,50.0,,,
2023-05-01,50.0,50.0,,,
2023-06-01,50.0,50.0,,,
2023-07-01,50.0,50.0,,,
2023-08-01,50.0,50.0,,,
2023-09-01,50.0,50.0,,,
2023-10-01,35.0,35.0,,,
2023-11-01,35.0,35.0,,,
2023-12-01,35.0,35.0,,,
2024-01-01,35.0,35.0,,,
2024-02-01,35.0,35.0,,,
2024-03-01,25.0,25.0,,,
2024-04-01,25.0,25.0,,,
2024-05-01,25.0,,25.0,24.999880229694767,26.518618042516756
2024-06-01,25.0,,25.0,24.999939142260505,26.942772661573194
2024-07-01,25.0,,25.0,24.99987844444031,28.523280832565064
2024-08-01,25.0,,25.0,24.3331388097431,30.670103936576936
2024-09-01,30.0,,30.0,25.047458874745683,31.711837021094993
2024-10-01,30.0,,30.0,22.904621043784037,31.948162774704194
2024-11-01,30.0,,30.0,22.904636172481514,32.2717416829507
2024-12-01,30.0,,30.0,22.904610874601698,32.62654737062754
2025-01-01,30.0,,30.0,22.90455154423696,32.95434131508718
2025-02-01,30.0,,30.0,22.90454078791985,33.42276089848403
2025-03-01,30.0,,30.0,20.761543987231253,33.983374834729524
2025-04-01,30.0,,30.0,23.618666278548115,34.52476963376268
