lag,acf,pacf
0,1.0,1.0
1,-0.001693248852960479,-0.0017118559832127692
2,-0.002548976767897489,-0.002608558791233695
3,-0.002567183744811006,-0.0026626815092670253
4,-0.0025853907217245663,-0.0027188942417636927
5,-0.0026035976986381105,-0.0027765322541741045
6,-0.387881436166339,-0.41498701582901354
7,-0.00264001165246523,-0.0058071653068388195
8,-0.0018206976913553107,-0.005676326973842812
9,-0.001838904668268899,-0.005800151461389777
10,-0.0018571116451824368,-0.00592742906416724
11,0.11370257082514017,0.15272480180460432
12,-0.001056004660986127,-0.21314045854159874
13,-0.07812613793605715,-0.11436710455074396
14,-0.001092418614813217,-0.0014644170974411426
15,-0.001110625591726777,-0.004835483791347756
16,-0.001128832568640277,-0.018377150149324013
17,-0.15525089214186874,-0.0846769108252139
18,-0.0011652465224673877,-0.10119335273535468
19,0.3480627776563981,0.46385931945542325
20,0.0013109023377758744,-0.02918182875613552
21,0.0012926953608622905,-0.037948666984593635
22,0.00127448838394873,-0.013258182604027977
23,0.0397822445561139,-0.05253466204797207
24,0.0012380744301216243,-0.07778500097074194
