lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.31261022359031526,-0.23591244408590478,0.6356529715983738,-0.10405904284249297,-0.11420131546538856,0.01286575523299254,-0.023864529349137152,-0.132116939521306,0.3516047864846775
-11,-0.3123351854550052,-0.2309593636601329,0.647740984307575,-0.11625234658894225,-0.09322679349958492,0.007685016592801058,-0.006046810666084585,-0.20141810306381588,0.2522916498735616
-10,-0.3079984456133328,-0.2329655826866217,0.6427203033343168,-0.046270850420432275,-0.045540695489925544,0.04903361392793052,-0.05187695379355399,-0.26938285641697585,0.12850264484966226
-9,-0.2386364236355511,-0.08568452943097764,0.6223278065894509,-0.010886633712732846,-0.030557485051835684,0.05014791874378098,-0.13681462941648315,-0.33427222245550087,0.0023247200729567675
-8,-0.23675529219949754,-0.07034468615019308,0.5967875857488211,-0.03477427920441319,-0.032432477876775154,-0.026788158672382423,-0.17695148366946367,-0.3495446687821389,-0.086622932230783
-7,-0.22563367066370518,-0.06939914477509712,0.5702840810003359,-0.035404015169657056,-0.07492510785312492,-0.054003876824704346,-0.17717181494470333,-0.3194683333489695,-0.1309993868985472
-6,-0.21287770343640333,-0.05898968527390035,0.5535838579052663,-0.04482825159043847,-0.13708975794870354,-0.056709596842668686,-0.2195632991818704,-0.25037485040223967,-0.11857435863056119
-5,-0.13710823530539148,-0.02679733607413645,0.5455964730483005,-0.13141244545097264,-0.18695224079036088,-0.13378513085321228,-0.2539257190351954,-0.15921939955202963,-0.10548533850653119
-4,-0.08504274960545004,0.0006000202195545729,0.5402102325324855,-0.16747341305664928,-0.17128980612605105,-0.14019628233466147,-0.24128220837802936,-0.03385312876900624,-0.08002235597567019
-3,-0.11575971269429298,-0.055544890614206935,0.5326796756336989,-0.1281977158557089,-0.15796116368256502,-0.12518742931099577,-0.23363283904170085,0.07935092067976338,-0.05731659573848985
-2,-0.12090206606372761,-0.02702824080083208,0.5191776224137185,-0.12245172926333488,-0.16756014282394494,-0.14197059861905678,-0.26914692046459493,0.2037290263103987,-0.03173850730390541
-1,-0.12965369190014683,-0.04911174563331332,0.4983572934181254,-0.14343800555328345,-0.170129165502344,-0.1575156002488674,-0.2883359187629655,0.30740052838131854,-0.021822555963243003
0,-0.09009412241099768,-0.011201329238717733,0.46772128131433655,-0.15151548265597875,-0.1569111580942252,-0.16750989513572304,-0.2821849512354269,0.3510383526077189,-0.051993371551367996
1,-0.06404527086204737,0.06365759389198097,0.44230769967200645,-0.1254899616683969,-0.11795423003835559,-0.17784603088656017,-0.29272653360493694,0.40411557616762495,-0.036653760899428824
2,-0.05706345980505002,0.16527340294932139,0.4095196151638518,-0.08268999739082519,-0.08200399602193259,-0.18686064067177768,-0.29997701086099565,0.417428291334845,-0.03364525230658731
3,0.019446649512922434,0.26196361507964366,0.37058068091642987,-0.05809239378082127,-0.06646485906054576,-0.2000075991051035,-0.29629386199548485,0.417877290678618,-0.03005602258485775
4,0.05699558572455653,0.3004980204117876,0.328763750617457,-0.03936900930852744,-0.03723465341783229,-0.19527139465699453,-0.23724335028883609,0.38758738658664604,-0.038172428902516584
5,0.19210689743884296,0.349878104137569,0.2823966087154967,-0.04578091439850844,-0.03148567871503122,-0.20356634218567302,-0.19926337406899794,0.3759746490447332,-0.03422739052445727
6,0.245332656551806,0.3605860982149418,0.23144552049535994,0.012451807183177505,-0.0475009397639975,-0.13284028991305377,-0.18076935330793623,0.37754249019853436,-0.030777000227770607
7,0.2532656017356985,0.31969502564919644,0.17795601101136063,-0.025374654999920025,-0.08328507470490712,-0.13169618866909438,-0.16946956520918327,0.36832851265831074,-0.04910691150855878
8,0.2671633955483243,0.2348272693946491,0.12192750923622026,-0.084570219884379,-0.09335297330104887,-0.15284193014847106,-0.11150172441095597,0.3382837846775252,-0.0840345936731804
9,0.25575965041408816,0.18322180854966152,0.06305385822440226,-0.07265410489726683,-0.09264675099443062,-0.08034263115136585,-0.035926707652270275,0.3090150211458785,-0.12688538917797187
10,0.3104058809406499,0.1876825712968505,-0.0011948820475392574,-0.047989916257141635,-0.10422211997741744,0.003024134709832297,0.01849145116701853,0.27084180994225654,-0.18405334774127902
11,0.25897766233314207,0.17572545602123055,-0.06007846135257697,-0.08209073625612476,-0.10683725895028433,-0.017336299014256495,-0.017608179292247138,0.19718748898586502,-0.26494470001126313
12,0.2767412273715402,0.1803657605636972,-0.1136289006116929,-0.10006877589553359,-0.0749994301922283,-0.024225629253915693,-0.005631506572077084,0.12615578149972487,-0.33578808442434166
