date,value,matrix_profile,matrix_profile_index
2017-08-01,45.0,0.0,12.0
2017-09-01,45.0,0.0,74.0
2017-10-01,45.0,0.0,75.0
2017-11-01,45.0,0.0,76.0
2017-12-01,45.0,0.0,77.0
2018-01-01,45.0,0.0,78.0
2018-02-01,45.0,0.0,68.0
2018-03-01,45.0,9.545120528441684e-16,69.0
2018-04-01,45.0,1.0375290085500448e-15,51.0
2018-05-01,45.0,0.0,71.0
2018-06-01,45.0,1.3299526536404359e-15,72.0
2018-07-01,45.0,1.691876318965998e-15,73.0
2018-08-01,40.0,0.0,0.0
2018-09-01,40.0,0.0,0.0
2018-10-01,40.0,0.0,0.0
2018-11-01,40.0,0.0,0.0
2018-12-01,40.0,0.0,0.0
2019-01-01,40.0,0.0,0.0
2019-02-01,40.0,0.0,0.0
2019-03-01,40.0,0.0,0.0
2019-04-01,40.0,0.0,0.0
2019-05-01,40.0,0.0,0.0
2019-06-01,40.0,0.0,0.0
2019-07-01,40.0,0.0,0.0
2019-08-01,40.0,0.0,0.0
2019-09-01,40.0,0.0,0.0
2019-10-01,40.0,0.0,0.0
2019-11-01,40.0,0.0,0.0
2019-12-01,40.0,0.0,0.0
2020-01-01,40.0,0.0,0.0
2020-02-01,40.0,0.0,0.0
2020-03-01,40.0,0.0,0.0
2020-04-01,40.0,0.0,0.0
2020-05-01,40.0,0.0,0.0
2020-06-01,40.0,0.0,0.0
2020-07-01,40.0,0.0,0.0
2020-08-01,40.0,0.0,0.0
2020-09-01,40.0,0.0,0.0
2020-10-01,40.0,1.5740127955196998e-15,57.0
2020-11-01,40.0,1.5039322214409696e-15,58.0
2020-12-01,40.0,2.9373740229761033e-16,59.0
2021-01-01,40.0,7.419967475909162e-16,60.0
2021-02-01,40.0,1.398102463420839e-15,61.0
2021-03-01,40.0,4.440892098500626e-16,62.0
2021-04-01,40.0,0.7045432398992808,62.0
2021-05-01,40.0,0.887644956879882,64.0
2021-06-01,40.0,0.8619288125423016,65.0
2021-07-01,40.0,0.7764834514806028,66.0
2021-08-01,40.0,0.6054038194811906,67.0
2021-09-01,55.00000000000001,6.661338147750939e-16,6.0
2021-10-01,55.00000000000001,1.046891844311514e-15,69.0
2021-11-01,55.00000000000001,0.0,70.0
2021-12-01,55.00000000000001,3.640109616122045e-16,9.0
2022-01-01,55.00000000000001,9.346666907374255e-16,72.0
2022-02-01,55.00000000000001,6.909224526303823e-16,73.0
2022-03-01,45.0,0.0,0.0
2022-04-01,45.0,0.0,0.0
2022-05-01,45.0,1.5740127955196998e-15,38.0
2022-06-01,45.0,1.5039322214409696e-15,39.0
2022-07-01,45.0,2.9373740229761033e-16,40.0
2022-08-01,45.0,7.419967475909162e-16,41.0
2022-09-01,45.0,1.398102463420839e-15,42.0
2022-10-01,45.0,4.440892098500626e-16,43.0
2022-11-01,45.0,0.5867923748912972,1.0
2022-12-01,45.0,0.4290468867141407,2.0
2023-01-01,45.0,0.3382039574515255,3.0
2023-02-01,45.0,0.2654663020508173,4.0
2023-03-01,45.0,0.1872331975648329,5.0
2023-04-01,50.0,0.0,6.0
2023-05-01,50.0,9.545120528441684e-16,7.0
2023-06-01,50.0,0.0,51.0
2023-07-01,50.0,0.0,9.0
2023-08-01,50.0,9.346666907374255e-16,53.0
2023-09-01,50.0,6.909224526303823e-16,54.0
2023-10-01,35.0,0.0,1.0
2023-11-01,35.0,0.0,2.0
2023-12-01,35.0,0.0,3.0
2024-01-01,35.0,0.0,4.0
2024-02-01,35.0,0.0,5.0
2024-03-01,35.0,0.0,6.0
2024-04-01,35.0,0.5564993176482491,7.0
2024-05-01,35.0,0.7653668647301796,8.0
2024-06-01,35.0,,
2024-07-01,35.0,,
2024-08-01,35.0,,
2024-09-01,30.0,,
2024-10-01,30.0,,
2024-11-01,30.0,,
2024-12-01,30.0,,
2025-01-01,30.0,,
2025-02-01,30.0,,
2025-03-01,35.0,,
2025-04-01,35.0,,
