date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_var
2017-08-01,45.0,45.0,,,,
2017-09-01,45.0,45.0,,,,
2017-10-01,45.0,45.0,,,,
2017-11-01,45.0,45.0,,,,
2017-12-01,45.0,45.0,,,,
2018-01-01,45.0,45.0,,,,
2018-02-01,45.0,45.0,,,,
2018-03-01,45.0,45.0,,,,
2018-04-01,45.0,45.0,,,,
2018-05-01,45.0,45.0,,,,
2018-06-01,45.0,45.0,,,,
2018-07-01,45.0,45.0,,,,
2018-08-01,40.0,40.0,,,,
2018-09-01,40.0,40.0,,,,
2018-10-01,40.0,40.0,,,,
2018-11-01,40.0,40.0,,,,
2018-12-01,40.0,40.0,,,,
2019-01-01,40.0,40.0,,,,
2019-02-01,40.0,40.0,,,,
2019-03-01,40.0,40.0,,,,
2019-04-01,40.0,40.0,,,,
2019-05-01,40.0,40.0,,,,
2019-06-01,40.0,40.0,,,,
2019-07-01,40.0,40.0,,,,
2019-08-01,40.0,40.0,,,,
2019-09-01,40.0,40.0,,,,
2019-10-01,40.0,40.0,,,,
2019-11-01,40.0,40.0,,,,
2019-12-01,40.0,40.0,,,,
2020-01-01,40.0,40.0,,,,
2020-02-01,40.0,40.0,,,,
2020-03-01,40.0,40.0,,,,
2020-04-01,40.0,40.0,,,,
2020-05-01,40.0,40.0,,,,
2020-06-01,40.0,40.0,,,,
2020-07-01,40.0,40.0,,,,
2020-08-01,40.0,40.0,,,,
2020-09-01,40.0,40.0,,,,
2020-10-01,40.0,40.0,,,,
2020-11-01,40.0,40.0,,,,
2020-12-01,40.0,40.0,,,,
2021-01-01,40.0,40.0,,,,
2021-02-01,40.0,40.0,,,,
2021-03-01,40.0,40.0,,,,
2021-04-01,40.0,40.0,,,,
2021-05-01,40.0,40.0,,,,
2021-06-01,40.0,40.0,,,,
2021-07-01,40.0,40.0,,,,
2021-08-01,40.0,40.0,,,,
2021-09-01,55.00000000000001,55.00000000000001,,,,
2021-10-01,55.00000000000001,55.00000000000001,,,,
2021-11-01,55.00000000000001,55.00000000000001,,,,
2021-12-01,55.00000000000001,55.00000000000001,,,,
2022-01-01,55.00000000000001,55.00000000000001,,,,
2022-02-01,55.00000000000001,55.00000000000001,,,,
2022-03-01,45.0,45.0,,,,
2022-04-01,45.0,45.0,,,,
2022-05-01,45.0,45.0,,,,
2022-06-01,45.0,45.0,,,,
2022-07-01,45.0,45.0,,,,
2022-08-01,45.0,45.0,,,,
2022-09-01,45.0,45.0,,,,
2022-10-01,45.0,45.0,,,,
2022-11-01,45.0,45.0,,,,
2022-12-01,45.0,45.0,,,,
2023-01-01,45.0,45.0,,,,
2023-02-01,45.0,45.0,,,,
2023-03-01,45.0,45.0,,,,
2023-04-01,50.0,50.0,,,,
2023-05-01,50.0,50.0,,,,
2023-06-01,50.0,50.0,,,,
2023-07-01,50.0,50.0,,,,
2023-08-01,50.0,50.0,,,,
2023-09-01,50.0,50.0,,,,
2023-10-01,35.0,35.0,,,,
2023-11-01,35.0,35.0,,,,
2023-12-01,35.0,35.0,,,,
2024-01-01,35.0,35.0,,,,
2024-02-01,35.0,35.0,,,,
2024-03-01,35.0,35.0,,,,
2024-04-01,35.0,35.0,,,,
2024-05-01,35.0,,35.0,34.99991020686636,34.821698688213715,36.01168894454668
2024-06-01,35.0,,35.0,34.99999410267681,34.828599810530406,36.86172355188831
2024-07-01,35.0,,35.0,35.000082549682034,34.829497323729804,36.908141338362924
2024-08-01,35.0,,35.0,34.16676819302154,34.663146065248476,37.342277236443024
2024-09-01,30.0,,30.0,36.30966050045377,37.974139212679006,38.33087380236859
2024-10-01,30.0,,30.0,34.16681787125971,36.631724916719854,38.30030252451044
2024-11-01,30.0,,30.0,34.16683680585913,36.63172644258157,38.50143029894363
2024-12-01,30.0,,30.0,34.166977603032876,36.63172642187809,38.904761479367345
2025-01-01,30.0,,30.0,34.16709736966853,36.63172638396527,39.06544312699281
2025-02-01,30.0,,30.0,34.16703052338322,36.631728603716844,39.24538233683564
2025-03-01,35.0,,35.0,32.738322202275285,34.424413359306016,39.55337524189452
2025-04-01,35.0,,35.0,33.45242511807014,36.14197506523531,39.808227495847156
