lag,acf,pacf
0,1.0,1.0
1,0.8047592674668813,0.8135066508089128
2,0.6095185349337628,-0.11495484236361736
3,0.42200206053233585,-0.10610911775902156
4,0.23448558613090872,-0.14305439236911477
5,0.08680704377864536,-0.03630427018235797
6,-0.07402820198474093,-0.20064623724159547
7,-0.14276652387026673,0.125113064944355
8,-0.2202759813632079,-0.17998877863314744
9,-0.29127782211516345,-0.10528015911166196
10,-0.362279662867119,-0.20532374893757227
11,-0.4332815036190746,-0.14248415280767623
12,-0.46481323413766135,-0.13761591105423085
13,-0.4190854069478347,0.17845786390064347
14,-0.2900317914875627,0.18940611613006078
15,-0.16870243415898228,-0.002190981287631533
16,-0.047373076830401845,-0.0016860795993002438
17,0.07395628049817858,0.056234752754793664
18,0.18212893441563607,0.06957963797189902
19,0.27714488492197065,0.17168653909192125
20,0.22180659472570893,-0.4658604799647931
21,0.19541305203391773,0.0980669716889528
22,0.1690195093421265,-0.1334694301081442
23,0.1426259666503353,0.12266096642395212
24,0.12938912736966693,-0.08715646184505518
