lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.41534956877916573,0.5898276948230895,0.9892584985154546,0.8047592674668814,0.44638650905197086,0.7875780176795184,0.03803140223163708,0.5961403768442809,0.8549648336555341,0.9398616359830904
2,0.2639372879845599,0.3682529554053748,0.9662359920540592,0.609518534933763,0.16824984422155354,0.39056791544371094,0.0651925964969815,0.3988992561722552,0.6900408733442458,0.8449521242535132
3,0.07496208523761079,0.16231113751647983,0.9335434061263076,0.42200206053233597,-0.06918816111548015,-0.04472610222294944,0.14985470177390334,0.2219466709433135,0.5602539436640934,0.7525417794682878
4,0.11515544001581299,0.12304241339631254,0.8937950537578327,0.23448558613090878,-0.2349428014964983,-0.3437970508812145,0.018701458887219684,0.18027791540738103,0.44518402247742006,0.6609124243531728
5,-0.07685066343139373,0.0591142242576768,0.8511843640768904,0.08680704377864537,-0.36835775576297597,-0.5319278687954132,0.06626987304712255,0.12290927111877455,0.38764389788266396,0.5850858373629683
6,0.011729759969262796,0.0818203782826671,0.8049308647724244,-0.07402820198474096,-0.3972783841424256,-0.5942899366446569,0.07812142474265177,0.08599906284129252,0.3638931641632028,0.534277696604972
7,-0.023918346368339304,0.06250768555391241,0.7568906274816486,-0.1427665238702668,-0.3509184726439613,-0.5328890400022798,0.011462697604244497,0.05503409170830283,0.3531574059890122,0.5047109872745952
8,0.16523771253530883,0.2604286724949364,0.7102774985295883,-0.22027598136320792,-0.22456347897110873,-0.33973161601772833,0.04239626723838705,0.08176499856996014,0.3309852252183944,0.48837647435493864
9,0.12080933209886081,0.14799450139131143,0.6661836166365951,-0.2912778221151635,-0.07537801919437144,-0.040629484630502616,-0.05273668241575488,0.03324672330594343,0.2779573649187051,0.4845630853463593
10,0.19970972366327852,0.14466769860269188,0.6243730623812143,-0.362279662867119,0.19694265792756696,0.3148268873977346,0.11224932418611956,0.12079554168142258,0.18872481717939385,0.49446685014365427
11,0.08308080284856564,0.06434437380018329,0.5847476317097237,-0.43328150361907475,0.4359573058503582,0.5877767958003375,-0.006129411622014167,0.03512948309411417,0.07418853473951251,0.500618889325678
12,0.08667993702118114,0.17732096381045379,0.5452197413885855,-0.46481323413766146,0.5150865807942675,0.6755135521991875,-0.028071156830848317,0.04816853111318812,-0.031993634237550334,0.48718965797883057
