lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.35917456505410394,-0.12445797061866985,-0.16617524140375353,-0.027206105391534965,-0.08794847952258476,-0.19291105207182252,-0.29784800703929504,-0.15940500877758745,-0.009475431961742834
-11,-0.3597819027297398,-0.04781087960013922,-0.11801322319051259,-0.03664687726866164,-0.10655796369811242,-0.15762848746242902,-0.28001027605161016,-0.19012378862070248,-0.025275964896039754
-10,-0.360089542738495,0.008635527666931412,-0.06701186007739807,-0.05823797074280197,-0.09087737643528765,-0.1588614682469619,-0.2296211556885116,-0.24050683224649716,-0.04553506091321682
-9,-0.26939439058154335,0.015911601393213338,-0.020539219287116207,-0.05403658819581248,-0.04576810519704643,-0.1621913216635428,-0.09750696997351242,-0.2641205836081568,-0.0251159093364207
-8,-0.2632167363514163,0.004458391539451021,0.015124515729867656,-0.03537746305936138,0.006525190670817745,-0.06127040216569685,0.0861600491950981,-0.24587636527795337,0.02651622559829882
-7,-0.13490964847300924,0.03189996244297966,0.03560308848849778,0.019672828692106896,0.02038130892133937,0.06850527544941143,0.19667457702280214,-0.15691154530861695,0.09882733457354914
-6,0.02667928836876271,0.05566498697730089,0.046304577756546096,0.00795664862207835,0.017227427883574935,0.1419245457113297,0.25880939892918997,-0.042867273257779205,0.1768325275030756
-5,0.06473378056133482,0.03878281161483081,0.04784031344458551,-0.006881065806222142,0.02713033134309603,0.16004367835594768,0.29557778144296487,0.07936520497210853,0.2322524461050671
-4,0.034470454175626455,-0.043852279969628205,0.04486456653796953,0.02490159656962086,0.0521437680426656,0.18699378089048155,0.3058944278195273,0.18681670808237824,0.28561228740054
-3,-0.06439998808872578,-0.1201342534470316,0.03661079226368872,0.027409911850878873,0.06844083430721086,0.2212979068708374,0.2955891418203968,0.22864021337047646,0.3169748753542867
-2,0.03258161976351809,-0.12631278874626303,0.02118768713948423,0.05307266194198885,0.09199696682967917,0.20354129051029227,0.23682032688652263,0.20855640539616552,0.30102687937601214
-1,0.051974061897562304,-0.1488402367894155,-0.012576201671187545,0.08113897143160052,0.11574812102284031,0.17863429594539357,0.19243263153811407,0.20414399940823863,0.28528771402681635
0,0.026647132721338184,-0.16643721646699386,-0.02516107182400651,0.08130469746690483,0.13326044396841144,0.10233086012785576,0.11186107175806966,0.23292212258914893,0.28345931289583254
1,-0.0409981872710143,-0.20570327783311543,0.002308676716685942,0.08435022518488684,0.1526783453365701,0.0669549224739949,0.1141814562531991,0.23045136018763845,0.24174647668457314
2,0.004545295722745912,-0.21457810333478222,0.031227518231787182,0.10903758697090632,0.1485864877418437,0.06975422197737924,0.10878398560247575,0.23349519810284175,0.17796585211830052
3,0.03148011483593575,-0.2273302226646561,0.06510242794877749,0.12668125858494056,0.09568397375742349,0.09744101905686688,0.05146939758892081,0.29745014187696783,0.14160154300267883
4,-0.08573136180394693,-0.26139624485091834,0.10214302122456351,0.07247334389968679,-0.017495518994291644,0.05831931256793165,-0.05863786176173883,0.33896945397292294,0.12235809611324087
5,-0.1945015373302,-0.3083586424932547,0.13502222036557177,-0.0007100904543375703,-0.11750248453837144,-0.012084826987678071,-0.15093284398670442,0.4024202549144987,0.12064591019508257
6,-0.3128893588638306,-0.38250964045607605,0.17344486415477336,-0.10396551815504572,-0.18208903333855878,-0.08495854164289933,-0.21360519625595986,0.39962876472851316,0.10812306741893966
7,-0.38496172621469565,-0.3569419803496383,0.2174590527149425,-0.15671527828029214,-0.2043379282227986,-0.13193673943116377,-0.2432607214718866,0.2878463375705619,0.07866001359675544
8,-0.3739227574476597,-0.1861484529137564,0.26712813627856746,-0.1482269023470359,-0.20879707257099756,-0.14078490031290244,-0.2862379896184743,0.22346283123434982,0.057950382112728155
9,-0.25494821559738956,-0.02028060955663831,0.32370878620937665,-0.15366556258531877,-0.21483746007690785,-0.13687802592634835,-0.31947998488998913,0.209102911723926,0.055298803851970516
10,-0.1009502060416668,0.07602621989020397,0.3706363401403992,-0.1654858531121061,-0.15608660970367172,-0.21483771697587972,-0.30944736320537375,0.20317191373274646,0.06832985063459812
11,-0.04297073736387694,0.13770930574231718,0.40391198793135047,-0.1605797087248352,-0.08565630620070468,-0.22461443929406055,-0.24387500527243106,0.21981241058689122,0.08941148549537618
12,0.026784808727890554,0.17028773044959933,0.4234530705231568,-0.01948986534335082,-0.014956475068016924,-0.1383893855730351,-0.17929892104354703,0.23103474861219883,0.07920392234590161
