date,actual,actual_train,actual_test,forecast_holt-winters,forecast_var
2017-08-01,22.0,22.0,,,
2017-09-01,22.0,22.0,,,
2017-10-01,22.0,22.0,,,
2017-11-01,22.0,22.0,,,
2017-12-01,37.0,37.0,,,
2018-01-01,37.0,37.0,,,
2018-02-01,37.0,37.0,,,
2018-03-01,37.0,37.0,,,
2018-04-01,37.0,37.0,,,
2018-05-01,37.0,37.0,,,
2018-06-01,37.0,37.0,,,
2018-07-01,37.0,37.0,,,
2018-08-01,40.0,40.0,,,
2018-09-01,40.0,40.0,,,
2018-10-01,40.0,40.0,,,
2018-11-01,40.0,40.0,,,
2018-12-01,40.0,40.0,,,
2019-01-01,40.0,40.0,,,
2019-02-01,40.0,40.0,,,
2019-03-01,40.0,40.0,,,
2019-04-01,40.0,40.0,,,
2019-05-01,40.0,40.0,,,
2019-06-01,40.0,40.0,,,
2019-07-01,40.0,40.0,,,
2019-08-01,30.0,30.0,,,
2019-09-01,30.0,30.0,,,
2019-10-01,30.0,30.0,,,
2019-11-01,30.0,30.0,,,
2019-12-01,30.0,30.0,,,
2020-01-01,30.0,30.0,,,
2020-02-01,30.0,30.0,,,
2020-03-01,30.0,30.0,,,
2020-04-01,25.0,25.0,,,
2020-05-01,25.0,25.0,,,
2020-06-01,25.0,25.0,,,
2020-07-01,25.0,25.0,,,
2020-08-01,35.0,35.0,,,
2020-09-01,35.0,35.0,,,
2020-10-01,35.0,35.0,,,
2020-11-01,35.0,35.0,,,
2020-12-01,35.0,35.0,,,
2021-01-01,35.0,35.0,,,
2021-02-01,35.0,35.0,,,
2021-03-01,25.0,25.0,,,
2021-04-01,25.0,25.0,,,
2021-05-01,25.0,25.0,,,
2021-06-01,25.0,25.0,,,
2021-07-01,25.0,25.0,,,
2021-08-01,25.0,25.0,,,
2021-09-01,25.0,25.0,,,
2021-10-01,25.0,25.0,,,
2021-11-01,25.0,25.0,,,
2021-12-01,25.0,25.0,,,
2022-01-01,25.0,25.0,,,
2022-02-01,25.0,25.0,,,
2022-03-01,50.0,50.0,,,
2022-04-01,50.0,50.0,,,
2022-05-01,50.0,50.0,,,
2022-06-01,50.0,50.0,,,
2022-07-01,50.0,50.0,,,
2022-08-01,50.0,50.0,,,
2022-09-01,35.0,35.0,,,
2022-10-01,35.0,35.0,,,
2022-11-01,35.0,35.0,,,
2022-12-01,35.0,35.0,,,
2023-01-01,35.0,35.0,,,
2023-02-01,35.0,35.0,,,
2023-03-01,35.0,35.0,,,
2023-04-01,25.0,25.0,,,
2023-05-01,25.0,25.0,,,
2023-06-01,25.0,25.0,,,
2023-07-01,25.0,25.0,,,
2023-08-01,25.0,25.0,,,
2023-09-01,25.0,25.0,,,
2023-10-01,40.0,40.0,,,
2023-11-01,40.0,40.0,,,
2023-12-01,40.0,40.0,,,
2024-01-01,40.0,40.0,,,
2024-02-01,40.0,40.0,,,
2024-03-01,45.0,45.0,,,
2024-04-01,45.0,45.0,,,
2024-05-01,45.0,,45.0,45.00026775738298,42.860327999866044
2024-06-01,45.0,,45.0,44.999461690145324,41.15727102987906
2024-07-01,45.0,,45.0,44.999508259242894,39.974763958261875
2024-08-01,45.0,,45.0,45.49881970633746,37.437772770406696
2024-09-01,30.0,,30.0,43.35626605622309,36.445723606649395
2024-10-01,30.0,,30.0,45.49954441089118,36.21460431276506
2024-11-01,30.0,,30.0,45.498669450780845,36.582263424429115
2024-12-01,30.0,,30.0,47.64151089690972,36.94596795011374
2025-01-01,30.0,,30.0,47.64162008254511,36.68897872188495
2025-02-01,30.0,,30.0,47.641404044394015,36.22699476265744
2025-03-01,25.0,,25.0,50.49943749526224,35.79410693036351
2025-04-01,25.0,,25.0,48.35600560461996,35.53211164842304
