lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8519885788422278,0.766417344841036,0.9597934871809713,0.8772982666787172,0.5547084447037963,0.8213589690487567,0.18945603485567017,0.6380350819068434,0.9318947329439133,0.9464675841629564
2,0.8066461227637907,0.7486686156688994,0.9020949134878736,0.754596533357434,0.2809002332473103,0.4632198311386392,0.2238808022227082,0.4283643934977176,0.8126522142354238,0.86373522662528
3,0.7507174068345939,0.688665438463879,0.8342244553310683,0.6414557933141604,-0.03091302840749225,0.029033310163248387,-0.039932999706098204,0.11203008632551127,0.6908302606606188,0.7737657062564657
4,0.7319099760724044,0.6605869199834953,0.7635022891209172,0.5283150532708866,-0.23113555920545636,-0.31066976305250715,0.03173729437598426,0.07409267074119322,0.6079576202750133,0.6968833886739592
5,0.6838847973626769,0.6533770366400266,0.6918112271607795,0.4244623254997736,-0.42679841433154286,-0.5442785519299689,0.013897383333041928,0.13743999486560077,0.5429826686513127,0.6319147478214612
6,0.6364857636457883,0.6233529339565024,0.6193073553144277,0.32060959772866066,-0.5031987389328225,-0.6184968884752639,0.08511119188138437,0.25301483839918304,0.4815083918643826,0.574183269800101
7,0.6264525937973354,0.6282582803861787,0.5461467594456346,0.3096369926791549,-0.4001028471805755,-0.5245365428865174,0.13278991810417956,0.2423687663398368,0.40581359215775276,0.5145746526694146
8,0.5782921912863375,0.6004172964348171,0.4724496506736134,0.28008836308532775,-0.18488779089095694,-0.2892972401992574,0.12446572327188266,0.18479495480266714,0.30555501381211175,0.44514560764147554
9,0.586886981957238,0.5467754619913335,0.3983362401175769,0.23974033857720334,0.007467027632113308,0.01723212205931729,0.02045091437163264,0.04808810300376318,0.18607404452142925,0.36730336082233894
10,0.5914385809701536,0.4690841295245707,0.32404799321067035,0.19939231406907876,0.2305983019173633,0.3369143947191971,0.08630548266954308,0.07307800499827476,0.050432476193538495,0.2803468120627381
11,0.6005836737192675,0.4783622471389002,0.2498108779552093,0.15904428956095437,0.42643538746007487,0.5803275588055464,-0.025854983796178354,0.10538395403930809,-0.07835113905616631,0.19269167605763135
12,0.5617978082137328,0.44567743329731824,0.17585770108340804,0.13727228959715135,0.5879145800903166,0.6840615111714622,0.1076347450037298,0.21782341743732064,-0.17703382404690693,0.11087904129641207
