date,value,matrix_profile,matrix_profile_index
2017-08-01,45.0,0.0,12.0
2017-09-01,45.0,6.38378239159465e-16,57.0
2017-10-01,45.0,5.072516540831925e-16,58.0
2017-11-01,45.0,1.4686870114880517e-16,59.0
2017-12-01,45.0,4.440892098500626e-16,60.0
2018-01-01,45.0,3.6821932062951477e-16,61.0
2018-02-01,45.0,0.0,43.0
2018-03-01,45.0,6.025197845691181e-15,19.0
2018-04-01,45.0,3.1086244689504383e-15,20.0
2018-05-01,45.0,0.6058108930553725,46.0
2018-06-01,45.0,0.7403341355012253,47.0
2018-07-01,45.0,0.9219982922152633,48.0
2018-08-01,53.0,0.0,0.0
2018-09-01,53.0,3.6546129438007325e-15,57.0
2018-10-01,53.0,3.5472161342847354e-16,58.0
2018-11-01,53.0,2.0561618160832724e-15,59.0
2018-12-01,53.0,3.9968028886505635e-15,60.0
2019-01-01,53.0,1.2077131052320607e-15,5.0
2019-02-01,53.0,3.552713678800501e-15,6.0
2019-03-01,53.0,6.025197845691181e-15,7.0
2019-04-01,53.0,3.1086244689504383e-15,8.0
2019-05-01,53.0,0.5023158093730833,1.0
2019-06-01,53.0,0.34635432100446556,58.0
2019-07-01,53.0,0.2356741630033205,59.0
2019-08-01,55.00000000000001,1.9250981258937285e-15,60.0
2019-09-01,55.00000000000001,0.4268647112461137,63.0
2019-10-01,55.00000000000001,0.338203957451525,64.0
2019-11-01,55.00000000000001,0.2949552013602144,65.0
2019-12-01,55.00000000000001,0.2697253727055294,66.0
2020-01-01,55.00000000000001,0.2540338498439065,67.0
2020-02-01,55.00000000000001,0.24436652739140852,49.0
2020-03-01,55.00000000000001,0.1846440007193666,50.0
2020-04-01,60.0,0.33728585756590757,51.0
2020-05-01,60.0,0.44600675925394556,52.0
2020-06-01,60.0,0.5504032386825917,53.0
2020-07-01,60.0,0.7135060680126757,54.0
2020-08-01,45.0,0.13951768127919517,67.0
2020-09-01,45.0,0.0,49.0
2020-10-01,45.0,0.6863369622037875,13.0
2020-11-01,45.0,0.5133358703140485,2.0
2020-12-01,45.0,0.4075553934959572,59.0
2021-01-01,45.0,0.32036448601393436,16.0
2021-02-01,45.0,0.2255720332168449,17.0
2021-03-01,35.0,0.0,6.0
2021-04-01,35.0,0.22169248968666155,80.0
2021-05-01,35.0,0.2973919678742179,81.0
2021-06-01,35.0,0.6058108930553725,9.0
2021-07-01,35.0,0.7403341355012253,10.0
2021-08-01,35.0,0.7144486868501593,67.0
2021-09-01,60.0,0.0,37.0
2021-10-01,60.0,2.9893669801409083e-16,69.0
2021-11-01,60.0,2.220446049250313e-16,70.0
2021-12-01,60.0,0.0,71.0
2022-01-01,60.0,3.5472161342847354e-16,72.0
2022-02-01,60.0,2.6573940485783934e-16,73.0
2022-03-01,45.0,0.0,0.0
2022-04-01,45.0,0.0,0.0
2022-05-01,45.0,6.38378239159465e-16,1.0
2022-06-01,45.0,3.5472161342847354e-16,14.0
2022-07-01,45.0,0.0,76.0
2022-08-01,45.0,4.440892098500626e-16,4.0
2022-09-01,45.0,0.0,78.0
2022-10-01,45.0,0.0,6.0
2022-11-01,45.0,0.4268647112461137,25.0
2022-12-01,45.0,0.338203957451525,26.0
2023-01-01,45.0,0.2949552013602144,27.0
2023-02-01,45.0,0.2697253727055294,28.0
2023-03-01,45.0,0.13951768127919517,36.0
2023-04-01,50.0,0.0,37.0
2023-05-01,50.0,2.9893669801409083e-16,50.0
2023-06-01,50.0,2.220446049250313e-16,51.0
2023-07-01,50.0,0.0,52.0
2023-08-01,50.0,3.5472161342847354e-16,53.0
2023-09-01,50.0,2.6573940485783934e-16,54.0
2023-10-01,30.0,1.9295615482511576e-15,1.0
2023-11-01,30.0,1.4723541508082466e-15,2.0
2023-12-01,30.0,0.0,59.0
2024-01-01,30.0,1.121270291988505e-15,4.0
2024-02-01,30.0,0.0,61.0
2024-03-01,30.0,0.0,6.0
2024-04-01,30.0,0.22169248968666155,44.0
2024-05-01,30.0,0.2973919678742179,45.0
2024-06-01,30.0,,
2024-07-01,30.0,,
2024-08-01,30.0,,
2024-09-01,35.0,,
2024-10-01,35.0,,
2024-11-01,35.0,,
2024-12-01,35.0,,
2025-01-01,35.0,,
2025-02-01,35.0,,
2025-03-01,30.0,,
2025-04-01,30.0,,
