date,actual,actual_train,actual_test,forecast_holt-winters,forecast_var
2017-08-01,45.0,45.0,,,
2017-09-01,45.0,45.0,,,
2017-10-01,45.0,45.0,,,
2017-11-01,45.0,45.0,,,
2017-12-01,45.0,45.0,,,
2018-01-01,45.0,45.0,,,
2018-02-01,45.0,45.0,,,
2018-03-01,45.0,45.0,,,
2018-04-01,45.0,45.0,,,
2018-05-01,45.0,45.0,,,
2018-06-01,45.0,45.0,,,
2018-07-01,45.0,45.0,,,
2018-08-01,53.0,53.0,,,
2018-09-01,53.0,53.0,,,
2018-10-01,53.0,53.0,,,
2018-11-01,53.0,53.0,,,
2018-12-01,53.0,53.0,,,
2019-01-01,53.0,53.0,,,
2019-02-01,53.0,53.0,,,
2019-03-01,53.0,53.0,,,
2019-04-01,53.0,53.0,,,
2019-05-01,53.0,53.0,,,
2019-06-01,53.0,53.0,,,
2019-07-01,53.0,53.0,,,
2019-08-01,55.00000000000001,55.00000000000001,,,
2019-09-01,55.00000000000001,55.00000000000001,,,
2019-10-01,55.00000000000001,55.00000000000001,,,
2019-11-01,55.00000000000001,55.00000000000001,,,
2019-12-01,55.00000000000001,55.00000000000001,,,
2020-01-01,55.00000000000001,55.00000000000001,,,
2020-02-01,55.00000000000001,55.00000000000001,,,
2020-03-01,55.00000000000001,55.00000000000001,,,
2020-04-01,60.0,60.0,,,
2020-05-01,60.0,60.0,,,
2020-06-01,60.0,60.0,,,
2020-07-01,60.0,60.0,,,
2020-08-01,45.0,45.0,,,
2020-09-01,45.0,45.0,,,
2020-10-01,45.0,45.0,,,
2020-11-01,45.0,45.0,,,
2020-12-01,45.0,45.0,,,
2021-01-01,45.0,45.0,,,
2021-02-01,45.0,45.0,,,
2021-03-01,35.0,35.0,,,
2021-04-01,35.0,35.0,,,
2021-05-01,35.0,35.0,,,
2021-06-01,35.0,35.0,,,
2021-07-01,35.0,35.0,,,
2021-08-01,35.0,35.0,,,
2021-09-01,60.0,60.0,,,
2021-10-01,60.0,60.0,,,
2021-11-01,60.0,60.0,,,
2021-12-01,60.0,60.0,,,
2022-01-01,60.0,60.0,,,
2022-02-01,60.0,60.0,,,
2022-03-01,45.0,45.0,,,
2022-04-01,45.0,45.0,,,
2022-05-01,45.0,45.0,,,
2022-06-01,45.0,45.0,,,
2022-07-01,45.0,45.0,,,
2022-08-01,45.0,45.0,,,
2022-09-01,45.0,45.0,,,
2022-10-01,45.0,45.0,,,
2022-11-01,45.0,45.0,,,
2022-12-01,45.0,45.0,,,
2023-01-01,45.0,45.0,,,
2023-02-01,45.0,45.0,,,
2023-03-01,45.0,45.0,,,
2023-04-01,50.0,50.0,,,
2023-05-01,50.0,50.0,,,
2023-06-01,50.0,50.0,,,
2023-07-01,50.0,50.0,,,
2023-08-01,50.0,50.0,,,
2023-09-01,50.0,50.0,,,
2023-10-01,30.0,30.0,,,
2023-11-01,30.0,30.0,,,
2023-12-01,30.0,30.0,,,
2024-01-01,30.0,30.0,,,
2024-02-01,30.0,30.0,,,
2024-03-01,30.0,30.0,,,
2024-04-01,30.0,30.0,,,
2024-05-01,30.0,,30.0,29.99964799814189,33.542220066767186
2024-06-01,30.0,,30.0,29.99934725036166,32.86800125800073
2024-07-01,30.0,,30.0,29.99935239174619,35.82555344887078
2024-08-01,30.0,,30.0,29.166340226858193,39.94009497470688
2024-09-01,35.0,,35.0,32.73818029330367,39.9069717284292
2024-10-01,35.0,,35.0,29.881346225896,38.55166285508312
2024-11-01,35.0,,35.0,29.881418936278575,37.48478910815902
2024-12-01,35.0,,35.0,29.881387639553132,39.2787958777044
2025-01-01,35.0,,35.0,29.881306566934267,40.08171877742279
2025-02-01,35.0,,35.0,29.881132716088413,41.05471884505823
2025-03-01,30.0,,30.0,26.309696426738213,42.614472603425384
2025-04-01,30.0,,30.0,27.738165704676106,44.00408787489869
