lag,acf,pacf
0,1.0,1.0
1,-0.001263323764070881,-0.0012772064427969464
2,-0.0007561830415764581,-0.0007746196290677434
3,-0.0007697671680718746,-0.0007976935339218717
4,-0.0007833512945672838,-0.0008215964765057966
5,-0.0007969354210626325,-0.0008460715979608221
6,0.019150599663717387,0.020482707481588244
7,0.039098134748497465,0.04238541841410006
8,-0.0008376878005487768,-0.0007459656773627005
9,-0.0008512719270441638,-0.0008551508587411496
10,-0.0008648560535395773,-0.0008798282910853758
11,-0.0008784401800349455,-0.0009052249282076383
12,-0.1657535114966991,-0.19140144052501337
13,0.041828544174070045,0.04799504707239537
14,0.0018927216250237504,-2.9788059211114066e-05
15,0.0018791374985283847,0.002224750497130767
16,0.0018655533720330472,0.0022119785398331403
17,-0.03807026917701327,-0.04720754430827579
18,0.021799504330317663,0.03732879721861878
19,-0.09902224476180987,-0.11673502994738609
20,0.0007697671680718804,-0.0010634456961854547
21,0.0007561830415764823,-0.00020398304564856062
22,0.000742598915081098,0.00043599248276151236
23,-0.039193223633965144,-0.05309498009871583
24,0.00019470581310051944,-0.035396819864440494
