date,value,matrix_profile,matrix_profile_index
2017-08-01,18.0,0.0,12.0
2017-09-01,18.0,8.374337528522513e-16,80.0
2017-10-01,18.0,6.345453125715752e-16,81.0
2017-11-01,18.0,0.3382039574515255,40.0
2017-12-01,18.0,0.2654663020508173,41.0
2018-01-01,18.0,0.18723319756483287,42.0
2018-02-01,18.0,0.0,43.0
2018-03-01,18.0,0.0,44.0
2018-04-01,18.0,1.5700924586837752e-16,45.0
2018-05-01,18.0,0.0,46.0
2018-06-01,18.0,0.0,47.0
2018-07-01,18.0,1.3877787807814457e-16,48.0
2018-08-01,45.0,0.0,0.0
2018-09-01,45.0,0.0,32.0
2018-10-01,45.0,0.0,33.0
2018-11-01,45.0,0.0,34.0
2018-12-01,45.0,0.0,35.0
2019-01-01,45.0,0.0,36.0
2019-02-01,45.0,0.0,37.0
2019-03-01,45.0,0.0,56.0
2019-04-01,45.0,8.15843973306311e-16,70.0
2019-05-01,45.0,0.0,71.0
2019-06-01,45.0,1.0505647307346236e-15,72.0
2019-07-01,45.0,1.2819751242557094e-15,73.0
2019-08-01,40.0,0.0,0.0
2019-09-01,40.0,0.0,0.0
2019-10-01,40.0,0.0,0.0
2019-11-01,40.0,0.0,0.0
2019-12-01,40.0,0.0,0.0
2020-01-01,40.0,0.0,0.0
2020-02-01,40.0,0.0,0.0
2020-03-01,40.0,0.0,0.0
2020-04-01,40.0,0.0,13.0
2020-05-01,40.0,0.0,14.0
2020-06-01,40.0,0.0,15.0
2020-07-01,40.0,0.0,16.0
2020-08-01,40.0,0.0,17.0
2020-09-01,40.0,0.0,18.0
2020-10-01,40.0,0.5867923748912971,80.0
2020-11-01,40.0,0.4290468867141407,2.0
2020-12-01,40.0,0.3382039574515255,3.0
2021-01-01,40.0,0.2654663020508173,4.0
2021-02-01,40.0,0.18723319756483287,5.0
2021-03-01,35.0,0.0,6.0
2021-04-01,35.0,0.0,7.0
2021-05-01,35.0,1.5700924586837752e-16,8.0
2021-06-01,35.0,0.0,9.0
2021-07-01,35.0,0.0,10.0
2021-08-01,35.0,1.3877787807814457e-16,11.0
2021-09-01,50.0,0.0,0.0
2021-10-01,50.0,0.0,13.0
2021-11-01,50.0,0.0,14.0
2021-12-01,50.0,0.0,15.0
2022-01-01,50.0,0.0,16.0
2022-02-01,50.0,0.0,17.0
2022-03-01,50.0,0.0,18.0
2022-04-01,50.0,0.0,19.0
2022-05-01,50.0,0.6044782915862058,13.0
2022-06-01,50.0,0.4501458320605711,14.0
2022-07-01,50.0,0.3561297191145553,15.0
2022-08-01,50.0,0.26254478391310626,16.0
2022-09-01,45.0,1.465886843046779e-15,17.0
2022-10-01,45.0,0.0,18.0
2022-11-01,45.0,0.43929966331593917,19.0
2022-12-01,45.0,0.533867163791623,20.0
2023-01-01,45.0,0.6058108930553724,21.0
2023-02-01,45.0,0.533867163791623,16.0
2023-03-01,45.0,0.4392996633159393,17.0
2023-04-01,35.0,0.0,18.0
2023-05-01,35.0,7.364386412590295e-16,19.0
2023-06-01,35.0,8.15843973306311e-16,20.0
2023-07-01,35.0,0.0,21.0
2023-08-01,35.0,1.0505647307346236e-15,22.0
2023-09-01,35.0,1.2819751242557094e-15,23.0
2023-10-01,25.0,0.0,0.0
2023-11-01,25.0,0.0,0.0
2023-12-01,25.0,0.0,0.0
2024-01-01,25.0,0.0,0.0
2024-02-01,25.0,0.0,0.0
2024-03-01,25.0,0.0,0.0
2024-04-01,25.0,8.374337528522513e-16,1.0
2024-05-01,25.0,6.345453125715752e-16,2.0
2024-06-01,25.0,,
2024-07-01,25.0,,
2024-08-01,25.0,,
2024-09-01,25.0,,
2024-10-01,25.0,,
2024-11-01,25.0,,
2024-12-01,25.0,,
2025-01-01,25.0,,
2025-02-01,25.0,,
2025-03-01,30.0,,
2025-04-01,30.0,,
