date,actual,actual_train,actual_test,forecast_holt-winters,forecast_var
2017-08-01,18.0,18.0,,,
2017-09-01,18.0,18.0,,,
2017-10-01,18.0,18.0,,,
2017-11-01,18.0,18.0,,,
2017-12-01,18.0,18.0,,,
2018-01-01,18.0,18.0,,,
2018-02-01,18.0,18.0,,,
2018-03-01,18.0,18.0,,,
2018-04-01,18.0,18.0,,,
2018-05-01,18.0,18.0,,,
2018-06-01,18.0,18.0,,,
2018-07-01,18.0,18.0,,,
2018-08-01,45.0,45.0,,,
2018-09-01,45.0,45.0,,,
2018-10-01,45.0,45.0,,,
2018-11-01,45.0,45.0,,,
2018-12-01,45.0,45.0,,,
2019-01-01,45.0,45.0,,,
2019-02-01,45.0,45.0,,,
2019-03-01,45.0,45.0,,,
2019-04-01,45.0,45.0,,,
2019-05-01,45.0,45.0,,,
2019-06-01,45.0,45.0,,,
2019-07-01,45.0,45.0,,,
2019-08-01,40.0,40.0,,,
2019-09-01,40.0,40.0,,,
2019-10-01,40.0,40.0,,,
2019-11-01,40.0,40.0,,,
2019-12-01,40.0,40.0,,,
2020-01-01,40.0,40.0,,,
2020-02-01,40.0,40.0,,,
2020-03-01,40.0,40.0,,,
2020-04-01,40.0,40.0,,,
2020-05-01,40.0,40.0,,,
2020-06-01,40.0,40.0,,,
2020-07-01,40.0,40.0,,,
2020-08-01,40.0,40.0,,,
2020-09-01,40.0,40.0,,,
2020-10-01,40.0,40.0,,,
2020-11-01,40.0,40.0,,,
2020-12-01,40.0,40.0,,,
2021-01-01,40.0,40.0,,,
2021-02-01,40.0,40.0,,,
2021-03-01,35.0,35.0,,,
2021-04-01,35.0,35.0,,,
2021-05-01,35.0,35.0,,,
2021-06-01,35.0,35.0,,,
2021-07-01,35.0,35.0,,,
2021-08-01,35.0,35.0,,,
2021-09-01,50.0,50.0,,,
2021-10-01,50.0,50.0,,,
2021-11-01,50.0,50.0,,,
2021-12-01,50.0,50.0,,,
2022-01-01,50.0,50.0,,,
2022-02-01,50.0,50.0,,,
2022-03-01,50.0,50.0,,,
2022-04-01,50.0,50.0,,,
2022-05-01,50.0,50.0,,,
2022-06-01,50.0,50.0,,,
2022-07-01,50.0,50.0,,,
2022-08-01,50.0,50.0,,,
2022-09-01,45.0,45.0,,,
2022-10-01,45.0,45.0,,,
2022-11-01,45.0,45.0,,,
2022-12-01,45.0,45.0,,,
2023-01-01,45.0,45.0,,,
2023-02-01,45.0,45.0,,,
2023-03-01,45.0,45.0,,,
2023-04-01,35.0,35.0,,,
2023-05-01,35.0,35.0,,,
2023-06-01,35.0,35.0,,,
2023-07-01,35.0,35.0,,,
2023-08-01,35.0,35.0,,,
2023-09-01,35.0,35.0,,,
2023-10-01,25.0,25.0,,,
2023-11-01,25.0,25.0,,,
2023-12-01,25.0,25.0,,,
2024-01-01,25.0,25.0,,,
2024-02-01,25.0,25.0,,,
2024-03-01,25.0,25.0,,,
2024-04-01,25.0,25.0,,,
2024-05-01,25.0,,25.0,24.958258243642913,25.407634064380545
2024-06-01,25.0,,25.0,24.95949830939164,26.44645359151764
2024-07-01,25.0,,25.0,24.96019330410966,29.1734212411684
2024-08-01,25.0,,25.0,28.633102745749834,29.841559325985145
2024-09-01,25.0,,25.0,30.06099819193771,28.509034038259415
2024-10-01,25.0,,25.0,28.631798182414524,28.58053861598819
2024-11-01,25.0,,25.0,28.631235574848535,29.164581167977303
2024-12-01,25.0,,25.0,28.6304850490012,29.12156507385953
2025-01-01,25.0,,25.0,28.630219549385743,28.74511406646343
2025-02-01,25.0,,25.0,28.6297018041497,28.826719232078176
2025-03-01,30.0,,30.0,27.915563491125894,29.39364069607109
2025-04-01,30.0,,30.0,26.487694278792848,30.09852052089991
