lag,acled_events,acled_fatalities,idp_population,ipc_phase_3plus_pct,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9419436825674912,0.8880744389160524,-0.1673665966930704,0.9026156357245186,0.615771466215585,0.8306708798010608,0.21005896349205808,0.7098645665042639,0.9629154259239708,0.9925061381686352
2,-0.06856410741945729,-0.24262221936661646,-0.20475288056940188,-0.06273594309449147,-0.1714522167918457,-0.7540197270924752,0.1289969301729545,0.025511869910073055,-0.28520246098233015,-0.625270029851323
3,-0.17319554771645582,-0.09321764763332271,0.05502664406003755,-0.0937455097642456,-0.24837727300931162,-0.19948541005892179,0.105107328182997,-0.12437643484204076,0.076405472112419,0.1762189964081948
4,0.07830216970313707,0.2113229402792676,-0.03272666412463706,-0.0754086079293379,-0.12967970192322503,0.21442120628778047,0.07214919643633738,0.17361773659186078,-0.07924523160220906,-0.002083356399589065
5,0.16317700233858726,0.10413465121728549,-0.16019775403125727,-0.0665082942181212,-0.28633259934061395,-0.5612942101846039,0.040948642024239,0.12567117834504424,-0.06674098280833068,-0.31160520864699776
6,0.05207836833525549,0.07012135592139845,0.4626275507168066,-0.02707132731028461,-0.1951707005196206,0.014673330137809028,0.14448928620094828,0.06380452651362623,-0.33071196071247716,0.09409836710559491
7,0.017571671494984033,0.06482119251953984,-0.11752144874473176,0.05261264909219599,-0.10389284346615296,0.3508357014085197,0.056454450971011955,-0.05070186207634755,0.0038277197052403043,0.15552484328074184
8,0.08897587147556733,0.029326402815343138,0.19115341556404217,-0.08224365755849534,-0.08455553208955462,-0.2585433680658377,-0.03096855846025018,-0.03176883951812107,-0.15723650612874338,0.01164605456579617
9,0.10770059068384641,0.16989123217820176,0.07155332073283337,0.054796623737860733,-0.03981105879851223,0.5204327360201052,-0.12190871030490118,-0.11742371867779407,-0.6191188455118724,-0.5952714987388146
10,-0.0708331775984882,-0.01944566859977222,0.0010025186858783287,-0.06873123786382672,0.24357652731199936,0.8661607277599146,0.19649845004799765,0.33644946471065545,0.05767898180986135,0.8281587754487295
11,0.06374592741159074,-0.01624836708597143,-0.04335351117084674,-0.07513765314982537,0.34567467001275454,-3.3899788596789757,-0.045045043485729006,-0.0283468034096356,-0.026011853924294923,-1.4013607470471723
12,0.10335225932294916,0.053889961376279785,0.44205823605710154,-0.214652877015494,0.30335402590554106,-0.9340941019816082,0.02489590848902783,0.05326614174190781,0.20670088865795794,0.5966682897478166
