lag,acled_events,acled_fatalities,idp_population,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,wfp_inflation_mean,wfp_price_mean
-12,-0.13041750046755177,-0.1746042175214535,-0.0879913868678599,0.02333602526411311,0.07726730975488687,0.1040399701152006,0.2032245264341116,-0.01563089129032703,0.2963496220099512
-11,-0.12902696350283677,-0.18678559852254725,-0.11628335939704999,0.08507154939049685,0.0757105188402351,0.14432518077150727,0.13950395252646816,0.07920922938931117,0.3475206276715373
-10,-0.12420499793952008,-0.1906747919132742,-0.06768787403459811,0.02698826024075184,-0.04326559550938793,0.1007687072192022,0.025978150320196573,0.17402456916167994,0.3877307221962531
-9,-0.107694350788986,-0.17726332442701878,-0.0775833573110455,-0.10516059182576992,-0.11633296932615234,-0.02179926141501393,-0.06177343138950022,0.2703423631446484,0.42662741622898986
-8,-0.09271913273706466,-0.185619564098527,-0.09663401018643529,-0.10262407496745664,-0.08759059821001797,-0.04024606456700878,-0.10283982350868273,0.33587986107766077,0.44512536625353655
-7,-0.06209285699243737,-0.15769718903934477,0.03746445782349448,-0.06335968233215745,-0.06817680176487873,-0.05112570526557335,-0.1341720370010074,0.36873725672801605,0.42075215510454056
-6,-0.05693607264272321,-0.15611229588268324,0.030038973680968917,-0.019848143148055886,-0.04974543353520449,-0.024724502991816177,-0.09751925615610109,0.4039599292342395,0.3974037229074803
-5,-0.07655150181972586,-0.15848343046727706,0.030256698005558264,-0.05292466668832998,-0.06477281959697337,-0.052328821689771765,-0.09686395962262483,0.43963509997020844,0.3656865001021655
-4,-0.08353082523664407,-0.1584571519656641,0.022426205995395784,-0.06136934606444439,-0.09713797285007887,0.005026007730522054,-0.04435087978507328,0.47454084253387163,0.33519038403843865
-3,-0.08329062854239358,-0.1335996764702797,0.056360013126718816,-0.1009176900406803,-0.09973936663700411,0.016117719801167663,0.020424762135999905,0.5173865406962849,0.32174217756071727
-2,-0.09497657214232919,-0.12890587970331982,0.06246069537637738,-0.08386383307693765,-0.06762099291220548,0.07330447659585991,0.08337791147053994,0.5398120936760493,0.30193843793185204
-1,-0.12387226026405661,-0.12545146494631151,0.10197187905304418,-0.04601721707602073,-0.012902050405204517,0.10866389476056183,0.10355799801680148,0.5676781196217997,0.28006011274638143
0,-0.13106701801167736,-0.11538912331152255,0.10247440255664009,-0.005444257096065283,0.03235402374230948,0.11149722588207903,0.08818428267550746,0.5586282942732136,0.2436168620221401
1,-0.1070962275598056,-0.037796511774803504,0.0982424622752233,0.02003039596244239,0.06948781271348166,0.093097319099718,0.09557262509793102,0.5702449253749843,0.19462096960436584
2,-0.05652896248497548,0.06892075655993649,0.083641769912291,0.045450452676458204,0.0955350890172874,0.08306964485233019,0.06673879542418049,0.571855143201774,0.14471402657372584
3,0.03218561753295332,0.1785823592798996,0.14438332303201482,0.0869035434010891,0.09927568531680711,0.09407352716637933,0.0034953115070233713,0.5773125246215893,0.09430227055203995
4,0.10690093810737197,0.25696157773113243,0.1730801893426302,0.08393744958496947,0.08598816466706155,0.04794517666921328,-0.03157614206375197,0.6049472400891894,0.0492405606856218
5,0.15980747436628223,0.28688467172835047,0.15211400855713197,0.05467927661057435,0.0360150595803301,-0.017267249468334772,-0.08033941347679376,0.6140364622611743,0.010399251740518225
6,0.210218528771946,0.3062907086087228,0.22486340151800335,0.05607172987221576,-0.02659794775015979,-0.003319868646862829,-0.12518124636804623,0.5950520705514856,-0.031215181545636756
7,0.266033155593446,0.33612297902718785,0.22162830384288135,-0.041017020416360676,-0.09708926976579405,-0.09222712555138521,-0.17548452886815813,0.5686861819930976,-0.07801002950859623
8,0.31057347731524704,0.3624927928812231,0.2047901062272956,-0.10180147125607177,-0.1306369546196045,-0.1264249844576455,-0.17137669329989358,0.520642467487314,-0.13451519683567156
9,0.3527633910833902,0.3781632479295036,0.22530002142798453,-0.11801763276542111,-0.15146087858877236,-0.09231884776313869,-0.15727162905528483,0.47639329037182543,-0.18762301350270436
10,0.41412106790961944,0.4240635546374576,0.1605692864965952,-0.12359917337980407,-0.15968397796138867,-0.06860330217450035,-0.1503637305858834,0.4458035764115288,-0.24179337504434265
11,0.46983363191126387,0.45438375822932087,0.13269220381650065,-0.1536571154675643,-0.1335571200265792,-0.11435220363677218,-0.11553387697715768,0.39750635360178127,-0.307865844573988
12,0.514537658263536,0.48736968372578177,0.12127941752175289,-0.13862865641939492,-0.08152651660473692,-0.09524495472085552,-0.09182528987113164,0.3586125141074088,-0.3712448436424905
