,AFG,BFA,BGD,CMR,COD,ETH,GIN,GMB,GTM,HTI,MLI,MRT,NER,NGA,SDN,SEN,SOM,SSD,TCD,YEM
AFG,0.0,3.9897868222050263,3.656230402973312,5.926323048742337,6.553397773289182,6.863465819259649,9.172509739898326,5.633606333038699,8.980198223816581,10.83296466008332,10.808701535104207,4.768397832238522,4.900269189921779,12.15297097651291,12.59671229387179,4.9386159045102485,3.4645192705049457,7.5371276216392165,11.199223469761263,5.440207402861716
BFA,3.9897868222050263,0.0,2.304301797738481,3.9973976639282003,8.862897288535894,7.058193211332568,6.04346630899721,4.636175281012968,5.833490592901883,4.458534037277759,7.8972128607275245,4.998235102982561,4.2926175552783175,8.587672095887713,8.326163620081028,5.270434421509629,3.7224689509735898,4.003651205038392,8.45808917951469,7.5123621672798
BGD,3.656230402973312,2.304301797738481,0.0,3.7206723310842085,4.063549129029639,7.058193211332568,9.143658131370003,2.842334736131264,2.7056914200983164,5.406928502961882,9.562899644431797,5.897605291854366,4.384632916026021,9.289799035028697,9.324279393066869,2.4830294283703824,3.296923252336458,3.304829730280747,8.86350380836277,9.143086736935672
CMR,5.926323048742337,3.9973976639282003,3.7206723310842085,0.0,10.55983739866272,7.058193211332568,8.799805568449449,5.362850739166928,4.811512846604681,7.613636819186552,10.239095123931458,4.8542216744715585,5.246334917445737,10.315308736559171,9.051601600281774,3.7409931413648154,4.404778038443137,7.33169385612316,9.217121644531879,10.031534113406087
COD,6.553397773289182,8.862897288535894,4.063549129029639,10.55983739866272,0.0,5.8851208177301295,13.80872133971099,11.241247979418802,12.036515968280245,13.943176104719836,14.011999316867062,9.474517011977088,9.158597907158832,13.609101752160033,15.053951809521756,7.5852904137061925,8.241129909441982,7.956999816201832,12.909295816471685,7.200075909931383
ETH,6.863465819259649,7.058193211332568,7.058193211332568,7.058193211332568,5.8851208177301295,0.0,7.058193211332568,7.058193211332568,5.009828589065834,6.977746344513502,7.058193211332568,7.058193211332568,7.058193211332568,7.058193211332568,6.50151522178274,7.058193211332568,7.058193211332568,5.982395989139968,7.058193211332568,5.067073046109321
GIN,9.172509739898326,6.04346630899721,9.143658131370003,8.799805568449449,13.80872133971099,7.058193211332568,0.0,7.686002384481001,9.319624470503284,4.3316393336540795,6.490736707212099,9.283775749237106,10.207374354286582,4.962665542214137,6.005635396389502,4.124061685155376,9.147756789731313,11.346362968647572,5.584113909728004,7.887430456369735
GMB,5.633606333038699,4.636175281012968,2.842334736131264,5.362850739166928,11.241247979418802,7.058193211332568,7.686002384481001,0.0,4.435602389522367,6.2223190202500716,8.317248846296566,4.689812840096972,4.028710183709977,8.567745243717708,7.554098192629214,5.377029338987657,2.7044748531256277,5.819863804007973,6.370436263573595,10.643676480817374
GTM,8.980198223816581,5.833490592901883,2.7056914200983164,4.811512846604681,12.036515968280245,5.009828589065834,9.319624470503284,4.435602389522367,0.0,6.655963730840023,9.513501942455882,5.452199042047555,6.032385690508656,9.08439276488876,7.657335369367232,7.07058351241863,4.002726143653716,9.464594862535558,8.304854813386504,13.244755286012689
HTI,10.83296466008332,4.458534037277759,5.406928502961882,7.613636819186552,13.943176104719836,6.977746344513502,4.3316393336540795,6.2223190202500716,6.655963730840023,0.0,6.152472443741978,7.739078421276751,8.868815792057367,6.858025256650501,7.056813762272484,3.464864233853363,5.82146245004959,14.227789915714329,7.163687253053524,12.746526153597815
MLI,10.808701535104207,7.8972128607275245,9.562899644431797,10.239095123931458,14.011999316867062,7.058193211332568,6.490736707212099,8.317248846296566,9.513501942455882,6.152472443741978,0.0,8.686155380053023,9.200076530315298,4.91805799397013,5.969944743510375,9.208307957308989,10.92849037750648,11.912829115061882,3.4044581565867813,8.477474453369092
MRT,4.768397832238522,4.998235102982561,5.897605291854366,4.8542216744715585,9.474517011977088,7.058193211332568,9.283775749237106,4.689812840096972,5.452199042047555,7.739078421276751,8.686155380053023,0.0,3.2221054702537093,11.719516471111842,10.503600336356655,4.216275271782613,4.789214301320607,6.200373845046896,8.13567743925214,8.834131644021996
NER,4.900269189921779,4.2926175552783175,4.384632916026021,5.246334917445737,9.158597907158832,7.058193211332568,10.207374354286582,4.028710183709977,6.032385690508656,8.868815792057367,9.200076530315298,3.2221054702537093,0.0,12.324009028609094,11.126687983798051,6.310306259118162,4.49873076199226,6.978155015297264,8.34878253755634,10.086551356117242
NGA,12.15297097651291,8.587672095887713,9.289799035028697,10.315308736559171,13.609101752160033,7.058193211332568,4.962665542214137,8.567745243717708,9.08439276488876,6.858025256650501,4.91805799397013,11.719516471111842,12.324009028609094,0.0,2.622294586593497,7.989443260470381,10.523828855399115,12.250629434248621,4.533537644529179,8.91421146588036
SDN,12.59671229387179,8.326163620081028,9.324279393066869,9.051601600281774,15.053951809521756,6.50151522178274,6.005635396389502,7.554098192629214,7.657335369367232,7.056813762272484,5.969944743510375,10.503600336356655,11.126687983798051,2.622294586593497,0.0,7.932151632492922,9.112268191644533,12.256416608898812,3.8016127241993596,10.605077253522198
SEN,4.9386159045102485,5.270434421509629,2.4830294283703824,3.7409931413648154,7.5852904137061925,7.058193211332568,4.124061685155376,5.377029338987657,7.07058351241863,3.464864233853363,9.208307957308989,4.216275271782613,6.310306259118162,7.989443260470381,7.932151632492922,0.0,3.636531673784532,3.7053673192148464,9.07566854014444,6.9478813282820875
SOM,3.4645192705049457,3.7224689509735898,3.296923252336458,4.404778038443137,8.241129909441982,7.058193211332568,9.147756789731313,2.7044748531256277,4.002726143653716,5.82146245004959,10.92849037750648,4.789214301320607,4.49873076199226,10.523828855399115,9.112268191644533,3.636531673784532,0.0,4.9409432290229995,8.796495927901992,8.591320225630334
SSD,7.5371276216392165,4.003651205038392,3.304829730280747,7.33169385612316,7.956999816201832,5.982395989139968,11.346362968647572,5.819863804007973,9.464594862535558,14.227789915714329,11.912829115061882,6.200373845046896,6.978155015297264,12.250629434248621,12.256416608898812,3.7053673192148464,4.9409432290229995,0.0,11.495699179322076,7.653741801947331
TCD,11.199223469761263,8.45808917951469,8.86350380836277,9.217121644531879,12.909295816471685,7.058193211332568,5.584113909728004,6.370436263573595,8.304854813386504,7.163687253053524,3.4044581565867813,8.13567743925214,8.34878253755634,4.533537644529179,3.8016127241993596,9.07566854014444,8.796495927901992,11.495699179322076,0.0,8.575815153542388
YEM,5.440207402861716,7.5123621672798,9.143086736935672,10.031534113406087,7.200075909931383,5.067073046109321,7.887430456369735,10.643676480817374,13.244755286012689,12.746526153597815,8.477474453369092,8.834131644021996,10.086551356117242,8.91421146588036,10.605077253522198,6.9478813282820875,8.591320225630334,7.653741801947331,8.575815153542388,0.0
